sent, rec
28187, 294788183
20462640, 319251544
40989549, 319214872
60509192, 319166855
81025821, 319132073
100535768, 319095921
121064477, 319035940
140607435, 332990497
161111044, 332969551
180699550, 332949341
200247202, 332929928
220844325, 332904588
240364319, 332835970
260897602, 471105183
280412209, 471033031
300680762, 578578411
320216150, 601184248
340172775, 645899222
360588496, 645880117
381014548, 645861677
400459967, 645843298
420934097, 645823373
440409011, 645803766
460900495, 645777560
481077760, 645689214
500496730, 664910098
521014454, 664891198
540493108, 664870788
560979261, 664836505
580768152, 664791506
600783350, 681700039
620806405, 762387853
640317189, 762334464
660796412, 789316977
680850587, 809650454
701131898, 823744641
720825449, 823697874
740235724, 823651761
760895541, 862440022
780331102, 881332854
800881233, 899704462
820172380, 930130432
840522408, 959583546
860195009, 988330326
880425459, 988293420
900820994, 1041566823
920485071, 1041537156
940487533, 1089949362
960685122, 1089911860
980732157, 1089851981
1000883438, 1175029722
1020737511, 1175002417
1041140010, 1174924007
1060518414, 1203212989
1080877640, 1225275816
1100932088, 1225240549
1120389733, 1225190998
1141005328, 1284975262
1160601996, 1284945172
1180199303, 1284880263
1200490493, 1346830529
1220694347, 1346771696
1240206731, 1372156837
1260708504, 1372097413
1280153882, 1400562531
1301115656, 1426927848
1320433408, 1426889653
1340902209, 1443223560
1360591612, 1479735932
1380506453, 1498294236
1400221799, 1498219958
1420419811, 1574536601
1440269872, 1574470728
1460638457, 1603131818
1480240934, 1603096497
1500401732, 1630124108
1520834605, 1696457877
1540181613, 1696424407
1560584992, 1696383776
1580650055, 1696318021
1600456176, 1741488760
1620722550, 1758754900
1640294189, 1758696992
1661060730, 1826507943
1680529332, 1826481230
1700564272, 1826418899
1720651154, 1860496088
1741098015, 1860463666
1760915858, 1887206774
1780388693, 1951236668
1800730149, 1951189436
1820124946, 1951111319
1841039919, 1990395100
1860085383, 1990336312
1880499589, 2029412624
1900396677, 2029354042
1920497947, 2086468138
1940939103, 2086411095
1960418599, 2127042945
1980551689, 2126982200
2000925349, 2152169853
2020894263, 2152102175
2040958253, 2230317688
2060423713, 2230290295
2080848853, 2230229141
2100502165, 2265745877
2120704088, 2265688937
2141126468, 2296247316
2160338017, 2296169798
2180302328, 2373832779
2200730675, 2373774400
2220165964, 2372661047
2240690679, 2412135519
2260893788, 2412074393
2280118687, 2437876360
2300359367, 2437816950
2320439054, 2476515038
2340638970, 2515412060
2361067042, 2515375808
2381016105, 2515326851
2400342657, 2557220516
2420159452, 2557158171
2441035052, 2590709294
2460061576, 2639135448
2480689796, 2687387875
2500376288, 2687350876
2520519110, 2739522744
2540091745, 2739486283
2560328002, 2739431805
2580855643, 2767940673
2600885155, 2767916144
2620170685, 2767822637
2640238875, 2861926896
2660191145, 2861906736
2680349995, 2861881302
2701112659, 2861830810
2720265394, 2919692451
2740833226, 2919627647
2760171418, 2950623273
2781118730, 2950561852
2800978907, 3045437181
2820326990, 3045416318
2840719706, 3045388300
2861159042, 3045330759
2880018725, 3101447401
2900765154, 3101425056
2920793408, 3101393577
2940864929, 3135238079
2960796973, 3135144356
2980860870, 3187247671
3000815528, 3235361984
3020121106, 3235338331
3040514696, 3235308042
3060643011, 3235239565
3080595683, 3289444648
3101011947, 3289384017
3120497717, 3319329069
3140345582, 3319261950
3161033294, 3370163077
3180550267, 3422691721
3200981903, 3422671351
3220671871, 3422644762
3240366021, 3422587155
3260964258, 3466170763
3280339801, 3466145399
3300261285, 3466088731
3320428012, 3506832753
3340991864, 3565692142
3360443262, 3565666856
3380347336, 3565606583
3400218309, 3619619216
3420534235, 3619554012
3440738784, 3687639149
3460407118, 3687608026
3480732124, 3687546653
3500519951, 3721822869
3521010373, 3721789547
3541012968, 3721747682
3560436819, 3785357049
3580870350, 3785296771
3600466485, 3834509153
3620717438, 3834483911
3640119723, 3834421554
3660715173, 3888362294
3681161198, 3888302222
3700121719, 3931170076
3720284554, 3931137606
3740997898, 3931089979
3760746917, 3986702803
3781084840, 3986640384
3800634725, 4044930574
3820483186, 4044902988
3840671668, 4044846552
3860679174, 4107397045
3880792200, 4107368680
3900391808, 4107307861
3920618207, 4145070658
3940358499, 4145018380
3961040220, 4144966613
3980973988, 4213117361
4000503212, 4213039390
4020825185, 4272149405
4040234209, 4272123066
4061105469, 4272058670
4080360081, 4350291573
4100732916, 4350227259
4120454414, 4388984639
4140699639, 4388947953
4160189981, 4388898342
4180662483, 4455094345
4200360005, 4455065478
4220292433, 4454996164
4240666856, 4514698130
4260231649, 4514672457
4280315406, 4514644432
4301048734, 4514577933
4321125783, 4584636667
4340582900, 4584604920
4360648915, 4584546537
4380968872, 4637662487
4400194188, 4637623409
4420147199, 4637568529
4440725737, 4697271392
4460269132, 4697204098
4480931947, 4755484489
4500951609, 4755455478
4520872140, 4755392305
4540636103, 4835475298
4560293172, 4835451890
4580647814, 4835423023
4600812396, 4835357974
4620858588, 4905297154
4640826602, 4905271112
4660194227, 4905213008
4680341894, 4981038608
4700382328, 4981014516
4720933669, 4980982399
4740394211, 5049237593
4760654822, 5127854431
4780217729, 5127833237
4800652156, 5127804691
4821052455, 5127745993
4840588157, 5189068866
4860328487, 5189045179
4880913254, 5189022372
4900508559, 5188995045
4920471020, 5188934778
4940857469, 5269100188
4960155658, 5269081981
4980578214, 5269057776
5000462230, 5268977202
5020178013, 5343081338
5040438037, 5343056838
5060363408, 5343001737
5080683495, 5423527208
5100528517, 5423507093
5120951189, 5423479960
5140486613, 5423423752
5160802830, 5483366883
5180956694, 5483348158
5200242152, 5483313011
5220699884, 5483260934
5240237224, 5565803676
5260356783, 5565776494
5280224158, 5565714548
5301053011, 5657709871
5320321945, 5657688982
5340755325, 5657660844
5360254003, 5657598737
5380287215, 5738450959
5400720576, 5738425987
5420167030, 5738361742
5440208153, 5797206419
5460831028, 5797187952
5480157016, 5797168305
5500533695, 5797130986
5520700768, 5797079229
5540642741, 5881679758
5561032523, 5881649537
5580256296, 5880498189
5600680151, 5957277594
5620923586, 5957257864
5640339064, 5957238476
5660873017, 5957212327
5680613336, 5957148031
5700338525, 6043014166
5720757480, 6042992236
5740638210, 6042964438
5760958493, 6042905393
5780770933, 6114567584
5800312209, 6114544882
5820748292, 6114473958
5840718004, 6114418543
5860864456, 6199132798
5880098231, 6199106723
5900106757, 6199034435
5920766846, 6292883586
5941146725, 6292860639
5960386235, 6292833166
5980933810, 6292768779
6000625701, 6381069105
6020853788, 6381044040
6040329459, 6381018711
6060563817, 6380981711
6080317535, 6451583096
6100131631, 6451560380
6120740644, 6451538506
6140177020, 6451500878
6160725776, 6451448770
6180252109, 6551127313
6200232719, 6551099224
6220563568, 6551033413
6240165934, 6647768956
6261103779, 6647745846
6280581469, 6647716634
6301053627, 6647652587
6320752157, 6743723388
6340837029, 6743704041
6360309881, 6743680052
6380574557, 6743611553
6401021906, 6824766718
6420683585, 6824748150
6440936399, 6824729138
6460773662, 6824708888
6480214134, 6824679628
6500497371, 6824618011
6521037835, 6922943287
6540506952, 6922922205
6560303889, 6922895115
6580221128, 6922836290
6600766435, 7020862650
6620663607, 7020844249
6641137130, 7020822540
6660337147, 7020798728
6680695893, 7020769372
6701154832, 7122725608
6720597179, 7122705913
6741069550, 7122681287
6760290243, 7122652789
6780957986, 7122593752
6800764325, 7208579105
6820136788, 7208554042
6840937461, 7208493969
6861085433, 7321726689
6880803452, 7321705967
6900121852, 7321684943
6920525000, 7321657745
6944373854, 7321606911
6960725842, 7419550938
6980983659, 7417185882
7000303855, 7417161917
7020413930, 7417097347
7040754457, 7530448652
7060361621, 7530430778
7080531047, 7530410695
7100951066, 7530389448
7120430120, 7530365333
7140902491, 7530319522
7160459571, 7530242988
7180885941, 7624536332
7200318199, 7624519598
7220757715, 7624498399
7240255695, 7624472906
7260580485, 7624415975
7280161446, 7724661766
7300626437, 7724638790
7321124252, 7724611266
7340902691, 7724553116
7360650141, 7828134070
7380526460, 7828114843
7401030594, 7828094353
7420646744, 7828073752
7440923441, 7828045012
7460398494, 7827986780
7480584988, 7955152631
7501071205, 7955134627
7520550759, 7955115085
7540655545, 7955090599
7560466211, 7955024581
7580990707, 8041105476
7600450328, 8041083343
7620999350, 8041060782
7640706537, 8041030248
7660936579, 8040974573
7680329263, 8158324222
7700502546, 8158302242
7721022005, 8158277843
7740535146, 8158250120
7760214650, 8158180456
7780704662, 8266024220
7801120607, 8265999475
7820570523, 8265973966
7840307715, 8265944204
7860396673, 8265878356
7880305770, 8389192166
7900929702, 8389165329
7920404152, 8389140080
7940893836, 8389114448
7960325229, 8389081947
7980352316, 8389014640
8000339675, 8486597707
8020769709, 8486574245
8040225335, 8486549860
