name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
08viewchange_0_200_7_300, 6, 7, 200, 153.200000, 0.299570, 0.249287, 1532, 2000, 300, 1
08viewchange_0_100_7_150, 6, 7, 100, 88.947987, 0.359395, 0.299474, 1000, 1000, 150, 1
08viewchange_1_100_7_150, 6, 7, 100, 64.600000, 0.238818, 0.259259, 646, 1000, 150, 1
08viewchange_1_400_7_75, 6, 7, 400, 90.200000, 0.478004, 0.404434, 902, 4000, 75, 1
08viewchange_2_400_7_300, 6, 7, 400, 253.100000, 0.611510, 0.881567, 2531, 4000, 300, 1
08viewchange_2_100_7_300, 6, 7, 100, 39.300000, 1.100351, 1.086328, 393, 1000, 300, 1
08viewchange_3_100_7_150, 6, 7, 100, 69.300000, 0.324189, 0.376301, 693, 1000, 150, 1
08viewchange_3_200_7_300, 6, 7, 200, 92.900000, 0.331245, 0.257176, 929, 2000, 300, 1
08viewchange_4_400_7_300, 6, 7, 400, 147.200000, 0.311414, 0.228839, 1472, 4000, 300, 1
08viewchange_4_400_7_150, 6, 7, 400, 124.800000, 0.819667, 0.739846, 1248, 4000, 150, 1
08viewchange_5_200_7_75, 6, 7, 200, 107.100000, 0.293443, 0.224366, 1071, 2000, 75, 1
08viewchange_5_400_7_150, 6, 7, 400, 135.400000, 0.285388, 0.215441, 1354, 4000, 150, 1
08viewchange_6_200_7_75, 6, 7, 200, 135.900000, 0.281919, 0.246489, 1359, 2000, 75, 1
08viewchange_6_100_7_150, 6, 7, 100, 56.000000, 0.316089, 0.271231, 560, 1000, 150, 1
08viewchange_7_400_7_150, 6, 7, 400, 217.000000, 0.315761, 0.326687, 2170, 4000, 150, 1
08viewchange_7_100_7_75, 6, 7, 100, 52.900000, 0.422610, 0.326456, 529, 1000, 75, 1
08viewchange_8_400_7_150, 6, 7, 400, 210.900000, 0.290903, 0.311542, 2109, 4000, 150, 1
08viewchange_8_100_7_75, 6, 7, 100, 52.300000, 0.451932, 0.379704, 523, 1000, 75, 1
08viewchange_9_400_7_75, 6, 7, 400, 144.300000, 0.450700, 0.359361, 1443, 4000, 75, 1
08viewchange_9_400_7_150, 6, 7, 400, 133.100000, 0.506830, 0.316877, 1331, 4000, 150, 1
08viewchange_10_100_7_75, 6, 7, 100, 47.920827, 0.611088, 1.546172, 983, 1000, 75, 1
08viewchange_10_200_7_150, 6, 7, 200, 141.300000, 0.419066, 0.401001, 1413, 2000, 150, 1
08viewchange_11_100_7_300, 6, 7, 100, 56.600000, 0.418571, 0.373195, 566, 1000, 300, 1
