sent, rec
25290, 135080960
3570698, 135059762
5113573, 135041007
8421179, 135020408
10884320, 135000954
13462127, 134979602
15998947, 134953638
18545557, 134915357
21146218, 169386279
22639303, 169358409
26086948, 169336207
27585037, 169313318
31077326, 169289811
32591986, 169264569
35994534, 169239840
38589954, 169195720
41105553, 169150550
43579935, 208505923
46032144, 208487296
48413899, 208467894
50791475, 208449686
53250807, 208430205
55695188, 208405515
58195615, 208385887
60585080, 208365818
62944088, 208346681
65002714, 208327324
68274348, 208304588
70741155, 208268841
73158196, 208226930
75552385, 208054445
77977807, 208031523
80348247, 286325929
82988575, 286305894
85374504, 286286579
87760675, 286267891
90198921, 286248679
93899856, 286230154
95255297, 286209123
98595948, 286189769
100960837, 286169810
103352498, 286149086
105839198, 286129066
108206061, 286106558
110626549, 286083593
112988203, 286059765
115336458, 286021688
117767814, 285976760
120143983, 331031276
123272928, 331010160
125695461, 330989072
128075603, 330967902
130503245, 330943932
132860704, 330922824
135109092, 330899866
138163911, 330875797
140785863, 330852644
142982644, 330831095
145351280, 330807237
147706083, 330785686
150457822, 330761250
152869596, 330739156
155277884, 330715925
157758715, 330694931
160208647, 330671977
162719343, 330649430
165195239, 330625487
167701333, 330598124
170473051, 330538920
172629274, 330492437
175645526, 366983460
177813845, 366964253
180967327, 366943242
183429946, 366925558
185780845, 366906661
188148970, 366887814
190572976, 366868298
193011612, 366850095
195376339, 366829071
197814724, 366809698
200181518, 366786822
206103214, 366764576
206382731, 366713743
207778830, 366668408
210453769, 407718020
212660222, 407696814
215255893, 407658911
217720652, 407639765
220768517, 407620155
223220681, 407602076
225570700, 407583234
227904509, 407562762
230286538, 407542394
232615118, 407523633
235890854, 407503066
238346273, 407483359
240615548, 407461395
242937521, 407439423
245335444, 407415388
247731827, 407383125
250604656, 454043263
252898088, 454022982
255216885, 454000062
257663829, 453977726
261058677, 453949146
263458077, 453928818
265934523, 453906341
268275603, 453884062
270665383, 453862857
272994718, 453842280
275335290, 453819474
277687153, 453797332
280959635, 453772990
283337905, 453741874
285665675, 453698728
288190879, 493754103
290114908, 493738152
292626888, 493721038
295873310, 493705569
298235851, 493690267
300539990, 493674378
303449792, 493659128
305794484, 493642790
308107713, 493626896
310488116, 493611038
312793569, 493594427
316027298, 493576439
318408806, 493558483
320713973, 493541142
323011062, 493525431
325408439, 493506745
327762070, 493488815
330147390, 493468601
332961927, 493442066
335147293, 536361537
337957940, 536326688
340560718, 582164320
342855388, 582144200
350949821, 582123772
351173060, 582101491
351317815, 582081867
353229971, 582062213
355334633, 582042160
358640437, 582022684
360963398, 582001673
363249420, 581979506
365610456, 581958414
368065374, 581938548
370100621, 581914998
373349611, 581888654
375664043, 581820190
378071251, 581766859
380179746, 633671340
382811636, 633645988
386041471, 633607810
388340748, 633581400
390771292, 633555400
393185985, 633533902
395567224, 633510937
398328415, 633485866
400681461, 633459366
403020451, 633434502
405257711, 633409207
407745868, 633382241
411046798, 633344558
413261284, 633319883
415538807, 633291860
417882394, 633258843
420730911, 633228761
423329934, 633202681
425674640, 633172948
428004513, 633126409
430496767, 684708094
433273797, 684689979
435588621, 684671849
437934557, 684651936
440215226, 684629556
443548116, 684603524
445897828, 684582988
448176225, 684565027
451018987, 684544453
453308464, 684525049
455128047, 684502013
458487654, 684483070
460883060, 684462600
462544289, 684440813
465863000, 684422232
468180128, 684400336
470553634, 684379864
472899617, 684359616
475215116, 684340238
478581701, 684319910
480893751, 684299037
489426425, 684278134
489629310, 684257476
489761306, 684234938
490151830, 684214470
493186392, 684194228
495893224, 684171813
497743283, 684145369
500261105, 684108064
502545401, 684026157
505310756, 683973297
508569985, 741881654
510961385, 741858363
513010882, 741830669
515326773, 740534162
517717534, 740512238
521040455, 740490545
523423672, 740469214
525802311, 740445006
528110043, 740420003
530516468, 740390681
532763019, 740358915
535977539, 740314514
538509136, 794660361
540462116, 794637880
543006768, 794609629
545294410, 794588667
548237773, 794566881
550621803, 794546276
552613707, 794525029
555932884, 794503059
558340514, 794480320
560653740, 794455730
562951961, 794432926
565357053, 794406368
568184471, 794380395
570233897, 794357382
573518976, 794335421
575845892, 794313557
578229828, 794293023
580582936, 794271905
583248285, 794245508
585542151, 794214284
587844414, 794142995
590870253, 794083487
593214819, 846958310
595538193, 846937558
597908586, 846918652
600298558, 846898202
603572651, 846877652
605925514, 846856601
608234060, 846837345
610462826, 846816869
613558262, 846796986
615888053, 846777469
617975799, 846757694
620233305, 846737821
623608031, 846716537
626015421, 846694597
628352816, 846672279
630766371, 846651167
632789722, 846630310
635764448, 846607073
644006025, 846586298
644151346, 846566463
644280401, 846545484
645823790, 846516998
648049885, 846447574
650409241, 846396854
652649021, 900656265
655350430, 900637808
657705800, 900618577
660358714, 900599940
663476740, 900580714
665874246, 900560560
668231732, 900541554
670686590, 900523237
673123912, 900502087
675581204, 900481785
678070798, 900460635
680431157, 900440249
683127236, 900412962
685789953, 900389084
688088381, 900366659
691103279, 900344559
692932924, 900319759
695237573, 900293551
698609706, 900262416
701634416, 950690081
702876309, 950664938
705189354, 950641079
708163757, 950614233
711007307, 950583199
713332135, 948192024
715285862, 948172310
718600354, 948151010
720921531, 948130598
723229059, 948107206
725611758, 948086461
727945550, 948062987
730334744, 948040126
732521912, 948017019
735764377, 947993644
738126566, 947970136
740029551, 947941827
743387150, 947907530
745690871, 989175650
747640055, 989155120
750957565, 989134642
752657336, 989113397
761344204, 989090957
761526950, 989069446
761660814, 989045766
763065617, 989022559
765298357, 989001312
768510361, 988980011
770852654, 988954402
773144364, 988929913
775446837, 988907985
777884896, 988884386
780112126, 988861309
783521301, 988838299
785945950, 988816632
788319298, 988792772
790797956, 988769106
793232933, 988744818
795744762, 988718189
798114520, 988689730
800586753, 988639336
802930951, 988585019
805377448, 1040954073
807857804, 1040938307
810590182, 1040919181
812847652, 1040901171
815175471, 1040883057
818548931, 1040862934
820866462, 1040833932
823076210, 1040805277
825351271, 1040786046
828158038, 1040763983
830545211, 1040738538
832957085, 1040713227
835956300, 1040686725
838269899, 1040669134
840579357, 1040649235
842898846, 1040631937
845275951, 1040611808
848044616, 1040590807
851033781, 1040567648
853371776, 1040548983
855742558, 1040527876
857572095, 1040503228
860289234, 1040464498
862660841, 1089466211
865357779, 1089444297
867659782, 1089422141
870245269, 1089399914
873178588, 1089379905
875555344, 1089355405
877990108, 1089336980
880312205, 1089316171
882697039, 1089296326
886085375, 1089275209
888414140, 1089254197
890727218, 1089204599
899665196, 1089127898
899836831, 1170937903
899953299, 1170918399
900066249, 1170900381
903475985, 1170879825
905766723, 1170860944
908008238, 1170841926
910087867, 1170822517
912693619, 1170800150
915084987, 1170779619
917905020, 1170757718
920234242, 1170736245
923618581, 1170715462
926033559, 1170694581
928421278, 1170672417
930739134, 1170647158
933118730, 1170619910
935493405, 1170593880
937955097, 1170563052
940269202, 1161211683
942662649, 1161180759
946046412, 1161113311
947555482, 1161054580
950731470, 1210171786
952766721, 1207213903
956010707, 1207185599
958413739, 1207157891
960605073, 1207130839
963208428, 1207105483
965537483, 1207080717
968357436, 1207051301
970683436, 1206987809
972948184, 1258802396
976034722, 1258772564
977723218, 1258749187
980962549, 1258725609
983338221, 1258700519
985705458, 1258672381
988014942, 1313786143
990262008, 1313765560
993597769, 1313723539
995922686, 1313702258
998301447, 1313683997
1000651057, 1313663578
1003041082, 1313645483
1005379059, 1313626563
1007648458, 1313605725
1010988485, 1313585363
1013529400, 1313565814
1015760518, 1313545922
1026124280, 1313525981
1026354338, 1313504854
1026510186, 1313483547
1026639648, 1355406430
1028652203, 1355384542
1030950363, 1355363305
1033230741, 1355343113
1035524070, 1355322330
1037771912, 1355303103
1040172863, 1355283190
1043594998, 1355263679
1045480454, 1355243772
1047730864, 1405672767
1051038664, 1405649809
1053369466, 1405628508
1055433742, 1405609134
1058196495, 1405584321
1060014478, 1405561965
1063454277, 1405537196
1067716198, 1405513486
1067897512, 1405488827
1070164158, 1445273233
1073531149, 1488491688
1075853933, 1488464634
1078224731, 1488437421
1080522897, 1488410338
1082796554, 1488379808
1086129019, 1488339856
1089495629, 1488294619
1090710280, 1486925665
1092514126, 1486901455
1095766622, 1486875347
1098135463, 1486849604
1100990018, 1486824595
1103576427, 1486803815
1106005119, 1486781132
1108372407, 1486760449
1110087300, 1486737309
1113391172, 1486713891
1115766820, 1486692212
1118273505, 1486669914
1120430446, 1486645638
1122580782, 1523005716
1125281919, 1522982114
1127659584, 1522960581
1131052027, 1522940927
1133440199, 1522915738
1135765728, 1522896622
1137513188, 1522877558
1140739785, 1522858277
1143199415, 1522839914
1145604596, 1522818457
1147953906, 1522797496
1150364733, 1171853601
1152695457, 1175493657
1155942773, 1175457950
1158319124, 1175420935
1160656937, 1175856883
1170971640, 1197647956
1171232383, 1197616677
1171362768, 1197583718
1171442871, 1197555314
1172979437, 1197525561
1175207977, 1197496981
1178340705, 1197469444
1180774877, 1197442208
1183048835, 1197409568
1185414483, 1197374714
1187787941, 1197336352
1191133251, 1211187481
1193504981, 1211164218
1195817267, 1211129573
1198128980, 1211075630
1200408308, 1211026586
1202774269, 1226719266
1205232480, 1226694361
1210204375, 1226668627
1210436537, 1226639318
1213579344, 1226597323
1215891632, 1226532667
1217757290, 1248738545
1221061914, 1248695687
1223733680, 1248619610
1226023792, 1248563352
1228289351, 1279086571
1230574189, 1279062927
1232875769, 1279038166
1235161215, 1279012194
1238501440, 1278984230
1240772803, 1278954792
1242609161, 1278926127
1245871596, 1278881813
1248148871, 1313352626
1250296884, 1313332320
1253585269, 1313309967
1255876285, 1313285933
1258194951, 1313259869
1260556952, 1313218710
1263242941, 1314083696
1265667676, 1314053797
1267742171, 1314019653
1271115659, 1313979810
1272924526, 1313944248
1275006759, 1313898950
1278542060, 1355222531
1280273729, 1355201423
1292656650, 1355180595
1292828389, 1355156295
1292947129, 1355134792
1293066691, 1355113659
1293181310, 1355092268
1295425712, 1355068147
1297677731, 1355045331
1300909386, 1355005433
1303212865, 1354955411
1305504749, 1405462144
1307750802, 1405437784
1311108353, 1396914798
1312929645, 1396887489
1315507427, 1396863773
1317816322, 1396837424
1320147959, 1396787823
1323510756, 1396735921
1325710337, 1445249922
1327735798, 1445227226
1330159469, 1445203550
1332549013, 1445179331
1335254505, 1445154851
1338619721, 1445126780
1340923385, 1445099056
1343825998, 1445071847
1345085681, 1445047127
1348309515, 1445022380
1350680659, 1444994879
1352988892, 1444954578
1355433914, 1443781028
1357789753, 1486624115
1360787555, 1486597235
1363051310, 1486572860
1365412218, 1486548590
1367809620, 1486520822
1371019338, 1486492432
1373083516, 1486450047
1375364847, 1486390449
1377691330, 1486333142
1380120399, 1522774311
1383336285, 1522749989
1385608708, 1522728002
1387877353, 1522701705
1390210341, 1522680479
1393536217, 1522659949
1395820093, 1522639839
1405706092, 1522614939
1405888708, 1522567935
1405994885, 1522526301
1406084834, 1555370133
1408492223, 1555348353
1410738186, 1555327125
1412732171, 1555303333
1415551478, 1555275334
1418147559, 1555238738
1420362109, 1555213272
1422998676, 1555153105
1425279878, 1555103587
1428000216, 1604604949
1430329896, 1604586247
1432594531, 1604560780
1435814059, 1604538416
1438135528, 1604518286
1440455998, 1618899668
1442732770, 1618856655
1445310773, 1619502188
1448410236, 1619469431
1450130722, 1604495440
1453423063, 1604466531
1455814072, 1604429905
1458158936, 1604369161
1460157674, 1670843155
1595796373, 1802522481
1600204837, 1802496614
1600323541, 1802438806
1603579027, 1802389479
1620772019, 1835794652
1623234070, 1835775905
1625554220, 1835756226
1627684970, 1835736099
1631024896, 1835714324
1633474126, 1834021569
1635813096, 1834001390
1638195570, 1833979053
1640508576, 1833958591
1642840571, 1833937589
1645240061, 1833919008
1647791351, 1833899047
1650178455, 1833878856
1653612540, 1833855956
1655994171, 1833833490
1657959406, 1833797316
1660298432, 1833749732
1662727533, 1859363992
1665209716, 1859341648
1667919851, 1859318770
1670431534, 1859293849
1673019923, 1859270539
1675380171, 1859246366
1677870018, 1859220918
1680252370, 1859195319
1682681445, 1859169083
1685667316, 1859140952
1687894546, 1859112919
1690253981, 1859088154
1693613003, 1859060566
1695925066, 1859029880
1698298303, 1859001253
1700604019, 1858973531
1702901489, 1858944210
1705243450, 1858911512
1707633205, 1858873716
1711046343, 1858817802
1713744286, 1858753925
1715999579, 1902664103
1718391709, 1902637532
1720702427, 1902610887
1722999831, 1902585350
1725381618, 1902559475
1727757951, 1902533291
1730183656, 1902505438
1733600498, 1902478304
1735959552, 1902449483
1738380042, 1902413136
1740713635, 1902380172
1744543499, 1902345771
1745796903, 1902321241
1748016241, 1902296837
1750412868, 1902271675
1752738787, 1902245872
1756033652, 1902219467
1758416985, 1902189364
1760771122, 1902149015
1763085024, 1902077115
1765481827, 1942091365
1767892048, 1942068359
1770385899, 1942046580
1772708525, 1942025093
1776074753, 1942003777
1778467281, 1941979397
1780785176, 1941956406
1783106054, 1941934797
1785508431, 1941910915
1787854882, 1941887117
1790273861, 1941865035
1792621162, 1941837974
1795907487, 1941812993
1798324229, 1941784826
1800606131, 1941742751
1802549372, 1941693938
1805856737, 1978794969
1808177764, 1978771385
1810507765, 1978746172
1812808416, 1978708043
1823947763, 1978687186
1824058745, 1978665171
1824156846, 1978642923
1824253831, 1978620295
1825426663, 1978594745
1827706148, 1978565266
1831049194, 1978533954
1833388330, 1978480114
1835103619, 2019326017
1837938333, 2019303946
1841030415, 2019281162
1843057149, 2019260279
1845407379, 2019238628
1847686041, 2019218212
1851012883, 2019197154
1853375345, 2019175107
1855745230, 2019130600
1858184498, 2019089775
1860449488, 2063972661
1862822946, 2063951532
1865522624, 2063929872
1868629740, 2063907521
1870355970, 2063867453
1872614469, 2062337333
1875119006, 2062317425
1878512994, 2062296817
1880772104, 2062274472
1883048448, 2062253994
1885446316, 2062230070
1887760274, 2062203923
1890912766, 2062177993
1892707999, 2062153147
1895235884, 2062121788
1898540253, 2062054216
1900863404, 2061993875
1902687725, 2105195519
1905269799, 2105170966
1907806068, 2105146149
1910524311, 2105120679
1912792978, 2105095414
1916189947, 2105062835
1917790912, 2103799077
1921001765, 2103774363
1923344847, 2103750449
1925685155, 2103725243
1927966594, 2103701088
1930299756, 2103663321
1932691606, 2103637973
1935467756, 2103610849
1937814966, 2103575329
1940081038, 2103534253
1944063187, 2133567778
1945290260, 2133547758
1948491811, 2133527511
1950896302, 2133507880
1952974206, 2133487612
1955689704, 2133467207
1958632023, 2133446942
1960877993, 2133428050
1963140991, 2133409081
1965302512, 2133389862
1967883972, 2133369685
1970223374, 2133349723
1973552061, 2133327689
1975808196, 2133303687
1978127797, 2133282989
1980883137, 2133261629
1983167330, 2133240787
1985305103, 2133217188
1987919680, 2133180964
1990244930, 2131217057
1993637993, 2176870998
1995107875, 2176850885
1998407230, 2176830395
2000673869, 2176810781
2002851812, 2176790311
2012475621, 2176769991
2012625694, 2176751006
2012738576, 2176731974
2012853443, 2176710794
2016052204, 2176689834
2018388697, 2176668538
2020247039, 2176646967
2022764238, 2176622164
2025481894, 2176594362
2028008499, 2176549055
2030333781, 2176497896
2032910867, 2213165871
2035238451, 2213134333
2038543255, 2246047604
2040767701, 2246028012
2043027510, 2246007599
2048185440, 2245987640
2048369234, 2245966742
2050632210, 2245946066
2052896505, 2245926208
2055170042, 2245904879
2057786642, 2245882891
2061038156, 2245860771
