name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
08xviewchange_0_100_7_300, 6, 7, 100, 95.121671, 0.439873, 0.386151, 1000, 1000, 300, 1
08xviewchange_1_50_7_300, 6, 7, 50, 46.599100, 0.401699, 0.324397, 500, 500, 300, 1
08xviewchange_2_100_7_75, 6, 7, 100, 93.657184, 0.424940, 0.366933, 1000, 1000, 75, 1
08xviewchange_3_50_7_75, 6, 7, 50, 45.741002, 0.379939, 0.306632, 500, 500, 75, 1
08xviewchange_4_200_7_300, 6, 7, 200, 184.778462, 0.534423, 0.472921, 2000, 2000, 300, 1
08xviewchange_5_50_7_150, 6, 7, 50, 46.187563, 0.368473, 0.308687, 500, 500, 150, 1
08xviewchange_6_200_7_75, 6, 7, 200, 162.658439, 0.748120, 0.783147, 2000, 2000, 75, 1
08xviewchange_7_200_7_150, 6, 7, 200, 184.849575, 0.564203, 0.482825, 2000, 2000, 150, 1
08xviewchange_8_100_7_150, 6, 7, 100, 96.643447, 0.417454, 0.364222, 1000, 1000, 150, 1
08xviewchange_9_400_7_150, 6, 7, 400, 222.215740, 1.971725, 2.612012, 4000, 4000, 150, 1
08xviewchange_10_400_7_300, 6, 7, 400, 193.717164, 1.600560, 2.730570, 4000, 4000, 300, 1
08xviewchange_11_400_7_75, 6, 7, 400, 166.727356, 2.613392, 3.602175, 3529, 4000, 75, 1
