sent, rec
27678, 180321852
3535120, 180300530
5105413, 180278438
8514620, 180255913
10912547, 180232806
13510174, 180210008
16130690, 180184807
17628075, 180162458
21083971, 180131398
22599945, 180106785
26059006, 180086418
27597796, 180063971
30979758, 180038542
33573172, 180012236
36099464, 179976288
37577690, 216848887
40983526, 216828930
43391300, 216806717
45769641, 216786699
48271935, 216766336
50692706, 216746003
53191903, 216724382
55604269, 216699835
58039161, 216656979
60431508, 216608327
62750682, 255044669
65956247, 254996261
68311099, 254946623
70692122, 304605143
73112352, 304584035
75475416, 304562046
77843039, 304538698
80306355, 304511814
82922770, 303314213
85345182, 303293773
87710883, 303273865
91006745, 303254633
92663607, 303234418
96008191, 303214864
98479196, 303194349
100889123, 303173228
103247796, 303150957
105696592, 303131979
108120868, 303111021
110517445, 303087738
112943245, 303066125
115322450, 303043660
117690196, 303021446
121123933, 302997577
123285449, 302974144
125615081, 302950471
128046359, 302918493
130485272, 353866649
132922641, 353844443
135295998, 353820725
137648599, 353800485
141092218, 353779105
143465707, 353756749
145784178, 353734219
148164490, 353712340
150515259, 353690794
152827290, 353666608
155149073, 353644268
158515970, 353623823
160972962, 353601855
163492497, 353576735
165847978, 353554048
168354812, 353531191
170755416, 353507295
173219670, 353483926
175664928, 353459137
178053699, 353434154
180349270, 353409569
183463800, 353380857
185294415, 353346940
188004704, 417160830
190425209, 417139727
193285258, 417118414
195601329, 417090357
197994395, 417037444
200662991, 454815124
203028463, 454795967
205500962, 454775408
211371644, 454754253
211559736, 454736209
212724041, 454717136
215305984, 454696214
217927172, 454675239
220254253, 454656209
223001546, 454636386
225331680, 454615228
227662782, 454591408
230941850, 454571581
233395634, 454551966
235666128, 454532212
238308979, 454510902
240728740, 454489805
243066664, 454470218
245462622, 454448072
247854837, 454412309
250242744, 454387947
252656537, 454359199
255075704, 454319106
258447138, 454256808
260115750, 494972738
263394315, 494950621
265276749, 494927457
267710145, 494903218
271046717, 494880808
273349329, 494856950
275640457, 494832860
277962452, 494812532
280361683, 494788021
282694798, 494765302
286091883, 494743566
288440997, 494720065
290656721, 494697299
293000273, 494670904
295270567, 494648659
298572451, 494625453
300920530, 494602055
302601315, 494577882
305521425, 494548177
307769809, 494478807
310880842, 494403639
312874060, 530951286
315128153, 530931579
318500017, 530910923
320866699, 530890292
323151346, 530869521
325234880, 530850074
328530775, 530828696
330812227, 530807714
333151250, 530776954
335459696, 530755737
337762908, 530732389
340227447, 530708286
343457471, 530684668
345854146, 530661624
348299883, 530638320
350580675, 530615739
352950995, 530583015
356039973, 591246193
363739790, 591223393
363952322, 591201660
364092609, 591178657
366256081, 591157335
368502168, 591135692
370746702, 591115217
373041595, 591085234
375910711, 591065203
378216996, 591044157
380628707, 591024664
382942228, 591001755
385545188, 590981163
387859314, 590961220
390244786, 590939112
392522294, 590916324
395486802, 590896094
398454108, 590867967
400823766, 590843035
403317725, 590818178
405722650, 590794050
408187236, 590769767
410874343, 590748374
413317881, 590724754
415697315, 590697779
418242680, 590670374
420633207, 590640985
422748729, 590606758
425245042, 590557929
428345372, 643531597
430581446, 643508766
433521824, 643483122
435771083, 643449803
438065633, 643425074
440486783, 643398044
442802634, 643369085
445925338, 643342163
448223507, 643320323
