name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
27ablation1_0_100_4_300, 1, 4, 100, 89.170739, 1.020167, 0.495628, 2000, 2000, 300, 1
27ablation1_1_100_4_300, 1, 4, 100, 88.324988, 1.023497, 0.489385, 2000, 2000, 300, 1
27ablation1_2_1400_4_300, 1, 4, 1400, 390.261115, 14.485969, 9.594294, 10643, 28000, 300, 1
27ablation1_3_400_4_300, 1, 4, 400, 235.231798, 7.648891, 6.278433, 8000, 8000, 300, 1
27ablation1_4_10_4_300, 1, 4, 10, 9.948385, 0.437304, 0.100293, 200, 200, 300, 1
27ablation1_5_1800_4_300, 1, 4, 1800, 1.000000, 0.825443, 0.003325, 20, 36000, 300, 1
27ablation1_6_1600_4_300, 1, 4, 1600, 309.050000, 5.461579, 3.626405, 6181, 32000, 300, 1
27ablation1_7_200_4_300, 1, 4, 200, 0.000000, -nan, -nan, 0, 4000, 300, 1
27ablation1_8_4000_4_300, 1, 4, 4000, 435.000000, 10.861572, 6.279765, 8700, 80000, 300, 1
27ablation1_9_1200_4_300, 1, 4, 1200, 325.950000, 6.133677, 4.213922, 6519, 24000, 300, 1
27ablation1_10_3000_4_300, 1, 4, 3000, 194.400000, 2.220424, 1.159380, 3888, 60000, 300, 1
27ablation1_11_200_4_300, 1, 4, 200, 152.033946, 1.985379, 1.370536, 4000, 4000, 300, 1
27ablation1_12_50_4_300, 1, 4, 50, 49.198240, 0.684466, 0.244305, 1000, 1000, 300, 1
27ablation1_13_1000_4_300, 1, 4, 1000, 392.426842, 8.545192, 6.256069, 8006, 20000, 300, 1
27ablation1_14_1400_4_300, 1, 4, 1400, 339.570869, 16.112387, 11.008699, 10195, 28000, 300, 1
27ablation1_15_100_4_300, 1, 4, 100, 87.727069, 1.090955, 0.525258, 2000, 2000, 300, 1
27ablation1_16_1800_4_300, 1, 4, 1800, 439.350000, 9.870645, 6.278934, 8787, 36000, 300, 1
27ablation1_17_1800_4_300, 1, 4, 1800, 417.050000, 9.854382, 6.686011, 8341, 36000, 300, 1
27ablation1_18_800_4_300, 1, 4, 800, 304.950000, 4.382732, 2.862089, 6099, 16000, 300, 1
27ablation1_19_600_4_300, 1, 4, 600, 307.264654, 9.047267, 7.020597, 8829, 12000, 300, 1
27ablation1_20_3000_4_300, 1, 4, 3000, 403.616232, 14.340062, 8.933660, 8972, 60000, 300, 1
27ablation1_21_1000_4_300, 1, 4, 1000, 264.600000, 3.908943, 2.609311, 5292, 20000, 300, 1
27ablation1_22_3000_4_300, 1, 4, 3000, 209.700000, 2.722851, 1.353001, 4194, 60000, 300, 1
27ablation1_23_10_4_300, 1, 4, 10, 10.000000, 0.462032, 0.115288, 200, 200, 300, 1
27ablation1_24_2000_4_300, 1, 4, 2000, 398.852076, 16.864269, 10.919653, 11377, 40000, 300, 1
27ablation1_25_4000_4_300, 1, 4, 4000, 266.500000, 3.777194, 2.138865, 5330, 80000, 300, 1
27ablation1_26_400_4_300, 1, 4, 400, 280.597792, 4.572617, 3.447071, 6462, 8000, 300, 1
27ablation1_27_1400_4_300, 1, 4, 1400, 380.051579, 15.338673, 9.988976, 10736, 28000, 300, 1
27ablation1_28_2000_4_300, 1, 4, 2000, 452.381357, 12.393147, 7.979387, 9686, 40000, 300, 1
27ablation1_29_1200_4_300, 1, 4, 1200, 358.529745, 13.083211, 9.721276, 10140, 24000, 300, 1
27ablation1_30_600_4_300, 1, 4, 600, 328.990126, 9.223981, 6.846864, 9531, 12000, 300, 1
27ablation1_31_2000_4_300, 1, 4, 2000, 215.000000, 3.076476, 1.989254, 4300, 40000, 300, 1
27ablation1_32_1000_4_300, 1, 4, 1000, 347.876399, 15.888891, 10.791638, 11752, 20000, 300, 1
27ablation1_33_1600_4_300, 1, 4, 1600, 361.295520, 17.145595, 11.581153, 11229, 32000, 300, 1
27ablation1_34_1_4_300, 1, 4, 1, 1.000000, 0.533682, 0.088854, 20, 20, 300, 1
27ablation1_35_4000_4_300, 1, 4, 4000, 276.100000, 4.759606, 2.714662, 5522, 80000, 300, 1
27ablation1_36_800_4_300, 1, 4, 800, 358.386423, 8.972092, 6.744383, 8825, 16000, 300, 1
27ablation1_37_400_4_300, 1, 4, 400, 258.356836, 5.699688, 4.631272, 7208, 8000, 300, 1
27ablation1_38_1_4_300, 1, 4, 1, 1.000000, 0.516559, 0.073859, 20, 20, 300, 1
27ablation1_39_50_4_300, 1, 4, 50, 46.352464, 0.692030, 0.253889, 1000, 1000, 300, 1
27ablation1_40_800_4_300, 1, 4, 800, 300.650000, 4.566817, 3.090240, 6013, 16000, 300, 1
27ablation1_41_10_4_300, 1, 4, 10, 9.971176, 0.446162, 0.108685, 200, 200, 300, 1
27ablation1_42_50_4_300, 1, 4, 50, 46.852891, 0.675346, 0.242984, 1000, 1000, 300, 1
27ablation1_43_1200_4_300, 1, 4, 1200, 298.600000, 5.529654, 4.007754, 5972, 24000, 300, 1
27ablation1_44_1_4_300, 1, 4, 1, 1.000000, 0.480580, 0.080384, 20, 20, 300, 1
27ablation1_45_200_4_300, 1, 4, 200, 169.044813, 2.063232, 1.368052, 4000, 4000, 300, 1
27ablation1_46_1600_4_300, 1, 4, 1600, 252.600000, 3.654652, 2.432545, 5052, 32000, 300, 1
27ablation1_47_600_4_300, 1, 4, 600, 318.061978, 10.340697, 7.603612, 10074, 12000, 300, 1
