name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
27xablation5_0_1400_4_300, 5, 4, 1400, 528.769247, 7.439430, 4.521786, 12900, 14000, 300, 1
27xablation5_1_3000_4_300, 5, 4, 3000, 486.255734, 11.023527, 5.869992, 11400, 30000, 300, 1
27xablation5_2_1000_4_300, 5, 4, 1000, 578.965294, 3.746215, 2.145538, 10000, 10000, 300, 1
27xablation5_3_1400_4_300, 5, 4, 1400, 509.362759, 8.006814, 4.376625, 12165, 14000, 300, 1
27xablation5_4_100_4_300, 5, 4, 100, 100.000000, 0.363851, 0.058653, 1000, 1000, 300, 1
27xablation5_5_600_4_300, 5, 4, 600, 591.120804, 0.929139, 0.101640, 6000, 6000, 300, 1
27xablation5_6_1800_4_300, 5, 4, 1800, 533.276343, 8.446268, 4.985250, 12600, 18000, 300, 1
27xablation5_7_1600_4_300, 5, 4, 1600, 505.295490, 8.386348, 4.880802, 12359, 16000, 300, 1
27xablation5_8_3000_4_300, 5, 4, 3000, 477.866969, 10.447123, 6.122958, 11400, 30000, 300, 1
27xablation5_9_1200_4_300, 5, 4, 1200, 509.666512, 7.071469, 3.970044, 12000, 12000, 300, 1
27xablation5_10_400_4_300, 5, 4, 400, 400.000000, 0.629935, 0.172282, 4000, 4000, 300, 1
27xablation5_11_10_4_300, 5, 4, 10, 10.000000, 0.372561, 0.051998, 100, 100, 300, 1
27xablation5_12_800_4_300, 5, 4, 800, 594.541516, 2.386462, 1.057682, 8000, 8000, 300, 1
27xablation5_13_1000_4_300, 5, 4, 1000, 543.387410, 4.793717, 2.505894, 10000, 10000, 300, 1
27xablation5_14_800_4_300, 5, 4, 800, 625.805269, 1.670717, 0.784056, 8000, 8000, 300, 1
27xablation5_15_1600_4_300, 5, 4, 1600, 527.947165, 8.423912, 4.695983, 12551, 16000, 300, 1
27xablation5_16_1_4_300, 5, 4, 1, 1.000000, 0.541842, 0.118343, 10, 10, 300, 1
27xablation5_17_2000_4_300, 5, 4, 2000, 511.976370, 9.423637, 5.047887, 12000, 20000, 300, 1
27xablation5_18_100_4_300, 5, 4, 100, 100.000000, 0.383987, 0.066057, 1000, 1000, 300, 1
27xablation5_19_100_4_300, 5, 4, 100, 100.000000, 0.434599, 0.200701, 1000, 1000, 300, 1
27xablation5_20_50_4_300, 5, 4, 50, 50.000000, 0.346998, 0.041408, 500, 500, 300, 1
27xablation5_21_10_4_300, 5, 4, 10, 10.000000, 0.387584, 0.104894, 100, 100, 300, 1
27xablation5_22_1600_4_300, 5, 4, 1600, 507.667626, 8.466961, 4.788150, 12000, 16000, 300, 1
27xablation5_23_50_4_300, 5, 4, 50, 50.000000, 0.350653, 0.041427, 500, 500, 300, 1
27xablation5_24_400_4_300, 5, 4, 400, 400.000000, 0.583570, 0.091295, 4000, 4000, 300, 1
27xablation5_25_10_4_300, 5, 4, 10, 10.000000, 0.421459, 0.214984, 100, 100, 300, 1
27xablation5_26_2000_4_300, 5, 4, 2000, 514.106533, 9.045975, 5.356218, 12300, 20000, 300, 1
27xablation5_27_1800_4_300, 5, 4, 1800, 499.767103, 8.951610, 5.241604, 12197, 18000, 300, 1
27xablation5_28_200_4_300, 5, 4, 200, 200.000000, 0.439624, 0.096678, 2000, 2000, 300, 1
27xablation5_29_200_4_300, 5, 4, 200, 200.000000, 0.427989, 0.104868, 2000, 2000, 300, 1
27xablation5_30_1000_4_300, 5, 4, 1000, 559.881390, 4.210912, 2.407009, 10000, 10000, 300, 1
27xablation5_31_1400_4_300, 5, 4, 1400, 509.797088, 7.709148, 4.500776, 12256, 14000, 300, 1
27xablation5_32_1200_4_300, 5, 4, 1200, 538.215215, 6.339899, 3.601739, 12000, 12000, 300, 1
27xablation5_33_600_4_300, 5, 4, 600, 592.888098, 0.925842, 0.115403, 6000, 6000, 300, 1
27xablation5_34_1200_4_300, 5, 4, 1200, 557.886599, 5.968708, 3.486673, 12000, 12000, 300, 1
27xablation5_35_800_4_300, 5, 4, 800, 602.883367, 2.363143, 0.865297, 8000, 8000, 300, 1
27xablation5_36_4000_4_300, 5, 4, 4000, 468.896454, 11.572585, 6.180887, 10800, 40000, 300, 1
27xablation5_37_1_4_300, 5, 4, 1, 1.000000, 0.494536, 0.062701, 10, 10, 300, 1
27xablation5_38_600_4_300, 5, 4, 600, 579.360896, 0.870522, 0.163336, 6000, 6000, 300, 1
27xablation5_39_1800_4_300, 5, 4, 1800, 534.026530, 8.506007, 5.037249, 12900, 18000, 300, 1
27xablation5_40_1_4_300, 5, 4, 1, 1.000000, 0.480084, 0.076395, 10, 10, 300, 1
27xablation5_41_200_4_300, 5, 4, 200, 200.000000, 0.437113, 0.086311, 2000, 2000, 300, 1
27xablation5_42_4000_4_300, 5, 4, 4000, 466.035561, 11.317067, 6.185706, 10800, 40000, 300, 1
27xablation5_43_2000_4_300, 5, 4, 2000, 512.573242, 9.175854, 5.347425, 12265, 20000, 300, 1
27xablation5_44_4000_4_300, 5, 4, 4000, 450.552034, 11.186399, 6.314726, 10500, 40000, 300, 1
27xablation5_45_400_4_300, 5, 4, 400, 400.000000, 0.598120, 0.119917, 4000, 4000, 300, 1
27xablation5_46_50_4_300, 5, 4, 50, 50.000000, 0.358344, 0.052041, 500, 500, 300, 1
27xablation5_47_3000_4_300, 5, 4, 3000, 492.879437, 10.433484, 5.957205, 11810, 30000, 300, 1
