sent, rec
1650, 775399203
1379207, 775385316
2630469, 775371900
2815878, 775358215
4056828, 775342484
4244494, 775326762
5487086, 775310666
6762595, 775284290
6965206, 775269921
9235126, 775255173
9412208, 775242150
9586328, 775226612
10832107, 775210705
11012323, 775194751
12264629, 775179058
13511668, 775163297
13671392, 775145791
14851953, 775129935
16025817, 775113726
16121700, 775097045
17283823, 775081511
18444821, 775065372
18559739, 775049174
19716561, 775029501
20926126, 775012536
21029926, 774996976
22188139, 774978062
23362433, 774960220
23458748, 774943798
24630154, 774927630
25810569, 774908222
25926381, 774883590
27087979, 774864425
28294628, 774843634
28394858, 774822496
29559303, 774797319
30724693, 774775305
30839904, 774753012
32034914, 774728312
33199237, 774706844
34360548, 774685081
34508369, 774663386
35694424, 774641582
36864007, 774616597
36996774, 774594864
38163815, 774567197
39345827, 774545213
39443771, 774505546
40604974, 774481166
42449588, 774455844
42544902, 774425723
42633132, 774405435
43804191, 774380694
44970431, 774340440
45071403, 774321685
46406684, 774307242
47574271, 774293468
47723816, 774278593
48892944, 774263296
50092926, 774247736
50203368, 774231078
51424217, 774213572
52594796, 774189763
52698153, 774158765
53866154, 774125879
55106156, 774094139
55205688, 774064102
56370740, 774030364
57547829, 773996419
57863017, 773957777
59029829, 773924217
59169356, 773889441
60338670, 773840970
61548100, 773807207
61698846, 773772771
62869740, 773737715
64075356, 773665996
64186831, 773627459
65356473, 773587609
66542591, 876259085
67731203, 876246172
67830206, 876231053
68994281, 876215683
70171080, 876202084
70268844, 876187672
71430933, 876172510
72600323, 876156883
72702718, 876141346
73862026, 876123246
75668417, 876107753
75764300, 876092597
75911814, 876076887
77083304, 876061845
78255172, 876044974
78385267, 876027832
79559474, 875124110
80777461, 875108051
80874117, 875090206
82053355, 875073056
83224714, 875057236
84390368, 875040194
84506352, 875025330
85665259, 875008619
86873701, 874992587
86977680, 874975614
88141482, 874958131
89326115, 874940682
89445016, 874922420
90606097, 874904301
91658101, 874885945
91776462, 874866847
92945796, 874833928
94113894, 874819883
94213834, 874805376
95424905, 874791369
96593361, 874775633
96692334, 874759912
97858659, 874743852
99034794, 874728758
100202871, 874711673
100305248, 874696938
101537882, 874679888
102710711, 874662972
102815203, 874648581
104018976, 874632452
105187933, 874616781
105319005, 874600816
106476184, 874581592
107647377, 874564052
107899978, 874543958
109076885, 874517763
109182352, 874481920
110346864, 874441165
111549490, 1019279818
111669503, 1019262201
112833741, 1019245049
113996080, 1019227755
115183076, 1019210765
115301967, 1019194020
116468083, 1019173819
117637996, 1019157388
117745500, 1019139975
118957751, 1019119028
120123958, 1019101693
120227626, 1019084675
121386859, 1019065953
122557072, 1019044822
122654902, 1019017840
123815480, 1017674837
124993348, 1017656135
126793872, 1017636858
126964986, 1017619064
127070213, 1017599370
128246044, 1017580093
128346012, 1017561927
129532079, 1017541298
130715783, 1017521535
131889999, 1017501849
132021265, 1017482569
133195139, 1017460852
139172497, 1017438772
139269958, 1017417958
139368971, 1017397655
139464223, 1017374892
139572480, 1017328073
139683537, 1017308944
139777735, 1017291375
139868157, 1017273571
141053413, 1017255599
141155885, 1017236290
142320659, 1017216784
143498770, 1017198804
143609440, 1017181496
144772914, 1017161552
145939701, 1017143639
146040133, 1017125976
147231241, 1017107199
148420793, 1017088403
148556295, 1017067967
149727091, 1017033849
150903954, 1016990920
151008252, 1016950611
152167794, 1016909691
153336521, 1016866071
153433840, 1016803735
154595876, 1016754798
155764302, 1168456739
155889808, 1168437944
157066777, 1168419520
158231558, 1168399441
160054630, 1168377120
160153436, 1168347630
160243728, 1168326791
161417980, 1168299506
162586661, 1168281551
162715339, 1168263190
163879516, 1168242339
165059848, 1168221349
165154595, 1168198588
166314706, 1168179164
167482451, 1168161457
167585556, 1168143463
168745453, 1168124444
169935701, 1168104040
170042765, 1168085294
171236692, 1168063684
172405046, 1168043995
172509702, 1168019577
173673718, 1167997850
174839277, 1167979024
176020901, 1167958455
176160087, 1167937868
177344568, 1167915858
178518671, 1167896752
178623636, 1167875295
179783495, 1167849790
180984416, 1167829481
181082487, 1167809548
182246676, 1167788400
183410186, 1167766847
183512023, 1167746417
184716084, 1167723794
185864596, 1167702881
185980856, 1167679629
187146929, 1167652188
187535723, 1167630996
188702844, 1167610309
189863571, 1167589047
191045995, 1167566120
191140516, 1167542797
192305593, 1167520940
194098914, 1167498541
194188155, 1167470657
194280367, 1167448969
195501094, 1167427170
196667647, 1167405818
196762333, 1167383800
197921162, 1167361896
199136483, 1167337694
199242271, 1167287079
200437177, 1167266716
201609263, 1167241316
201718122, 1167222437
202882300, 1167204023
204053302, 1167183364
205218957, 1167163868
205321598, 1167140066
206476684, 1167104039
207644791, 1166007050
207746162, 1165982227
208921215, 1165963649
209988471, 1165943320
210054781, 1165921899
211199503, 1165899575
212364855, 1165879243
213502733, 1165843034
213594737, 1165819069
215041646, 1165781365
215111796, 1165709258
216241656, 1165687214
217402122, 1165666693
218553591, 1165644277
218630999, 1165622638
219765385, 1165589061
220926863, 1165564184
221032289, 1165541481
222193366, 1165514913
223373536, 1165491782
223470658, 1165470282
224634738, 1165447246
225801395, 1165422826
227240532, 1165399550
227338037, 1165377171
228495336, 1165347589
228563796, 1165318301
229711238, 1165286189
230848812, 1165237380
230921497, 1165204795
232052534, 1165176161
233217761, 1165143474
234354616, 1165111616
234422132, 1165080745
235556097, 1165047134
236694125, 1165003671
236766037, 1164970971
237938487, 1164937016
239080170, 1164889250
240221924, 1164868353
240326275, 1164847719
241528207, 1164828004
242600382, 1164807450
242690825, 1164787289
243858459, 1164762977
244996135, 1164742789
245064211, 1164722766
246195592, 1164703980
247335117, 1164683560
248471808, 1164663855
248542243, 1164642896
249674857, 1164622100
250813275, 1164595373
250887202, 1164574011
252017603, 1164553774
253191475, 1164533392
254329254, 1164514154
254400322, 1164493313
255558112, 1164471189
256700404, 1164447571
256791349, 1164425890
257965738, 1164404175
259127179, 1164381619
259209539, 1164359339
260345764, 1164332479
261488475, 1164304692
262630646, 1164269187
262728049, 1164225877
263866753, 1164179817
265010454, 1164136588
265127090, 1164091949
266256196, 1164044392
267397514, 1163992306
268534354, 1163941950
268604356, 1163907571
269736236, 1163878244
270871126, 1163847585
270993643, 1163808905
272130241, 1163750626
273288671, 1163702800
273387965, 1163645598
274522548, 1163601387
275663084, 1163554751
276950078, 1163507942
277019623, 1163448707
278195551, 1163418992
279333453, 1163378969
279401968, 1163337328
280621113, 1163287612
281784327, 1253519129
281926191, 1253502852
283092824, 1253488989
284271962, 1253473280
293984902, 1253461495
294094913, 1253449400
294247763, 1253435972
294346173, 1253423662
294438270, 1253410477
294555459, 1253397317
294650935, 1253385106
294740435, 1253372153
294849413, 1253359563
294983910, 1253345457
295081239, 1253331773
295171238, 1253316830
295267430, 1253300427
295357555, 1253285431
296546647, 1253269768
296673389, 1253256281
