sent, rec
1482, 490689089
1385007, 492849979
1589130, 493377147
2827382, 490928668
3015506, 493086967
4259622, 492943157
4442572, 493219778
5675269, 491364747
7848570, 493434804
8025327, 491348718
8197859, 492998644
8367104, 493450535
8536064, 492783813
8703725, 493481707
9952569, 493390823
10133643, 490652595
11370382, 493192716
11523129, 493101259
12692080, 490722054
12794395, 491293904
13963421, 493288724
14067109, 493205447
15228916, 491596016
15352244, 491699123
16513135, 490838009
17683014, 492883270
17788038, 491395695
18952299, 491489081
19055486, 491232372
20213443, 493318204
20313363, 492927631
21469266, 493057747
21575402, 491048796
22767442, 491556617
22903722, 491714782
24107041, 491195467
24213600, 491130240
25371122, 493176769
25493482, 491078588
26658640, 493466282
26761552, 491162774
27923072, 493147287
28019188, 493347991
29183322, 491541811
30354708, 493116878
30483066, 491381935
31659015, 493405457
33358010, 491472165
33459803, 490782641
33550640, 491439337
33649561, 492867649
34848085, 491422386
34983631, 493274677
36147561, 491729972
36259042, 491508496
37578003, 493302412
37676505, 491631732
38841371, 492827850
38940011, 491649861
40101055, 491317456
40199978, 491264720
41362783, 492983667
41460827, 493161828
42655807, 490989065
42754667, 493363823
43980360, 491681889
44274080, 491019404
45443054, 490958747
45627546, 490753523
46827325, 491334558
46956013, 493242377
48125842, 493421361
48228694, 493014649
49388643, 492805720
49513046, 491613754
50675560, 490620694
50776734, 491454769
51939794, 493332884
52043997, 491100001
53208118, 491665121
53338999, 492965586
54504013, 490897820
55670934, 492911441
55772145, 490869836
56904014, 493258833
57005639, 493029303
58690531, 493132982
58812090, 493043533
58903684, 491576648
60080120, 491525097
60181298, 493071729
