sent, rec
2162, 758915158
20356969, 758895267
40847278, 758845082
60309329, 1390347358
80795625, 1390325501
100268995, 1390311649
120740471, 1390297216
140234519, 1390282527
160469075, 1390266246
180915883, 1390242955
200383904, 1390231898
220858127, 1390218183
240341512, 1390205727
260839857, 1390192374
280329904, 1390180635
300838914, 1390166796
320318060, 1390153628
340757213, 1390139023
360115530, 1390124717
380465453, 1390108176
400847435, 1390092389
420251670, 1390074811
440598331, 1390047977
460953580, 1390028999
480368735, 1390005987
500776671, 1389974504
520441118, 1389939002
540801055, 1389907596
560192600, 1389874308
580610595, 1389844514
600963651, 1389813989
620394520, 1389784842
640811851, 1389755467
660307803, 1389727580
680655931, 1389694764
701064964, 1389648424
720487429, 1387574972
740906189, 1387560746
761024548, 1387545666
780396375, 1387527682
800759269, 1387498383
820141049, 1387469547
840526959, 1947408473
860965109, 1947383744
880380124, 1947356334
900508324, 1947330687
920989517, 1947311484
940377428, 1947284016
960728209, 1947254559
980133582, 1947227145
1000531404, 1947199751
1020892401, 1947172757
1040336814, 1947150930
1060690130, 1947125581
1081020976, 1947100667
1100423879, 1947072980
1120796079, 1947046925
1140218974, 1947019227
1160622613, 1946994627
1180153222, 1946968691
1200530313, 1946934233
1220951990, 1946904263
1240377502, 1946864449
1260730131, 1903148917
1280283775, 1903132765
1300770042, 1903117527
1320118112, 1903102049
1340574179, 1903081682
1360954423, 1903050450
1380384825, 1903007172
1400508005, 2518352047
1420939483, 2518326330
1440960072, 2518299712
1460369123, 2518220872
1480784239, 2518113785
1500151172, 2515258654
1520668678, 2515238372
1541094142, 2515213235
1560511540, 2515183642
1580849616, 2515159543
1600277683, 2515135080
1620703747, 2515104568
1640208107, 2515076579
1660609719, 2515002996
1680963638, 2514973876
1700376949, 2514950190
1720842205, 2514923303
1740282903, 2514876025
1760662801, 2514831459
1780108735, 2471361169
1800501177, 2471341949
1820898048, 2471320687
1840297408, 2471300556
1860726718, 2471282634
1880173321, 2471265732
1900596482, 2471230806
1920277544, 2471196964
1940653478, 2876985792
1961092539, 2876960058
1980571037, 2876936607
2001029717, 2876910984
2020440069, 2876881910
2040841101, 2876860680
2060246466, 2876836745
2080662162, 2876806423
2101078043, 2876776573
2120487270, 2876738709
2140914942, 2876678616
2160355211, 2876648399
2180786835, 2876619818
2200225172, 2876596590
2220637717, 2876569704
2240994326, 2876541416
2261011412, 2876508783
2280446704, 2876469557
2300874798, 2876438187
2320290568, 2876413220
2340717272, 2876386697
2360128635, 2876353523
2380490413, 2876321757
2400921858, 2876289737
2420258786, 2876257498
2440686289, 2876226964
2461057190, 2876194553
2480489952, 2876156574
2500909689, 2876096204
2520484600, 3321883026
2540861750, 3321871088
2560299400, 3321858566
2580175678, 3321845073
2600594905, 3321828514
2621024064, 3321812847
2640496586, 3321793426
2660931446, 3321765977
2680342609, 3321734020
2700695964, 3321704796
2720123260, 3321674186
2740531478, 3321642660
2760992879, 3321614250
2780392291, 3321581729
2800824947, 3321554653
2820246574, 3321524024
2840646824, 3321492291
2860203724, 3321461201
2880875783, 3321425193
2900213924, 3321386179
2920625715, 3321344136
2940976621, 3896655644
2960410266, 3896633107
2980836767, 3896601210
3000259745, 3896563793
3020673706, 3896525956
3041077636, 3896466029
3060531740, 3896433708
3080912612, 3896404275
3100283646, 3896373184
3120714013, 3896338826
3141098603, 3896308101
3160795107, 3896276652
3180210263, 3896249263
3200570033, 3896217946
3220996041, 3896188393
3240363104, 3896153870
3260785017, 3896118747
3280155921, 3896054388
3300556313, 3896009813
3320946014, 4587064563
3340434863, 4587033283
3360853112, 4586990144
3380224666, 4586950779
3400673829, 4586906758
3420197469, 4586854822
3440596547, 4586815382
3460990128, 4586784057
3480389536, 4586727239
3500727791, 4586688015
3520320825, 4586638818
3540666722, 4586571061
3561094321, 4586532463
3580466350, 4586483080
3600800070, 4586408571
3620181391, 4586379477
3640597410, 4586348923
3661013637, 4586317726
3680420433, 4586286190
3700812797, 4586257887
3720230094, 4586229465
3740599264, 4586200925
3760965571, 4586171528
3780352367, 4586142852
3800726165, 4586114805
3821060029, 4586081905
3840460048, 4586049709
3860878929, 4586018129
3880259735, 4585983839
3901521779, 4585900816
3920792083, 4585849282
3940146697, 5084251639
3960557933, 5084232713
3980968462, 5084212934
4000349862, 5084195686
4020775861, 5084176933
4040203880, 5084158964
4060598886, 5084143076
4080988812, 5084122855
4100388091, 5084083270
4120119943, 5084067236
4140479597, 5084052444
4160875297, 5084036110
4180292254, 5084020112
4200689069, 5084001292
4221088960, 5083986826
4240492054, 5083973061
4260915717, 5083957051
4280322928, 5083941375
4300667715, 5083921026
4321075739, 5083887991
4340434914, 5083763289
4360844764, 5081839828
4380246781, 5081809218
4400617189, 5081781537
4421014863, 5081752982
4440372836, 5081723244
4460776293, 5081694305
4480164654, 5081660642
4500536804, 5081631987
4520634018, 5081597603
4540988909, 5081565325
4560433991, 5081507529
4580902299, 5081464241
4600319136, 5584701417
4620714448, 5584683867
4641083471, 5584665677
4660530393, 5584647764
4680890839, 5584628824
4700326197, 5584609309
4720756086, 5584590758
4740171145, 5584568014
4760573688, 5584547522
4781037468, 5584526599
4800225744, 5584494570
4820595798, 5584455389
4841028093, 5584417800
4860392459, 5584380818
4880810139, 5584346435
4900242720, 5584308778
4920661170, 5584267046
4941076933, 5584228285
4960497538, 5584192625
4980939554, 5584150763
5000355753, 5584109484
5020777804, 5584068901
5040201201, 5584024494
5060605481, 5583980521
5081020054, 5583907359
5100350416, 5583849221
5120679060, 6279550953
5141072604, 6279520098
5160464825, 6279486699
5180880790, 6279455227
5200282619, 6279423426
5220692476, 6279389117
5241040819, 6279339108
5260435567, 6279310082
5280860843, 6279278997
5300228722, 6279247316
5320593853, 6279218070
5341004181, 6279187359
5360416846, 6279157749
5380800595, 6279128601
5400196823, 6279099893
5420607028, 6279069564
5441019158, 6279038282
5461012869, 6279006978
5480408027, 6278977506
5500798314, 6278945744
5520409598, 6278898084
5540844238, 6278861780
5560220143, 6278830558
5580620374, 6278773663
5600707750, 6278733408
5620109568, 7036820373
5640507570, 7036800011
5660845229, 7036781432
5680264277, 7036759958
5702035200, 7036736741
5720433014, 7036714156
5740857342, 7036692634
5760260653, 7036674664
5780668528, 7036657372
5801081962, 7036636628
5820418735, 7036615642
5840801544, 7036592766
5860191283, 7036571975
5880516307, 7036550058
5900994558, 7036529889
5920377775, 7036507138
5940702015, 7036486849
5960108475, 7036446126
5980445180, 7036429013
6000837622, 7036412557
6020261345, 7036397634
6040660738, 7036382236
6061077317, 7036365437
6080492522, 7036348490
6100837023, 7036328089
6120220083, 7036294583
6140653193, 7036150764
6161048054, 7034464618
6180413657, 7034433189
6200743369, 7034400119
6220174035, 7034366776
6240527376, 7034332818
6260927597, 7034298565
6282129030, 7034214212
6300396952, 7034162078
6320804904, 7628890360
6340782968, 7628878381
6360184355, 7628861026
6380563401, 7628846599
6400935909, 7628831530
6420344430, 7628816507
6440736556, 7628800526
6460127456, 7628785500
6480512674, 7628770635
6500899667, 7628753859
6520453818, 7628720769
6540798652, 7628703652
6560228022, 7628687875
6580622350, 7628670237
6601051884, 7628654569
6620468846, 7628636625
6640867191, 7628616051
6660263146, 7628594869
6680673113, 7628568160
6701047921, 7628547122
6720187058, 7628524288
6740561794, 7628503987
6760979512, 7628470457
6780376810, 7628452567
6800797110, 7628437115
6820160780, 7628419742
6840554350, 7628396375
6860885229, 7628370078
6880251156, 7628328136
6900664201, 7628170553
6921057681, 7623866803
6940431924, 7623822604
6960790690, 7623759937
6980231717, 7623723839
7000629422, 7623680600
7021016456, 7623633048
7040183974, 7623547693
7060495524, 8258791359
7080885417, 8258768851
7100276856, 8258746134
7120629447, 8258722385
7141022643, 8258696863
7160390795, 8258674275
7180814318, 8258647834
7200210181, 8258613640
7220596343, 8258568457
7240996575, 8258522209
7260403796, 8258466251
7280796835, 8258454127
7300133056, 8258437435
7320815977, 8258415788
7340222744, 8258402567
7360631128, 8258387186
7381016436, 8258375821
7400406743, 8258361471
7420821979, 8258348318
7440183408, 8258336475
7460602918, 8258322793
7480971360, 8258308847
7500321576, 8258293884
7521065829, 8258280890
7540475303, 8258267035
7560841948, 8258251962
7580243763, 8258234026
7600643853, 8258214439
7621049460, 8258188128
7640182971, 8258138359
7660557798, 8256442621
7680950356, 9010427436
7700327324, 9010408836
7720695089, 9010390597
7741073945, 9010368916
7760503894, 9010340053
7780906331, 9010306418
7800327536, 9010271506
7820712280, 9010237226
7840123462, 9010202840
7860467416, 9010168208
7880795512, 9010128777
7900217599, 9010093536
7920570012, 9010058248
7940963387, 9010021095
7960331238, 9009986867
7980663605, 9009949001
8001098683, 9009909791
8020507761, 9009873339
8040863443, 9009823058
8060309694, 9009795381
8080721124, 9009768584
8100195332, 9009739135
8120561866, 9009706279
8140954212, 9009677568
8160345735, 9009644161
8180764189, 9009608267
8200146952, 9009572705
8220573285, 9009538175
8241042101, 9009500967
8261646306, 9009416188
8280943385, 9923243826
8300347289, 9923218262
8320683937, 9923187870
8341031334, 9923166363
8360461213, 9923143327
8380845786, 9923120126
8400234618, 9923096690
8420669502, 9923067664
8441053432, 9923043476
8460125078, 9923020753
8480520023, 9923000821
8500834175, 9922983634
8520346485, 9922962284
8540674849, 9922947064
8561065240, 9922932462
8580455308, 9922918552
8600857087, 9922903432
8620256314, 9922886507
8640639464, 9922864513
8660968474, 9922843349
8680371345, 9922821837
8700778390, 9922797128
8720146610, 9922774166
8740538885, 9922743779
8760934714, 9922706181
8780326131, 9922672799
8800710837, 9922638393
8820120021, 9922598992
8840901250, 9922534589
8860326045, 9922504072
8880709777, 9922471851
8901055554, 9922441026
8920373903, 9922408532
8940772098, 9922376362
8960145603, 9922342820
8980551834, 9922310468
9000961733, 9922230740
9020384496, 10751348777
9040765578, 10751333704
9060155431, 10751313007
9080559108, 10751279234
9100975025, 10751159570
9120368335, 10750052150
9140790163, 10750020263
9160183677, 10749992189
9180571725, 10749964223
9201080406, 10749934180
9220465606, 10749901461
9240799342, 10749855619
9260208827, 10749834717
9280536388, 10749815652
9300915484, 10749797895
9320249919, 10749781633
9340656057, 10749763165
9360673197, 10749746211
9381049872, 10749729401
9400455520, 10749709807
9420853764, 10749692074
9440233153, 10749674568
9460643339, 10749658777
9480956690, 10749640461
9500334251, 10749621507
9520880201, 10749598187
9540201315, 10749560320
9560610573, 10749529998
9581018528, 10749498308
9600410888, 10749469881
9620794708, 10749441061
9640225332, 10749411656
9660628941, 10749379672
9681001890, 10749355927
9700358174, 10749324753
9720720904, 10749294066
9740444648, 10749263153
9760766489, 10749231797
9780148424, 10749200914
9800497360, 10749168938
9820887528, 10749139291
9840262093, 10749097470
9860663616, 10749068093
9881059244, 10749037030
9900446346, 10749003329
9920850919, 10748950030
9940703799, 11663835682
9961068551, 11663794385
9980449461, 11663734088
