name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation1_chained_0_800_4_9999999999, 1, 4, 800, 250.740332, 7.086048, 4.316843, 3272, 8000, 9999999999, 1
ablation1_chained_1_2000_4_9999999999, 1, 4, 2000, 221.300000, 3.995543, 0.725825, 2213, 20000, 9999999999, 1
ablation1_chained_2_100_4_9999999999, 1, 4, 100, 89.604368, 1.589020, 0.645601, 1000, 1000, 9999999999, 1
ablation1_chained_3_1500_4_9999999999, 1, 4, 1500, 148.800000, 2.577157, 0.448802, 1488, 15000, 9999999999, 1
ablation1_chained_4_100_4_9999999999, 1, 4, 100, 90.252513, 1.376603, 0.623359, 1000, 1000, 9999999999, 1
ablation1_chained_5_200_4_9999999999, 1, 4, 200, 134.519919, 3.662031, 2.428030, 1990, 2000, 9999999999, 1
ablation1_chained_6_400_4_9999999999, 1, 4, 400, 184.557750, 7.018415, 4.629664, 3156, 4000, 9999999999, 1
ablation1_chained_7_800_4_9999999999, 1, 4, 800, 204.504955, 7.486535, 5.544197, 3073, 8000, 9999999999, 1
ablation1_chained_8_600_4_9999999999, 1, 4, 600, 163.359591, 12.570199, 8.479760, 3830, 6000, 9999999999, 1
ablation1_chained_9_2000_4_9999999999, 1, 4, 2000, 186.200000, 4.022454, 0.768908, 1862, 20000, 9999999999, 1
ablation1_chained_10_4000_4_9999999999, 1, 4, 4000, 201.232984, 17.420722, 3.296827, 3566, 40000, 9999999999, 1
ablation1_chained_11_4000_4_9999999999, 1, 4, 4000, 64.400000, 1.252856, 0.057695, 644, 40000, 9999999999, 1
ablation1_chained_12_1000_4_9999999999, 1, 4, 1000, 191.300000, 2.656428, 1.002963, 1913, 10000, 9999999999, 1
ablation1_chained_13_200_4_9999999999, 1, 4, 200, 109.990480, 2.955009, 2.152128, 2000, 2000, 9999999999, 1
ablation1_chained_14_1_4_9999999999, 1, 4, 1, 1.000000, 0.745876, 0.119212, 10, 10, 9999999999, 1
ablation1_chained_15_2000_4_9999999999, 1, 4, 2000, 143.900000, 1.614277, 0.461763, 1439, 20000, 9999999999, 1
ablation1_chained_16_50_4_9999999999, 1, 4, 50, 48.394493, 0.905242, 0.271866, 500, 500, 9999999999, 1
ablation1_chained_17_10_4_9999999999, 1, 4, 10, 9.716717, 0.753197, 0.184680, 100, 100, 9999999999, 1
ablation1_chained_18_1_4_9999999999, 1, 4, 1, 1.000000, 0.642266, 0.097345, 10, 10, 9999999999, 1
ablation1_chained_19_50_4_9999999999, 1, 4, 50, 47.221464, 1.112064, 0.285945, 500, 500, 9999999999, 1
ablation1_chained_20_1500_4_9999999999, 1, 4, 1500, 264.458999, 10.151674, 5.588339, 3942, 15000, 9999999999, 1
ablation1_chained_21_400_4_9999999999, 1, 4, 400, 202.900000, 4.726261, 1.160906, 2029, 4000, 9999999999, 1
ablation1_chained_22_50_4_9999999999, 1, 4, 50, 45.850567, 0.947344, 0.276682, 500, 500, 9999999999, 1
ablation1_chained_23_800_4_9999999999, 1, 4, 800, 299.700000, 5.139689, 2.973761, 2997, 8000, 9999999999, 1
ablation1_chained_24_100_4_9999999999, 1, 4, 100, 82.146404, 1.558274, 0.767898, 1000, 1000, 9999999999, 1
ablation1_chained_25_10_4_9999999999, 1, 4, 10, 10.000000, 0.779619, 0.186206, 100, 100, 9999999999, 1
ablation1_chained_26_400_4_9999999999, 1, 4, 400, 213.022571, 3.681141, 2.419114, 2207, 4000, 9999999999, 1
ablation1_chained_27_4000_4_9999999999, 1, 4, 4000, 14.400000, 1.703394, 0.015516, 144, 40000, 9999999999, 1
ablation1_chained_28_200_4_9999999999, 1, 4, 200, 85.477857, 3.336831, 2.794782, 2000, 2000, 9999999999, 1
ablation1_chained_29_1000_4_9999999999, 1, 4, 1000, 272.952878, 5.919734, 3.996968, 3017, 10000, 9999999999, 1
ablation1_chained_30_600_4_9999999999, 1, 4, 600, 218.800000, 4.054887, 2.346450, 2188, 6000, 9999999999, 1
ablation1_chained_31_600_4_9999999999, 1, 4, 600, 263.994345, 4.941219, 3.189810, 2976, 6000, 9999999999, 1
ablation1_chained_32_10_4_9999999999, 1, 4, 10, 10.000000, 0.691807, 0.175038, 100, 100, 9999999999, 1
ablation1_chained_33_1500_4_9999999999, 1, 4, 1500, 237.600000, 3.456624, 1.963898, 2376, 15000, 9999999999, 1
ablation1_chained_34_1_4_9999999999, 1, 4, 1, 1.000000, 0.664682, 0.114687, 10, 10, 9999999999, 1
ablation1_chained_35_1000_4_9999999999, 1, 4, 1000, 230.000000, 3.243728, 2.009026, 2300, 10000, 9999999999, 1
