sent, rec
2372, 2304989535
3475883, 4995107450
5749238, 4995090802
7975422, 4995076314
10211314, 4995060224
13425565, 4995043648
15677610, 4995026404
17930257, 4995007711
20236274, 4994993041
23545551, 4994977119
25880376, 4994960549
28212550, 4994942949
30565915, 4994929276
32869869, 4994914282
35160221, 4994898496
38437501, 4994880679
40744940, 4994861008
43010479, 4994841283
45223457, 4994823236
48453962, 4994805372
50709126, 4994785632
52937428, 4994768445
55162392, 4994747874
58397140, 4994726265
60633896, 4994697741
62853519, 4994679229
66075113, 4994657018
68366969, 4994632912
70602911, 4994613146
72838530, 4994590516
76068864, 4994571953
78317104, 4994547939
80548469, 4994530066
82857025, 4994498810
85086290, 4994474892
88335468, 4994447384
90118722, 4994402165
93296680, 4994385865
95561424, 4994370462
97808164, 4994354591
101064818, 4994340672
103325691, 4994324001
105564750, 4994310655
107809111, 4994296487
110170182, 4994281999
113404977, 4994268217
115677356, 4994253517
117921577, 4994235244
120157507, 4994220982
123431482, 4994206099
125681465, 4994190437
127938005, 4994176526
130265596, 4994162834
133500580, 4994148888
135768133, 4994131879
138178468, 4994110715
140395331, 4994092230
142622386, 4994077700
145854057, 4994061711
148194809, 4994042237
150459586, 4994018502
152769193, 4993990257
156058065, 4993925708
158325943, 4992781176
160564916, 4992752739
162911929, 4992731173
165146781, 4992705814
168387955, 4992681779
170651461, 4992658772
173017985, 4992636807
175272574, 4992612492
178507378, 4992581790
180753838, 4992556854
183001928, 4992533554
185932259, 4992506810
188148219, 4992485613
190383248, 4992461140
192685928, 4992433023
195935856, 4992406781
198255722, 4992378235
200540363, 4992344710
202774981, 4992317162
206016713, 4992220337
208269536, 4992203718
210526479, 4992186642
212768020, 4992170778
216042626, 4992154954
218297515, 4992140911
220535245, 4992126000
222772837, 4992108392
226024467, 4992089482
228274391, 4992070599
230515105, 4992051497
232633384, 4992017093
235879044, 4992000035
238203081, 4991984599
240427934, 4991968165
242673895, 4991951065
245903306, 4991932982
248148704, 4991914704
250391435, 4991900756
252635623, 4991882059
255877750, 4991861838
258273930, 4991843897
260507398, 4991824557
262751240, 4991807708
265988742, 4991782752
268239769, 4991761867
270499465, 4991739817
272728656, 4991722639
276067537, 4991703621
278345564, 4991683807
280599370, 4991657651
282861504, 4991632149
285179173, 4991608769
288420881, 4991590389
290679816, 4991570852
