name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation1r_unchained_0_400_4_9999999999, 4, 4, 400, 212.431438, 4.800137, 4.010638, 4000, 4000, 9999999999, 1
ablation1r_unchained_1_600_4_9999999999, 4, 4, 600, 283.632731, 7.294560, 5.219822, 5533, 6000, 9999999999, 1
ablation1r_unchained_2_800_4_9999999999, 4, 4, 800, 304.643728, 9.678005, 6.440111, 6379, 8000, 9999999999, 1
ablation1r_unchained_3_2000_4_9999999999, 4, 4, 2000, 362.400000, 4.214533, 2.644838, 3624, 20000, 9999999999, 1
ablation1r_unchained_4_4000_4_9999999999, 4, 4, 4000, 462.300000, 7.984458, 3.718634, 4623, 40000, 9999999999, 1
ablation1r_unchained_5_100_4_9999999999, 4, 4, 100, 97.039976, 0.736424, 0.255571, 1000, 1000, 9999999999, 1
ablation1r_unchained_6_600_4_9999999999, 4, 4, 600, 314.961557, 4.813659, 3.292410, 4021, 6000, 9999999999, 1
ablation1r_unchained_7_50_4_9999999999, 4, 4, 50, 46.608048, 0.525089, 0.154502, 500, 500, 9999999999, 1
ablation1r_unchained_8_10_4_9999999999, 4, 4, 10, 9.966724, 0.431582, 0.096387, 100, 100, 9999999999, 1
ablation1r_unchained_9_200_4_9999999999, 4, 4, 200, 151.307866, 1.415218, 0.965235, 2000, 2000, 9999999999, 1
ablation1r_unchained_10_100_4_9999999999, 4, 4, 100, 100.000000, 17.057207, 2.894594, 1000, 1000, 9999999999, 1
ablation1r_unchained_11_1_4_9999999999, 4, 4, 1, 1.000000, 0.521254, 0.115963, 10, 10, 9999999999, 1
ablation1r_unchained_12_400_4_9999999999, 4, 4, 400, 234.979906, 4.555829, 3.507221, 3982, 4000, 9999999999, 1
ablation1r_unchained_13_1500_4_9999999999, 4, 4, 1500, 381.700000, 4.223511, 2.793046, 3817, 15000, 9999999999, 1
ablation1r_unchained_14_600_4_9999999999, 4, 4, 600, 351.928479, 3.888385, 2.433225, 3588, 6000, 9999999999, 1
ablation1r_unchained_15_1000_4_9999999999, 4, 4, 1000, 270.387979, 12.069563, 8.684732, 6528, 10000, 9999999999, 1
ablation1r_unchained_16_100_4_9999999999, 4, 4, 100, 87.197157, 0.745507, 0.278506, 1000, 1000, 9999999999, 1
ablation1r_unchained_17_10_4_9999999999, 4, 4, 10, 3.800000, 1.270922, 0.727278, 38, 100, 9999999999, 1
ablation1r_unchained_18_1500_4_9999999999, 4, 4, 1500, 407.600000, 5.094850, 3.344862, 4076, 15000, 9999999999, 1
ablation1r_unchained_19_10_4_9999999999, 4, 4, 10, 10.000000, 0.440582, 0.134925, 100, 100, 9999999999, 1
ablation1r_unchained_20_1000_4_9999999999, 4, 4, 1000, 300.000000, 3.132280, 2.010190, 3000, 10000, 9999999999, 1
ablation1r_unchained_21_1_4_9999999999, 4, 4, 1, 1.000000, 0.504310, 0.090586, 10, 10, 9999999999, 1
ablation1r_unchained_22_1_4_9999999999, 4, 4, 1, 1.000000, 0.597329, 0.107659, 10, 10, 9999999999, 1
ablation1r_unchained_23_200_4_9999999999, 4, 4, 200, 152.111801, 1.403290, 0.963460, 2000, 2000, 9999999999, 1
ablation1r_unchained_24_800_4_9999999999, 4, 4, 800, 361.664764, 5.454377, 3.621673, 4699, 8000, 9999999999, 1
ablation1r_unchained_25_50_4_9999999999, 4, 4, 50, 49.026132, 0.544614, 0.150434, 500, 500, 9999999999, 1
ablation1r_unchained_26_200_4_9999999999, 4, 4, 200, 159.229518, 1.521710, 1.049591, 2000, 2000, 9999999999, 1
ablation1r_unchained_27_800_4_9999999999, 4, 4, 800, 352.317319, 4.166512, 2.922762, 3580, 8000, 9999999999, 1
ablation1r_unchained_28_50_4_9999999999, 4, 4, 50, 47.086447, 0.536377, 0.162176, 500, 500, 9999999999, 1
ablation1r_unchained_29_400_4_9999999999, 4, 4, 400, 230.956491, 4.372972, 3.432584, 4000, 4000, 9999999999, 1
ablation1r_unchained_30_2000_4_9999999999, 4, 4, 2000, 335.277657, 11.943786, 7.655484, 6481, 20000, 9999999999, 1
ablation1r_unchained_31_1000_4_9999999999, 4, 4, 1000, 402.600000, 4.565419, 3.027664, 4026, 10000, 9999999999, 1
ablation1r_unchained_32_1500_4_9999999999, 4, 4, 1500, 406.783860, 6.319782, 4.338836, 4713, 15000, 9999999999, 1
ablation1r_unchained_33_4000_4_9999999999, 4, 4, 4000, 203.800000, 1.870400, 0.423606, 2038, 40000, 9999999999, 1
ablation1r_unchained_34_4000_4_9999999999, 4, 4, 4000, 534.200000, 11.238569, 0.417364, 5342, 40000, 9999999999, 1
ablation1r_unchained_35_2000_4_9999999999, 4, 4, 2000, 274.300000, 2.169480, 1.136909, 2743, 20000, 9999999999, 1
