sent, rec
1589, 418313881
2374221, 418279179
3651256, 418236735
5917644, 959130272
7294942, 959113542
8540429, 959095810
10864585, 959076491
12219942, 959058766
14463397, 959040582
15716395, 959023055
17004919, 959004785
19319881, 958986028
20695388, 958967746
21949062, 958947785
24277150, 958926348
25635139, 958908308
26896081, 958888585
29180524, 958869542
30445127, 958850871
32702758, 958832502
33946945, 958813646
35121180, 958792755
37318301, 958773410
38560453, 958751636
40811891, 958731655
42084582, 958710284
44331671, 958686659
45597506, 958653363
46772106, 958631655
49010649, 958597199
50254499, 957758563
52501968, 957740968
53742345, 957723237
56037996, 957706928
57344317, 957689159
58646379, 957672297
60901193, 957655937
62144208, 957638845
64401561, 957621803
65642078, 957603434
66856179, 957585076
69094932, 957566534
70434378, 957547123
72684313, 957530095
73921764, 957512187
75101737, 957492688
77295572, 957474469
79171491, 957456590
80351441, 957436142
82522672, 957418636
83692546, 957400274
85873167, 957381033
87113572, 957362210
89390575, 957341759
90646351, 957323262
91819547, 957303683
93992617, 957284889
95332814, 957264359
97526891, 957241146
98809827, 957219513
101066279, 957187726
102419337, 957167449
103612639, 957144784
105801442, 957123583
107043980, 957104387
109346016, 957083257
110803995, 957063080
111980042, 957042024
114148519, 957021979
115368900, 956999919
117549480, 956978577
118798710, 956957315
121043231, 956934926
122353107, 956912234
123531283, 956877068
125712004, 956860447
127000772, 956843114
129252770, 956826440
130501662, 956808540
132745243, 956791612
134028904, 956774549
135222252, 956757912
137407003, 956739833
138715083, 956721135
140965001, 956702733
142890588, 956684878
144079234, 956667259
145282483, 956648150
147523167, 956629565
148770391, 956609925
151014810, 956591451
152297503, 956574008
153483928, 956555910
155731005, 956538082
157018363, 956520002
159270134, 956501212
160515649, 956482241
162775144, 956462717
164013757, 956439885
165224954, 955533564
167488717, 955511931
168798021, 955492857
171055466, 955471571
172335368, 955450770
173447614, 955429819
175726984, 955409148
176969751, 955386106
179218611, 955344243
180514772, 955323278
182780777, 955301905
184028996, 955272023
185216243, 955251498
187462948, 955229891
188716960, 955208893
190965775, 955188433
192211754, 955166718
194398091, 955143628
195627518, 955121904
196854046, 955100936
199123801, 955077066
200382219, 955036515
202628535, 955016271
203883221, 954998842
205105696, 954981550
207399032, 954963129
208655159, 954942127
210913957, 954922407
212167715, 954903468
214350483, 954885333
215728009, 954865730
216899113, 954846671
219162196, 954829427
220427305, 954809109
222678120, 954791155
223930064, 954772544
225102320, 954753493
227359863, 954735793
228605615, 954716269
230855259, 954698141
232133600, 954679239
234326120, 954660647
235513152, 954638320
237720900, 954612497
239589882, 954590918
240810043, 954571356
242000418, 954552001
244233428, 954531977
245484069, 954512891
247735615, 954492056
248985968, 954471443
250173899, 954451551
252419786, 954431571
253661000, 954411797
255909912, 954391613
257199006, 954369491
262675610, 954350573
262819870, 954330273
262965130, 954308854
264136968, 954284346
265305063, 954262426
267552141, 954236041
268841631, 954214790
271107214, 954194266
272401862, 954173200
273584627, 954150772
275826672, 954126944
277087972, 954102701
279393722, 954062739
280648671, 954045607
281829430, 954027182
284080307, 954007114
285344795, 953988811
287660321, 953967818
288911338, 953928594
290124234, 951699877
292397301, 951680566
293678864, 951661012
295933630, 951637023
297221909, 951618754
298417679, 951599321
300657724, 951579659
302477266, 951560949
303680033, 951541850
305864635, 951522609
307105749, 951502469
309295801, 951483996
310586924, 951464199
311858216, 951445772
314031676, 951424402
315222627, 951405156
317438584, 951381815
318692914, 951354897
321013088, 951327691
322259173, 951304238
323439040, 951277618
325667561, 951244878
326918141, 951216601
329184544, 951188902
330499618, 951161193
332751620, 951134921
333993561, 951102314
335181791, 951075703
337406988, 951045077
338697491, 951012592
340970799, 950986835
342236526, 950955969
343411771, 950929439
345600899, 950897209
346849329, 950863453
349104386, 950833549
350371272, 950802475
352621114, 950770912
353914263, 950736275
355100276, 950650670
357296293, 950633794
358582862, 950613732
360869064, 950595489
362114980, 950577273
364364586, 950560283
365647929, 950542219
367726700, 950522250
368907270, 950501475
370073740, 950479621
372315631, 950444074
373563098, 950401476
375830530, 950350621
377079691, 1437757252
379412751, 1437740397
380659187, 1437719043
381838106, 1437702115
384087651, 1437685139
385376093, 1437666317
387632655, 1437648590
388876384, 1437629230
391133296, 1437610195
392390064, 1437581517
393567006, 1437563358
395813221, 1437549218
397066707, 1437534572
399186845, 1437520503
400374415, 1437506528
402518291, 1437492884
403688535, 1437479044
405848300, 1437463741
407093459, 1437444383
409293093, 1437393627
410506733, 1437378953
412730122, 1437364768
413940882, 1437350726
415085469, 1437334910
417296370, 1437312703
419395633, 1436845461
420553011, 1436827734
422767477, 1436806745
423977788, 1436787187
425161531, 1436770782
427385714, 1436755471
429000223, 1436738735
430197893, 1436722569
432415717, 1436707000
433697877, 1436691107
435956625, 1436674796
437168456, 1436655750
439462160, 1436640081
440675571, 1436624396
441817339, 1436607146
444033034, 1436590851
445275879, 1436574428
447499974, 1436556328
448713412, 1436538866
450978816, 1436518356
452186748, 1436501323
454331376, 1436484051
455473142, 1436465829
457627335, 1436449089
458836743, 1436431677
461055623, 1436413949
462176508, 1436397614
464392020, 1436380086
465645654, 1436358794
466815854, 1436340825
469024841, 1436319016
470236897, 1436303561
472494902, 1436288848
473708397, 1436273939
476015986, 1436259578
477272544, 1436245684
478425764, 1436228047
480638457, 1436214175
481852832, 1436199955
484080955, 1436186915
485289885, 1436172893
487509572, 1436157525
488722476, 1436143349
490940053, 1436129157
492153282, 1436114126
494298193, 1436095209
495438313, 1436080212
497589470, 1436064623
498848099, 1436050233
501090776, 1436033201
502383223, 1436016360
503529246, 1436000256
505684607, 1435984083
506901544, 1435964205
509120510, 1435948221
510347739, 1435931792
512621230, 1435915783
513831373, 1435899756
516049295, 1435884431
517226144, 1435867550
518416399, 1435851624
520633563, 1435833521
521879638, 1435813859
524125592, 1435795450
525669246, 1435777388
526860206, 1435760765
529098474, 1435744440
530417484, 1435726988
532673019, 1435709781
533924709, 1435692104
535111060, 1435673399
537294109, 1435647972
538549040, 1435628947
540812275, 1435610549
542061735, 1435592393
544315455, 1435574875
553685774, 1435555938
553799954, 1435530852
553947347, 1435516464
554060411, 1435499101
554154484, 1435484686
554269656, 1435470150
555450740, 1435453913
557657708, 1435438467
558903227, 1435423757
560078404, 1435408637
562300869, 1435393911
563516468, 1435378122
565711055, 1435359044
566961039, 1435344475
569229115, 1435328626
570478173, 1435313833
572766480, 1435300664
574018197, 1435285886
575218226, 1435270231
577400807, 1435254557
578693366, 1435235149
580947614, 1435219699
582190822, 1435204451
583409323, 1435189224
585592062, 1435173426
586839025, 1435156258
589099762, 1435140024
590941768, 1435124452
592123535, 1435107195
594306237, 1435086535
595503296, 1435071021
597705492, 1435055100
598954048, 1435038157
600174061, 1435021202
602347775, 1435003690
603556903, 1434986614
605741054, 1434970019
606998233, 1434950186
609253718, 1434932234
610534119, 1434916510
612783112, 1434896709
614026512, 1434880570
615209627, 1434864436
617391983, 1434847527
618646221, 1434830797
620902241, 1434811517
622155955, 1434788073
624404911, 1434764460
625650924, 1434750380
626892165, 1434736911
629168342, 1434723512
630493846, 1434709823
632779877, 1434693008
634095278, 1434677001
635270759, 1434580662
637457422, 1434567031
638706994, 1434553726
641007715, 1434539658
642255798, 1434523435
643430722, 1434507758
645630169, 1434492085
646927536, 1434476812
649185997, 1434461241
650484674, 1434440979
652762978, 1434426429
654649329, 1434409772
655851601, 1434392227
657025102, 1434360540
659263787, 1433102846
660506234, 1433087257
662769449, 1433071346
664014726, 1433056048
665194529, 1433041112
667451002, 1433025562
668694996, 1433008091
670953694, 1432992410
672196383, 1432976200
674384763, 1432961690
675573900, 1432945498
676800455, 1432928441
679074066, 1432912271
680368255, 1432896169
682546013, 1432879150
683782204, 1432862882
685956432, 1432846166
687790485, 1432828949
688933327, 1432814442
690071705, 1432798429
692280751, 1432780759
693535668, 1432764814
695763461, 1432747823
696977217, 1432730681
699199260, 1432712607
700407544, 1432695753
702642278, 1432669409
703849433, 1432655996
706001909, 1432640773
707151345, 1432626253
709365003, 1432613584
710638036, 1432598684
711784239, 1432583917
713946818, 1432569128
715090309, 1432552739
717294934, 1432536576
718769780, 1432521009
720982766, 1432506374
722224848, 1432491730
723452103, 1432477581
725620169, 1432463509
726850037, 1432450697
729065467, 1432435663
730339629, 1432422425
732564488, 1432407599
733774862, 1432393259
735990857, 1432378655
737200971, 1432364426
739437196, 1432349937
740649691, 1432334309
741792907, 1432319164
744003472, 1432302960
745220385, 1432287504
747446375, 1432270465
748696618, 1432255496
750692265, 1432239191
751836457, 1432224136
753973982, 1432208698
755152463, 1432192164
757295301, 1432175540
758502838, 1432159771
760785920, 1432144110
761993808, 1432128848
764212632, 1432112214
765463714, 1432095654
767705673, 1432080051
768917268, 1432062561
770066154, 1432046568
772286133, 1432029258
773500837, 1432012876
775725457, 1431996358
776974916, 1431978231
779201569, 1431934754
780415279, 1431906187
782673848, 1431010182
783885741, 1430993389
786032673, 1430976872
787181761, 1430959267
789336349, 1430942313
790547703, 1430925486
792765423, 1430909292
793982399, 1430891146
795208826, 1430873085
797364213, 1430855881
798575857, 1430838422
800866478, 1430820703
802076826, 1430802399
804330056, 1430784226
805573319, 1430766456
807800431, 1430747583
809038062, 1430727900
810216232, 1430708675
812548562, 1430690364
813796221, 1430671401
815633614, 1430651954
816812291, 1430632809
819057487, 1430612689
820286682, 1430593851
822435660, 1430574333
823581260, 1430553868
825784896, 1430533742
826993835, 1430513179
829225704, 1430493190
830434092, 1430471927
832645620, 1430453032
833853120, 1430433454
846040691, 1430413280
846125936, 1430393932
846184979, 1430374589
846241136, 1430353989
846295320, 1430335164
846392782, 1430315725
846449082, 1430297252
847599767, 1430277311
848725221, 1430257222
850933203, 1430235915
852128477, 1430217083
854263815, 1430197429
855820763, 1430174463
856960879, 1430135784
859174444, 1430118477
860582643, 1430101420
861751498, 1430084331
863979778, 1430066847
865188789, 1430049602
867452741, 1430033152
868662375, 1430016638
870930450, 1430000075
872138370, 1429981470
874324402, 1429963280
875462069, 1429945299
877613583, 1429927007
878844481, 1429909130
880211104, 1429891234
882369574, 1429871856
883512114, 1429853337
885660427, 1429833104
886867912, 1429812934
889085389, 1429794347
890366767, 1429774991
892628516, 1429755742
893838816, 1429732846
896056487, 1429697047
897302921, 1429619692
898482792, 1426919327
900740440, 1426879389
901952514, 1426845687
904168812, 1426822280
905434068, 1426796336
907665230, 1426767164
908872570, 1426725638
911089470, 1426679786
912308382, 1426626980
913448986, 1426589972
915665701, 1426541864
916872941, 1426494568
919090642, 1426443384
920340455, 1426395226
922494517, 1426344640
923641142, 1426296061
925796772, 1426242227
927080660, 1426190474
929298358, 1426141349
930669489, 1426094936
931854507, 1426041214
934027206, 1425966872
935212089, 1425930302
937440360, 1425893231
938699682, 1425858031
940945208, 1425821686
942197019, 1425782219
943979594, 1425741319
945154625, 1425705126
947409556, 1425667899
948661177, 1425648672
950064484, 1425631342
959207030, 1425614338
959373037, 1425596067
959468616, 1425576028
959553917, 1425557534
959641662, 1425538241
960803850, 1425515239
961967939, 1425483972
964217799, 1425447360
965494646, 1425411620
967746199, 1425374381
969004774, 1425332332
970177699, 1425290604
972415085, 1425249084
973667272, 1425178683
975915378, 1425132278
977172442, 1425106061
979434458, 1425082596
980696886, 1425055632
981871491, 1425025237
984133127, 1424984309
985396761, 1424919574
987649138, 1424873617
988907706, 1424826596
990097084, 1424776634
992357883, 1424726407
993613943, 1424677912
995864951, 1424630107
997118940, 1424574494
999375231, 1424523964
1000635304, 1424473360
1001814386, 1424388807
1004185837, 1424335692
1005371531, 2062200386
1007627104, 2062185180
1008881948, 2062169899
1011128461, 2062153977
1012384661, 2062136623
1013560052, 2062117897
1015798301, 2062053431
1017057266, 2062040949
1019303152, 2062029165
1020584607, 2062016981
1021758390, 2062004698
1024000672, 2061992995
1025287730, 2061980668
1027561344, 2061968580
1028848008, 2061956229
1031111159, 2061944292
1032394028, 2061931492
1033596622, 2061919014
1047296973, 2061906824
1047403061, 2061892834
1047480692, 2061877980
1047546763, 2061863206
1047614369, 2061850095
1047679003, 2061836602
1047745305, 2061822021
1047814639, 2061808256
1048956576, 2061795389
1050093882, 2061781033
1052299740, 2061766614
1053530540, 2061751949
1055747539, 2061737355
1057024397, 2061721670
1059265305, 2061706181
1060519339, 2061691550
1062756940, 2061677972
1064032117, 2061662569
1065218216, 2061646154
1067476523, 2061632208
1068904508, 2061617751
1070097082, 2061602962
1072360282, 2061588056
1073649924, 2061573224
1075933326, 2061558280
1077226874, 2061543561
1078416681, 2061528162
1080673655, 2061511922
1081961238, 2061495887
1084222709, 2061479661
1085503183, 2061464369
1087765796, 2061448144
1089047443, 2061431362
1090236378, 2061414547
1092497833, 2061390575
1093796957, 2061376026
1096060618, 2061362781
1097346451, 2061350227
1098543039, 2061337689
1100816239, 2061324307
1102096346, 2061311751
1104359727, 2061297932
1105643886, 2061284375
1106837008, 2061270535
1109091008, 2061257976
1110390147, 2061243511
1112655046, 2061230014
1113948100, 2061214647
1115139803, 2061192616
1117295302, 2061180262
1118555077, 2061165948
1120803380, 2061150830
1122090986, 2061138090
1124337014, 2061124711
1125593444, 2061110750
1126773744, 2061096580
1129012413, 2061080701
1130326154, 2061062330
1131698876, 2059712220
1133926950, 2059698773
1135257704, 2059685756
1137475173, 2059671460
1138766573, 2059657146
1141069269, 2059642009
1142428833, 2059627840
1143648383, 2059614142
1145854045, 2059597776
1147154033, 2059580683
1149373181, 2059563552
1150667666, 2059546606
1151872989, 2059531387
1154074459, 2059515107
1155298154, 2059484849
1157507110, 2059462982
1158799092, 2059442977
1161082555, 2059422647
1162394840, 2059401145
1163636719, 2059380881
1165997566, 2059360599
1167163335, 2059337915
1169344109, 2059315951
1170719525, 2059277934
1171893895, 2059258577
1174062125, 2059239368
1175237999, 2059221215
1177415503, 2059203666
1178695999, 2059183289
1180941101, 2059165210
1182204699, 2059146113
1184456413, 2059126310
1185716436, 2059106362
1186913431, 2059085871
1189149131, 2059063488
1190422353, 2059040273
1192671317, 2059017871
1193949844, 2058994076
1195126154, 2058970633
1197201573, 2058950094
1199454755, 2058928805
1200711026, 2058910491
1201885846, 2058891316
1204127386, 2058870082
1205386039, 2058851386
1207641103, 2058831447
1208919526, 2058813309
1210098615, 2058791629
1212337547, 2058772675
1213601794, 2058751381
1215858074, 2058732850
1217159350, 2058711854
1219420682, 2058687539
1220700327, 2058667989
1221870828, 2058647406
1224116105, 2058626360
1225369094, 2058603238
1227627172, 2058580502
1229990237, 2058554152
1230094121, 2058531766
1232320349, 2058511152
1233587967, 2058491026
1235826892, 2058471174
1237054537, 2058450954
1239268649, 2058430155
1240486473, 2058410349
1242723021, 2058389754
1243970073, 2058366978
1245121452, 2058344372
1247331285, 2058307268
1248585482, 2058288626
1250841370, 2058268878
1252052060, 2058238746
1254198151, 2058220114
1255342232, 2058199552
1257535229, 2057001310
1258750088, 2056983189
1260967325, 2056966488
1262214370, 2056948874
1264437447, 2056930117
1265648302, 2056912015
1266796255, 2056894322
1269015528, 2056876558
1270232576, 2056859134
1272486376, 2056841107
1273699250, 2056823123
1275919600, 2056802021
1277134786, 2056781425
1279456725, 2056759743
1280671875, 2056741146
1281816489, 2056721500
1284032386, 2056702036
1285287439, 2056683210
1287526664, 2056662720
1288780657, 2056644686
1291004650, 2056623914
1292217522, 2056604730
1293664551, 2056585122
1295879965, 2056565355
1297127260, 2056545977
1299362550, 2056526672
1300579880, 2056507028
1302796325, 2056488412
1304008578, 2056468463
1305149900, 2056449116
1307414403, 2056429818
1308628423, 2056410211
1310847561, 2056389510
1312091763, 2056370202
1329010183, 2056348566
1329086443, 2056327698
1329148670, 2056307689
