name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation2_notrunc_nofilter_0_10_4_9999999999, 1, 4, 10, 10.000000, 0.407256, 0.099747, 100, 100, 9999999999, 1
ablation2_notrunc_nofilter_1_2000_4_9999999999, 1, 4, 2000, 128.565503, 8.091555, 6.822307, 2131, 20000, 9999999999, 1
ablation2_notrunc_nofilter_2_1000_4_9999999999, 1, 4, 1000, 127.548807, 7.739580, 6.705331, 2807, 10000, 9999999999, 1
ablation2_notrunc_nofilter_3_600_4_9999999999, 1, 4, 600, 159.560210, 5.278015, 4.862141, 3163, 6000, 9999999999, 1
ablation2_notrunc_nofilter_4_400_4_9999999999, 1, 4, 400, 169.890952, 5.844498, 4.718042, 3839, 4000, 9999999999, 1
ablation2_notrunc_nofilter_5_800_4_9999999999, 1, 4, 800, 143.306030, 7.963649, 7.127197, 3248, 8000, 9999999999, 1
ablation2_notrunc_nofilter_6_400_4_9999999999, 1, 4, 400, 173.219690, 5.234038, 4.255530, 3662, 4000, 9999999999, 1
ablation2_notrunc_nofilter_7_4000_4_9999999999, 1, 4, 4000, 102.200000, 5.285161, 2.972431, 1022, 40000, 9999999999, 1
ablation2_notrunc_nofilter_8_50_4_9999999999, 1, 4, 50, 47.124144, 0.634921, 0.166332, 500, 500, 9999999999, 1
ablation2_notrunc_nofilter_9_200_4_9999999999, 1, 4, 200, 157.515594, 1.514014, 0.758930, 2000, 2000, 9999999999, 1
ablation2_notrunc_nofilter_10_1500_4_9999999999, 1, 4, 1500, 163.560429, 6.829237, 5.418175, 2280, 15000, 9999999999, 1
ablation2_notrunc_nofilter_11_4000_4_9999999999, 1, 4, 4000, 75.897746, 8.245996, 5.635790, 865, 40000, 9999999999, 1
ablation2_notrunc_nofilter_12_100_4_9999999999, 1, 4, 100, 91.074023, 0.894139, 0.334734, 1000, 1000, 9999999999, 1
ablation2_notrunc_nofilter_13_800_4_9999999999, 1, 4, 800, 160.420030, 6.676884, 5.328675, 2730, 8000, 9999999999, 1
ablation2_notrunc_nofilter_14_1500_4_9999999999, 1, 4, 1500, 164.600000, 4.004464, 2.705091, 1646, 15000, 9999999999, 1
ablation2_notrunc_nofilter_15_1_4_9999999999, 1, 4, 1, 1.000000, 0.504705, 0.145212, 10, 10, 9999999999, 1
ablation2_notrunc_nofilter_16_100_4_9999999999, 1, 4, 100, 87.958293, 0.854777, 0.333588, 1000, 1000, 9999999999, 1
ablation2_notrunc_nofilter_17_50_4_9999999999, 1, 4, 50, 47.563073, 0.649955, 0.203851, 500, 500, 9999999999, 1
ablation2_notrunc_nofilter_18_600_4_9999999999, 1, 4, 600, 160.746710, 6.232750, 5.262627, 3311, 6000, 9999999999, 1
ablation2_notrunc_nofilter_19_10_4_9999999999, 1, 4, 10, 9.954714, 0.451480, 0.156848, 100, 100, 9999999999, 1
ablation2_notrunc_nofilter_20_50_4_9999999999, 1, 4, 50, 47.759021, 0.570425, 0.174041, 500, 500, 9999999999, 1
ablation2_notrunc_nofilter_21_100_4_9999999999, 1, 4, 100, 89.521487, 0.916096, 0.309052, 1000, 1000, 9999999999, 1
ablation2_notrunc_nofilter_22_600_4_9999999999, 1, 4, 600, 181.586326, 5.615796, 4.847728, 3295, 6000, 9999999999, 1
ablation2_notrunc_nofilter_23_1000_4_9999999999, 1, 4, 1000, 123.874736, 7.457363, 5.676858, 2499, 10000, 9999999999, 1
ablation2_notrunc_nofilter_24_1_4_9999999999, 1, 4, 1, 1.000000, 0.455466, 0.061884, 10, 10, 9999999999, 1
ablation2_notrunc_nofilter_25_4000_4_9999999999, 1, 4, 4000, 50.600000, 7.102552, 0.040642, 506, 40000, 9999999999, 1
ablation2_notrunc_nofilter_26_1000_4_9999999999, 1, 4, 1000, 135.429399, 8.721513, 8.002169, 3202, 10000, 9999999999, 1
ablation2_notrunc_nofilter_27_200_4_9999999999, 1, 4, 200, 153.865190, 1.389183, 0.673009, 2000, 2000, 9999999999, 1
ablation2_notrunc_nofilter_28_2000_4_9999999999, 1, 4, 2000, 146.000000, 3.685481, 2.549356, 1460, 20000, 9999999999, 1
ablation2_notrunc_nofilter_29_2000_4_9999999999, 1, 4, 2000, 110.800000, 4.646001, 3.473508, 1108, 20000, 9999999999, 1
ablation2_notrunc_nofilter_30_800_4_9999999999, 1, 4, 800, 167.920534, 6.602228, 5.882606, 3317, 8000, 9999999999, 1
ablation2_notrunc_nofilter_31_400_4_9999999999, 1, 4, 400, 172.927661, 5.443515, 4.288914, 3618, 4000, 9999999999, 1
ablation2_notrunc_nofilter_32_10_4_9999999999, 1, 4, 10, 10.000000, 0.389060, 0.069699, 100, 100, 9999999999, 1
ablation2_notrunc_nofilter_33_1500_4_9999999999, 1, 4, 1500, 178.740612, 6.458256, 4.100018, 1941, 15000, 9999999999, 1
ablation2_notrunc_nofilter_34_1_4_9999999999, 1, 4, 1, 1.000000, 0.452770, 0.060703, 10, 10, 9999999999, 1
ablation2_notrunc_nofilter_35_200_4_9999999999, 1, 4, 200, 154.433140, 1.477110, 0.681792, 2000, 2000, 9999999999, 1
