sent, rec
1845, 1088664828
2444600, 1088643733
3803218, 1088623851
5066720, 1088600510
7339611, 1088582175
8702185, 1088562545
11006620, 1088540467
12375832, 1088520407
14553943, 1088497505
15815643, 1088478284
17109711, 1088459167
19366727, 1088437849
20741644, 1088411755
21998353, 1088390869
24256098, 1088368579
25524382, 1088347623
26761615, 1088326345
29024654, 1088306398
30285360, 1088277549
32526867, 1088255597
33776656, 1088222062
35955023, 1088182863
37133431, 1088138294
39320584, 1088097393
40561428, 1088051160
41775828, 1087992887
43944528, 1055890712
45117239, 1055763031
47321244, 1055742304
48576595, 1055721767
50824217, 1055697468
52087085, 1055678959
54332883, 1055660734
55628679, 1055641924
56947355, 1055621689
59138987, 1055599427
60391043, 1055574703
62635879, 1055554285
63887127, 1055533183
65099594, 1055510712
67321814, 1055477401
68571034, 1055457836
70820898, 1055435185
72156493, 1055414566
74404891, 1055394381
75708131, 1055368066
76895556, 1055347857
78709903, 1055324546
80970985, 1055299289
82231824, 1055279253
83406594, 1055257144
85687793, 1055211835
86938734, 1055190166
89187461, 1055169611
90455904, 1055150368
92735240, 1055129715
93989075, 1055110290
95329542, 1055090047
97571156, 1055068562
98823983, 1055045529
101089669, 1055022846
102396053, 1055002040
103568568, 1054980939
105841502, 1054958598
107099803, 1054933594
109453132, 1054894779
110933731, 1054873457
112123449, 1054850262
114359724, 1054828713
115625129, 1054803211
116850726, 1054779307
119006419, 1054756496
120254764, 1054733033
122545173, 1054710859
123807193, 1054687582
126063432, 1054659068
127316699, 1054611254
128492659, 1298964769
130774911, 1298953414
132085304, 1298940659
134354692, 1298925718
135597137, 1298895655
136777526, 1298883933
139001141, 1298871079
140281277, 1298859406
142071136, 1298846532
144280174, 1298834548
145497479, 1298822962
147675529, 1298809454
148851546, 1298797078
150049515, 1298784286
152223133, 1298770578
154465451, 1298757343
155769250, 1298742501
156948604, 1298730195
159137057, 1298715076
160473579, 1298700218
162728244, 1298683929
163998005, 1298629221
165215585, 1282142060
167408188, 1282121022
168666528, 1282099692
170930075, 1282079198
172183420, 1282056917
174389907, 1282034428
175602021, 1282012508
176774705, 1281993957
179012586, 1281972829
180313596, 1281952415
182568144, 1281930380
183832071, 1281908810
186083835, 1281879095
187334705, 1281859858
188514956, 1281839641
190812432, 1281820591
192076971, 1281802173
194365083, 1281782579
195698507, 1281762008
196910058, 1281739747
199103057, 1281718161
200369277, 1281699515
202636273, 1281676955
203927928, 1281654715
205110536, 1281634772
207297198, 1281613058
208555839, 1281592586
210816269, 1281571303
212115615, 1281551022
214361239, 1281529007
215770274, 1281506112
216946747, 1281486673
219133721, 1281466122
220383177, 1281443229
222635765, 1281422897
223926784, 1281400072
225163581, 1281380703
227371371, 1281360172
228615192, 1281339385
230860078, 1281317492
232116386, 1281297043
234438102, 1281275585
235684182, 1281248832
236861553, 1281208803
238619695, 1281162418
240858107, 1281112700
242140743, 1281030664
244378651, 1280974749
245626369, 1573810495
246837460, 1573794145
249093686, 1573777103
250333834, 1573759411
252591021, 1573742204
253910499, 1573724433
255101316, 1573705935
257339521, 1573688375
263076424, 1573670435
263217240, 1573654296
263325618, 1573636598
263418618, 1573618453
265659358, 1573597917
266904663, 1573576665
269160869, 1572573696
270418914, 1572556140
272703629, 1572534535
273990731, 1572511545
275176129, 1572491023
277470191, 1572472660
278716114, 1572453306
280969228, 1572432650
282222048, 1572413705
283450767, 1572393095
285698206, 1572373580
286940362, 1572353305
289196976, 1572332434
290487630, 1572311936
292736808, 1572290437
294033287, 1572270655
295213810, 1572250038
297460021, 1572226975
298711087, 1572205705
300960826, 1572184972
302738749, 1572159067
303931720, 1572138877
305113599, 1572117216
307339077, 1572095620
308586400, 1572074111
310837158, 1572052004
312155122, 1572028454
314447476, 1572007934
