name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation3_notrunc_0_800_4_9999999999, 1, 4, 800, 271.743021, 6.766126, 5.859858, 6353, 8000, 9999999999, 1
ablation3_notrunc_1_1_4_9999999999, 1, 4, 1, 1.000000, 0.489050, 0.065534, 10, 10, 9999999999, 1
ablation3_notrunc_2_100_4_9999999999, 1, 4, 100, 94.688855, 0.629505, 0.150298, 1000, 1000, 9999999999, 1
ablation3_notrunc_3_200_4_9999999999, 1, 4, 200, 177.514153, 0.799473, 0.289737, 2000, 2000, 9999999999, 1
ablation3_notrunc_4_50_4_9999999999, 1, 4, 50, 49.203146, 0.493258, 0.121478, 500, 500, 9999999999, 1
ablation3_notrunc_5_200_4_9999999999, 1, 4, 200, 179.514048, 0.832895, 0.319356, 2000, 2000, 9999999999, 1
ablation3_notrunc_6_4000_4_9999999999, 1, 4, 4000, 128.407533, 8.717242, 5.066446, 1326, 40000, 9999999999, 1
ablation3_notrunc_7_1500_4_9999999999, 1, 4, 1500, 197.118675, 8.169552, 7.471333, 4311, 15000, 9999999999, 1
ablation3_notrunc_8_50_4_9999999999, 1, 4, 50, 49.143429, 0.502296, 0.129472, 500, 500, 9999999999, 1
ablation3_notrunc_9_2000_4_9999999999, 1, 4, 2000, 179.350879, 7.611326, 6.709395, 3276, 20000, 9999999999, 1
ablation3_notrunc_10_10_4_9999999999, 1, 4, 10, 10.000000, 0.417863, 0.150065, 100, 100, 9999999999, 1
ablation3_notrunc_11_100_4_9999999999, 1, 4, 100, 95.332577, 0.569687, 0.171189, 1000, 1000, 9999999999, 1
ablation3_notrunc_12_1000_4_9999999999, 1, 4, 1000, 277.248883, 5.881569, 4.618104, 4614, 10000, 9999999999, 1
ablation3_notrunc_13_100_4_9999999999, 1, 4, 100, 94.082605, 0.589584, 0.170946, 1000, 1000, 9999999999, 1
ablation3_notrunc_14_400_4_9999999999, 1, 4, 400, 312.012258, 1.658643, 0.866168, 4000, 4000, 9999999999, 1
ablation3_notrunc_15_400_4_9999999999, 1, 4, 400, 307.573147, 1.556246, 0.909019, 4000, 4000, 9999999999, 1
ablation3_notrunc_16_400_4_9999999999, 1, 4, 400, 305.164885, 1.765168, 0.894392, 4000, 4000, 9999999999, 1
ablation3_notrunc_17_1_4_9999999999, 1, 4, 1, 1.000000, 0.442948, 0.027017, 10, 10, 9999999999, 1
ablation3_notrunc_18_10_4_9999999999, 1, 4, 10, 10.000000, 0.385373, 0.104549, 100, 100, 9999999999, 1
ablation3_notrunc_19_4000_4_9999999999, 1, 4, 4000, 81.400000, 5.081231, 3.097587, 814, 40000, 9999999999, 1
ablation3_notrunc_20_600_4_9999999999, 1, 4, 600, 300.260476, 4.307191, 3.370908, 6000, 6000, 9999999999, 1
ablation3_notrunc_21_50_4_9999999999, 1, 4, 50, 49.079396, 0.449131, 0.113459, 500, 500, 9999999999, 1
ablation3_notrunc_22_1000_4_9999999999, 1, 4, 1000, 252.344678, 6.067937, 4.749368, 4372, 10000, 9999999999, 1
ablation3_notrunc_23_1000_4_9999999999, 1, 4, 1000, 254.083946, 6.448158, 6.226517, 5608, 10000, 9999999999, 1
ablation3_notrunc_24_800_4_9999999999, 1, 4, 800, 265.482310, 7.391765, 5.838431, 6382, 8000, 9999999999, 1
ablation3_notrunc_25_10_4_9999999999, 1, 4, 10, 10.000000, 0.354425, 0.059931, 100, 100, 9999999999, 1
ablation3_notrunc_26_600_4_9999999999, 1, 4, 600, 312.125698, 4.185190, 3.144594, 6000, 6000, 9999999999, 1
ablation3_notrunc_27_1500_4_9999999999, 1, 4, 1500, 263.634853, 5.440027, 4.250918, 3670, 15000, 9999999999, 1
ablation3_notrunc_28_2000_4_9999999999, 1, 4, 2000, 137.127065, 13.101293, 9.250802, 3013, 20000, 9999999999, 1
ablation3_notrunc_29_200_4_9999999999, 1, 4, 200, 180.459074, 0.838881, 0.334439, 2000, 2000, 9999999999, 1
ablation3_notrunc_30_2000_4_9999999999, 1, 4, 2000, 209.900000, 3.941091, 3.007343, 2099, 20000, 9999999999, 1
ablation3_notrunc_31_600_4_9999999999, 1, 4, 600, 309.866932, 3.808648, 2.934242, 6000, 6000, 9999999999, 1
ablation3_notrunc_32_800_4_9999999999, 1, 4, 800, 295.356010, 5.257741, 4.143193, 5551, 8000, 9999999999, 1
ablation3_notrunc_33_1500_4_9999999999, 1, 4, 1500, 253.804899, 5.243081, 4.654874, 3623, 15000, 9999999999, 1
ablation3_notrunc_34_4000_4_9999999999, 1, 4, 4000, 86.400000, 11.276646, 2.734848, 864, 40000, 9999999999, 1
ablation3_notrunc_35_1_4_9999999999, 1, 4, 1, 1.000000, 0.437334, 0.068355, 10, 10, 9999999999, 1
