sent, rec
1639, 2307317781
1375746, 2307306662
1562495, 2307294219
1739022, 2307282912
2974063, 2307269010
3154984, 2307258554
3321331, 2307247170
4561360, 2307234787
6734840, 2307222974
6907573, 2307209758
7084667, 2307198796
7254725, 2307187827
7420405, 2307176762
7586055, 2307163045
7752378, 2307151753
7928912, 2307139841
8089489, 2307128373
9286725, 2307114508
9393959, 2307101912
10551434, 2307089269
10654089, 2307072842
10743758, 2307060337
11933016, 2307047925
12037169, 2307033471
12133693, 2307018846
13290976, 2307005777
13395201, 2306992458
14556581, 2306978616
14661582, 2306964811
14757449, 2306950240
15912094, 2306925243
16019273, 2306912100
16109960, 2306900936
17305433, 2306888289
17457159, 2306875445
17585800, 2306864037
18746962, 2306853004
18874563, 2306841423
20042313, 2306829675
20140302, 2306817743
20239310, 2306806215
21400268, 2306793299
21503505, 2306781617
21592787, 2306769162
22757154, 2306757623
22854316, 2306744793
24037071, 2306733934
25719060, 2306719916
25824345, 2306707111
25916988, 2306693861
26003196, 2306681479
26148662, 2306669727
26269951, 2306657265
26507457, 2306644794
27694601, 2306630761
27791051, 2306616850
28954279, 2306603765
29051468, 2306589127
29144243, 2306574828
30300320, 2306559663
30400178, 2306543485
31557643, 2305637243
31664344, 2305622407
31757254, 2305607185
32919151, 2305593326
33078273, 2305574855
33171237, 2305551028
34560988, 2305536626
34693156, 2305522687
34837131, 2305507747
35996723, 2305493599
36101284, 2305479136
36193368, 2305464185
37357908, 2305448831
37460584, 2305435194
37552398, 2305419797
38712818, 2305403906
38819921, 2305386106
39982780, 2305373177
40080523, 2305361862
40175224, 2305349187
41335268, 2305336415
41442461, 2305323080
41533763, 2305310851
42758317, 2305298714
42906609, 2305284003
44674121, 2305270704
44782202, 2305259269
44881582, 2305246676
44975691, 2305234082
45067715, 2305221157
46236392, 2305208225
46333958, 2305196919
47493809, 2305182263
47593237, 2305167933
47718553, 2305155515
48877536, 2305143199
48977389, 2305130272
49070392, 2305117252
50225901, 2305103871
50356901, 2305089356
51522013, 2305075005
51644116, 2305059757
51762880, 2305043542
52944226, 2305029739
53043893, 2305013257
54034798, 2305000577
54130800, 2304986513
54230930, 2304971663
55395183, 2304955352
55512437, 2304941033
55606979, 2304926457
56774848, 2304913523
56906930, 2304900106
57007125, 2304886235
58165049, 2304871562
58268733, 2304858070
59455277, 2304843545
59555361, 2304827443
59668011, 2304808202
60856383, 2304793715
60959849, 2304777014
61057555, 2304761096
62220032, 2304746647
62319785, 2304720855
63478901, 2304709354
63600247, 2304698386
63715666, 2304686630
64902667, 2304672927
65152721, 2304661256
65252098, 2304649219
66416599, 2304636862
66513387, 2304624107
66608398, 2304611832
67790056, 2304596281
67905644, 2304120790
68005921, 2304109551
69214432, 2304097346
69317377, 2304086275
70474349, 2304074634
70572853, 2304063976
70696088, 2304051366
71855471, 2304039449
71967401, 2304024831
72064435, 2304012838
73721968, 2303999890
73815441, 2303986494
73941438, 2303972060
74037145, 2303959623
75205899, 2303946437
75301468, 2303933222
76484684, 2303918677
76580958, 2303906578
76678624, 2303892040
77834760, 2303877584
77957858, 2303863123
83196395, 2303848445
83331682, 2303834290
83426615, 2303820670
83523268, 2303806078
83656754, 2303791095
83745009, 2303776354
83846077, 2303760806
83935946, 2303746491
84048211, 2303729926
84143832, 2303714313
84235553, 2303698111
84377985, 2303682673
84484417, 2303667150
84575701, 2303650596
85744223, 2303629311
85849318, 2303618171
87021175, 2303605647
87114325, 2303594023
87196670, 2303582931
88372538, 2303571612
88474324, 2303560722
88561204, 2303548899
89709894, 2303537299
89802338, 2303524647
90950050, 2303511052
91071693, 2303498520
91158659, 2303485438
92320558, 2303473297
93899845, 2303460941
94031070, 2303446524
94116859, 2303431350
94201507, 2303417602
94286861, 2303405460
95460111, 2303391504
95556552, 2303377570
95639995, 2303364705
96816944, 2303350116
96945120, 2303336718
97039985, 2303322560
98197386, 2303309992
98296715, 2303294847
99456875, 2303279921
99600597, 2303265326
99699785, 2303250661
100857623, 2303235767
100968384, 2303221720
101078710, 2303209315
102242732, 2303194077
102348447, 2303177418
103509177, 2303160743
103606496, 2303141162
103700763, 2302328356
104867414, 2302313688
105002938, 2302296976
105098960, 2302282478
106280718, 2302266586
106382161, 2302251944
107538969, 2302236994
107639111, 2302223550
107728471, 2302209694
108926577, 2302192430
109027309, 2302171399
109120390, 2302159384
110304023, 2302147803
110404674, 2302134929
111561672, 2302122802
111661710, 2302110198
113621230, 2302098791
113713719, 2302086180
113809558, 2302072371
113948970, 2302059039
114043854, 2302046883
114145665, 2302032854
115317460, 2302019720
115427207, 2302006823
115517797, 2301992372
116677857, 2301979555
116800437, 2301967785
117966997, 2301952513
118065159, 2301938296
118203325, 2301924272
119370893, 2301912669
119479910, 2301898570
119570138, 2301886879
120730272, 2301873386
120853301, 2301859648
122021361, 2301845278
123041420, 2301831347
123128360, 2301818574
123206228, 2301804890
123269397, 2301790919
124409242, 2301776646
124491456, 2301763659
124556713, 2301747661
125708512, 2301733939
125779800, 2301719833
126909878, 2301703939
126986899, 2301688438
127052277, 2301673303
128184614, 2301658270
128250609, 2301641783
128560341, 2301627329
129699326, 2301613184
129769526, 2301596658
130898932, 2301583359
131007898, 2301569064
132263139, 2301550713
132337754, 2301525431
132400720, 2301513998
133552626, 2301499734
133622502, 2301488717
133729928, 2301477109
134868028, 2301465775
134935950, 2301453729
135011046, 2301442046
136139114, 2301428970
136208731, 2301416890
137337478, 2301403497
137411956, 2301390830
138540323, 2301376978
138609300, 2301363931
138674154, 2301350387
139850858, 2301332477
139942584, 2301311394
140005640, 2300727917
141135758, 2300712980
142129853, 2300693821
142194659, 2300675693
142257821, 2300662720
143424019, 2300649146
143495599, 2300635063
143558212, 2300620951
144687272, 2300604705
144759756, 2300591081
145891185, 2300576780
145959278, 2300562392
146020293, 2300547553
147146945, 2300531405
147214575, 2300517942
148412778, 2300502903
148515335, 2300489877
148581409, 2300474514
149714539, 2300459635
149785916, 2300444769
150918481, 2300427115
150988521, 2300403636
151081328, 2300388891
152218218, 2300373609
152288983, 2300356294
153419999, 2300338225
153492869, 2300315984
153556127, 2300301702
154685117, 2300285766
154753892, 2300270427
155884896, 2300249754
155952836, 2300238317
156062494, 2300225546
157224700, 2300211311
157298147, 2300197147
158428244, 2300185051
158511498, 2300172141
158577731, 2300158678
159754331, 2300145989
159840453, 2300130618
160976774, 2300117787
162332670, 2300102436
162429037, 2300090064
162524398, 2300076067
162627596, 2300061407
162720723, 2300048927
163889502, 2300034464
163989143, 2300018799
164077957, 2300005173
165239978, 2299991123
165385163, 2299975772
166551584, 2299960499
176053392, 2299943998
176189971, 2299928338
176376286, 2299910420
176481055, 2299896210
176573669, 2299881094
176665623, 2299865965
176759006, 2299850945
176848690, 2299835977
176941711, 2299821103
177031203, 2299808024
