sent, rec
2178, 1220470917
1382001, 1220456473
1595783, 1220441396
2841784, 1220427210
3028582, 1220414479
4268197, 1220400665
4452878, 1220385671
5695050, 1220371594
7904867, 1220356025
8090533, 1220341615
8274879, 1220327235
8441606, 1220311438
8613066, 1220297131
8779185, 1220280583
10029852, 1220264273
10214665, 1219655330
11436076, 1219636373
11558135, 1219621125
12721130, 1219604999
12819437, 1219588104
13981366, 1219572803
14087952, 1219555080
15251682, 1219538884
15374859, 1219522916
16547434, 1219504931
17717258, 1219489744
17821612, 1219474128
18985801, 1219457633
19091068, 1219442192
20257989, 1219425504
20357003, 1219410292
21520914, 1219392907
21638324, 1219375008
22834419, 1219359429
23026614, 1219339134
24192953, 1219323037
24295511, 1219306146
25460391, 1219289728
25590201, 1219273681
26753814, 1219253494
26898984, 1219225424
28068760, 1219212223
28184426, 1219198099
29356829, 1219183463
29460746, 1219167491
30627061, 1219151895
30736882, 1219138102
32472277, 1219121588
32578129, 1219106862
32668023, 1219089261
33850286, 1219074160
35050356, 1219056968
35153602, 1219035720
36312994, 1219019499
36423210, 1219003675
36687311, 1218987811
37851117, 1218971330
39024277, 1218957146
39162769, 1218942049
40331314, 1218925683
40446842, 1218909361
41613929, 1218891244
41717481, 1218873643
42892715, 1218856206
42991926, 1218839598
44213094, 1218822368
44504715, 1218797818
44671648, 1218780752
45843407, 1218764375
47016570, 1218747627
47151891, 1218730182
48312621, 1218713899
48417330, 1218695226
49580925, 1218679316
49709509, 1218664090
50907867, 1218648770
51013469, 1218632276
52196115, 1218615959
52311054, 1218599208
53477675, 1218582454
53581455, 1218565818
54748361, 1218548225
54849230, 1218531011
56013662, 1218514024
56114004, 1218496519
57278694, 1218475430
59036805, 1218454927
59140696, 1217926365
59233678, 1217912881
59339121, 1217899833
60505741, 1217885258
61676993, 1217870266
61891204, 1217855921
63063578, 1217842364
63200363, 1217829332
64367816, 1217814389
64469798, 1217799873
65667328, 1217783967
65771058, 1217769777
66931024, 1217753587
67035653, 1217738205
68196178, 1217723105
68297724, 1217708060
69458532, 1217692476
69573408, 1217676500
70574698, 1217660699
70699223, 1217645898
71862646, 1217630308
73044025, 1217613592
73186339, 1217597073
74391022, 1217573623
74508220, 1217552333
75673776, 1217535219
75772389, 1217512491
76980015, 1217492963
77076167, 1217475111
78249453, 1217454734
78354834, 1217433567
79516472, 1217408536
79622167, 1217382237
80786652, 1217357719
80900784, 1217335893
82064796, 1217316097
82173166, 1217294797
83335263, 1217266636
83441766, 1217240098
84683676, 1217214480
84825396, 1217191620
86008517, 1217155057
86256647, 1217128081
87425114, 1217103097
87525666, 1217076117
88690487, 1217052648
88810983, 1217014582
89980083, 1217000809
90084248, 1216987344
91248864, 1216971399
91363215, 1216957011
92524778, 1216942867
93690426, 1216929251
93795460, 1216914191
94958441, 1216901165
95086088, 1216885366
96247596, 1216870312
98005937, 1216853798
98152560, 1216839438
98251254, 1216823715
98358887, 1216807495
99531105, 1216792258
99631963, 1216777986
100791166, 1216762360
100909756, 1216748656
102076838, 1216730755
102173826, 1216713795
103337415, 1216698267
103445878, 1216682521
108747574, 1216664284
108873192, 1215659771
108973382, 1215627834
109066395, 1215607796
109163969, 1215589099
109333120, 1215568833
109473428, 1215548962
109570345, 1215527148
109663157, 1215503779
110838535, 1215483354
110936896, 1215462016
112100274, 1215438762
112213305, 1215416991
113377379, 1215391475
113479763, 1215370680
114646547, 1215344737
114746015, 1215323304
115913784, 1215296360
116013763, 1215275912
117190581, 1215250705
118370813, 1215222036
118476522, 1215197252
119683056, 1215172058
119820561, 1215148921
120989028, 1215113442
121090565, 1215100194
122274796, 1215084809
123908354, 1215067501
124087311, 1215052684
124178005, 1215033295
124282572, 1215019085
125453629, 1215003966
125553156, 1214989794
126720214, 1214970559
126819381, 1214954812
127981218, 1214940526
128121506, 1214925054
129284934, 1214910467
129397611, 1214896056
130569047, 1214881035
130757115, 1214863331
131933740, 1214848203
132054804, 1214832345
133189259, 1214814521
134363554, 1214799133
134463960, 1214782623
135638810, 1214763976
135762163, 1214744277
136931432, 1214721117
137030683, 1214700193
138197308, 1214679092
138298504, 1214646709
139461955, 1214595614
139562585, 1214556307
140741020, 1214512615
140839986, 1214471200
142004681, 1214428500
142132165, 1214385838
143320184, 1214341913
143424887, 1214306112
144616048, 1214266114
144718763, 1214224763
145890903, 1214175013
146004332, 1214150867
147162254, 1214121066
148356298, 1214096781
150362240, 1214073567
150478462, 1214047706
150590637, 1214013453
150682526, 1213976346
150777258, 1213900821
151994508, 1213867454
152098891, 1213834983
153259789, 1213801146
153387921, 1213766792
154570729, 1213733975
154687626, 1213696096
155866959, 1213663238
157039622, 1213631299
157139814, 1213601023
158312623, 1213568927
158415570, 1213534141
159601975, 1213493988
159708306, 1213464845
160884218, 1213437507
160985226, 1213410507
161980951, 1213382656
162049580, 1213350402
163191726, 1213317417
164329909, 1894388557
164425477, 1894369226
165565551, 1894350754
165670694, 1894332185
166812022, 1894313072
166897145, 1894295460
168032625, 1894275630
168103539, 1894256439
169246735, 1894236587
170384211, 1894218416
170451345, 1894200711
171581704, 1894180181
171891182, 1894161190
173024621, 1894144028
173095685, 1894124893
174226442, 1894105212
175436083, 1894066599
175505048, 1894047766
175567946, 1894029918
176733409, 1894011292
176819179, 1893993292
177967835, 1893974980
178039755, 1893955119
179186236, 1893936910
180318653, 1893915971
180395327, 1893897002
181527068, 1893876983
181596742, 1893858223
182728058, 1893837098
182798130, 1893815502
183932393, 1893789555
184006220, 1892484579
185139800, 1892463217
186285010, 1892443144
186356857, 1892422102
187346801, 1892398972
187420485, 1892376962
188602917, 1892354279
188692451, 1892334321
189825302, 1892310515
190978377, 1892284184
191045983, 1892256160
192175416, 1892230156
192242839, 1892205257
193371933, 1892177135
193441143, 1892150614
194572130, 1892120617
195706854, 1892092650
195775129, 1892064073
196907576, 1892036673
196977116, 1892007884
198110180, 1891980553
198231603, 1891947737
199369715, 1891913593
199439295, 1891881988
200618491, 1891853879
200711323, 1891821835
201879959, 1891783062
203038064, 1891750044
203110461, 1891714009
204240287, 1891680911
204324688, 1891651551
205457489, 1891619211
205531649, 1891573716
206664707, 1891555635
206734432, 1891537587
207864268, 1891517771
209000762, 1891499921
209071289, 1891479926
210202238, 1891461984
210274598, 1891441187
211408807, 1891421328
211477655, 1891401780
212672661, 1891381980
214056011, 1891363883
214194290, 1891344815
214311977, 1891325898
215481523, 1891305809
215581885, 1891287109
216771846, 1891266643
216871892, 1891246588
218031469, 1891226695
218130432, 1891207600
219306756, 1891186884
219405674, 1891165349
220567332, 1891142008
230305097, 1891112487
230429286, 1891080897
230522194, 1891052347
230611907, 1891027380
230755538, 1890998887
230857961, 1890969013
230951105, 1890941085
231050850, 1890910524
231139638, 1890880578
231224387, 1890849540
231327025, 1890823225
231411913, 1890792210
231511014, 1890758932
231596951, 1890732279
231685899, 1890698903
231772064, 1890667751
231859286, 1890611527
233022452, 1890471920
233118742, 1882260842
234306107, 1882230728
234409440, 1882203549
235564096, 1882183604
235668806, 1882161329
236827409, 1882088292
236956367, 1882069438
238116895, 1882048018
238209115, 1882014983
239397902, 1881985964
241044561, 1881951440
241142831, 1881916093
241255533, 1881879775
241349968, 1881841279
242519791, 1881798740
243682162, 2851788756
243809183, 2851769624
244971507, 2851752287
245089928, 2851734812
246261590, 2851713668
246373791, 2851694509
247572078, 2851677024
247680174, 2851651460
248841161, 2851635167
248940829, 2851619313
250100483, 2851603391
250206152, 2851586404
251389536, 2851569727
251505614, 2851552401
252746711, 2851535397
252843733, 2851518364
254008975, 2851499978
254114066, 2851483057
255280447, 2851463289
255421143, 2851447208
256599602, 2851427487
256714205, 2851408353
257883526, 2851391324
259054537, 2851373159
259152008, 2851354193
260315539, 2851334893
260413098, 2851313888
261575868, 2851292463
261688495, 2851273174
262875565, 2851254801
262975404, 2851234259
264140988, 2851214676
264241424, 2851194149
265409039, 2851174029
267094025, 2851155491
267194268, 2851134350
267354303, 2851116155
267449841, 2851096530
268619629, 2851074776
268744305, 2851055715
269912333, 2851036596
270011006, 2851016629
271173832, 2850997412
272338086, 2850976738
272439298, 2850959248
273599649, 2850941705
