name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation4r_unfiltered_0_4000_4_9999999999, 4, 4, 4000, 111.400000, 3.931168, 2.211767, 1114, 40000, 9999999999, 1
ablation4r_unfiltered_1_10_4_9999999999, 4, 4, 10, 10.000000, 0.292823, 0.098910, 100, 100, 9999999999, 1
ablation4r_unfiltered_2_1000_4_9999999999, 4, 4, 1000, 252.807361, 5.864435, 4.537787, 4158, 10000, 9999999999, 1
ablation4r_unfiltered_3_4000_4_9999999999, 4, 4, 4000, 177.900000, 5.981933, 3.813160, 1779, 40000, 9999999999, 1
ablation4r_unfiltered_4_400_4_9999999999, 4, 4, 400, 336.362737, 1.462545, 0.653077, 4000, 4000, 9999999999, 1
ablation4r_unfiltered_5_600_4_9999999999, 4, 4, 600, 249.304636, 6.108307, 4.436967, 5194, 6000, 9999999999, 1
ablation4r_unfiltered_6_2000_4_9999999999, 4, 4, 2000, 166.378253, 9.021652, 7.334569, 3223, 20000, 9999999999, 1
ablation4r_unfiltered_7_1000_4_9999999999, 4, 4, 1000, 254.629369, 5.215509, 3.691825, 3342, 10000, 9999999999, 1
ablation4r_unfiltered_8_1_4_9999999999, 4, 4, 1, 1.000000, 0.483913, 0.237801, 10, 10, 9999999999, 1
ablation4r_unfiltered_9_400_4_9999999999, 4, 4, 400, 369.324139, 0.855182, 0.185763, 4000, 4000, 9999999999, 1
ablation4r_unfiltered_10_800_4_9999999999, 4, 4, 800, 225.356521, 6.788677, 5.111339, 4360, 8000, 9999999999, 1
ablation4r_unfiltered_11_10_4_9999999999, 4, 4, 10, 10.000000, 0.278126, 0.044026, 100, 100, 9999999999, 1
ablation4r_unfiltered_12_100_4_9999999999, 4, 4, 100, 100.000000, 0.325984, 0.120083, 1000, 1000, 9999999999, 1
ablation4r_unfiltered_13_4000_4_9999999999, 4, 4, 4000, 92.271195, 11.097519, 7.640281, 1515, 40000, 9999999999, 1
ablation4r_unfiltered_14_100_4_9999999999, 4, 4, 100, 100.000000, 0.292665, 0.063815, 1000, 1000, 9999999999, 1
ablation4r_unfiltered_15_800_4_9999999999, 4, 4, 800, 247.847425, 5.822203, 4.726422, 4829, 8000, 9999999999, 1
ablation4r_unfiltered_16_1500_4_9999999999, 4, 4, 1500, 255.048009, 4.146267, 3.218222, 2585, 15000, 9999999999, 1
ablation4r_unfiltered_17_1000_4_9999999999, 4, 4, 1000, 212.983629, 6.930580, 5.585041, 4130, 10000, 9999999999, 1
ablation4r_unfiltered_18_600_4_9999999999, 4, 4, 600, 256.954084, 5.936150, 4.954061, 6000, 6000, 9999999999, 1
ablation4r_unfiltered_19_1_4_9999999999, 4, 4, 1, 1.000000, 0.443171, 0.085373, 10, 10, 9999999999, 1
ablation4r_unfiltered_20_2000_4_9999999999, 4, 4, 2000, 241.228291, 5.409801, 4.003640, 2786, 20000, 9999999999, 1
ablation4r_unfiltered_21_800_4_9999999999, 4, 4, 800, 197.785427, 7.795284, 6.338078, 4680, 8000, 9999999999, 1
ablation4r_unfiltered_22_100_4_9999999999, 4, 4, 100, 100.000000, 0.311710, 0.110695, 1000, 1000, 9999999999, 1
ablation4r_unfiltered_23_200_4_9999999999, 4, 4, 200, 200.000000, 0.417168, 0.166979, 2000, 2000, 9999999999, 1
ablation4r_unfiltered_24_50_4_9999999999, 4, 4, 50, 50.000000, 0.281169, 0.039913, 500, 500, 9999999999, 1
ablation4r_unfiltered_25_1500_4_9999999999, 4, 4, 1500, 173.943880, 10.787351, 8.366194, 4035, 15000, 9999999999, 1
ablation4r_unfiltered_26_200_4_9999999999, 4, 4, 200, 200.000000, 0.356061, 0.040290, 2000, 2000, 9999999999, 1
ablation4r_unfiltered_27_200_4_9999999999, 4, 4, 200, 200.000000, 0.469982, 0.268022, 2000, 2000, 9999999999, 1
ablation4r_unfiltered_28_400_4_9999999999, 4, 4, 400, 386.149660, 0.636465, 0.090139, 4000, 4000, 9999999999, 1
ablation4r_unfiltered_29_50_4_9999999999, 4, 4, 50, 50.000000, 0.331197, 0.141310, 500, 500, 9999999999, 1
ablation4r_unfiltered_30_600_4_9999999999, 4, 4, 600, 266.008929, 5.274693, 4.166828, 5608, 6000, 9999999999, 1
ablation4r_unfiltered_31_1_4_9999999999, 4, 4, 1, 1.000000, 0.504281, 0.282230, 10, 10, 9999999999, 1
ablation4r_unfiltered_32_50_4_9999999999, 4, 4, 50, 50.000000, 0.277608, 0.039573, 500, 500, 9999999999, 1
ablation4r_unfiltered_33_1500_4_9999999999, 4, 4, 1500, 201.267671, 8.253551, 5.714349, 3045, 15000, 9999999999, 1
ablation4r_unfiltered_34_10_4_9999999999, 4, 4, 10, 10.000000, 0.272057, 0.037018, 100, 100, 9999999999, 1
ablation4r_unfiltered_35_2000_4_9999999999, 4, 4, 2000, 156.929911, 14.302732, 9.738774, 3731, 20000, 9999999999, 1
