sent, rec
2275, 502590369
5451226, 502570914
10916303, 502536253
15385053, 502489700
20851472, 636781712
25338593, 636761496
30804142, 636743793
35276722, 636725189
40750002, 636705526
45187538, 636683864
50649537, 636664890
56120937, 636644345
60520785, 636623520
65973400, 636597594
70423951, 636577583
75875022, 636558485
80288297, 636537128
85689559, 636516340
91097061, 636495564
95436075, 636474188
100842536, 636454882
105197695, 636433237
110607802, 636410867
115968784, 636384573
120248308, 636331567
125594715, 636280447
130997521, 691743062
135325417, 691725165
140603137, 691707057
145979926, 691688327
150342116, 691670682
155683411, 691651816
161052124, 691632926
165481629, 691613207
170837064, 691593542
175214848, 691573133
180576521, 691538212
185941841, 691495024
190283826, 765176260
195608066, 765158818
200923971, 765139798
205283401, 765122458
210638192, 765099381
216000043, 765059542
220296297, 764733532
225633196, 764713653
230702677, 764689107
236042141, 764671219
240356883, 764653211
245713479, 764635986
251098432, 764617149
255437463, 764595899
260786937, 764568968
265156966, 764549660
270561690, 764532020
275929421, 764515179
280232003, 764495791
285570761, 764477674
291092973, 764458276
295435919, 764439811
300775566, 764421647
305167687, 764402855
310515786, 764384347
315869484, 764365860
320163876, 764346553
325635149, 764327218
330189585, 764307146
335566560, 764288841
340926462, 764271658
345271783, 764251700
350615060, 764231270
355966805, 764212223
360257330, 764191622
365640987, 764173683
371054474, 764154117
375433127, 764134998
380775118, 764110528
386140600, 764087038
390512126, 764059097
395847663, 764028372
400138526, 763995612
405483882, 763944120
410888430, 763867077
415225835, 763810640
420566485, 859141049
425655260, 859119822
430974706, 859102146
435323397, 859083047
440720663, 859066019
446082890, 859047370
450415263, 859027337
455735503, 859004805
461071033, 858965996
465452222, 857884870
470794920, 857867829
476119517, 857850333
480432761, 857833091
485759080, 857814277
491131310, 857795904
495436093, 857776372
500860465, 857756016
505747080, 857737070
511075482, 857719322
515429751, 857698581
520690996, 857675731
526026240, 857627296
530381481, 857608781
535757450, 857586893
541086095, 857555681
545422201, 857514850
550793021, 857446984
556129598, 856757515
560405786, 856719100
565739699, 938469994
571126055, 938449285
575432114, 938429450
580801198, 938407947
585206660, 938386505
590576497, 938366757
595892368, 938346092
600219272, 938325902
605986903, 938302870
610324343, 938280294
615648639, 938255634
620997247, 938204711
625332461, 938156703
630750072, 1034203865
635143068, 1034185229
640688656, 1034163653
645132117, 1034142773
650957460, 1034120853
655301554, 1034099796
660600067, 1034075847
666008999, 1034035688
670354671, 1033992572
675766500, 1033107829
681143293, 1033087809
687312191, 1033064967
690579085, 1033006540
695840239, 1032957698
700092765, 1508787503
705043589, 1508770762
710294631, 1508751846
715648101, 1508734588
721012055, 1508715176
725403513, 1508697803
730298059, 1508678169
735615553, 1508656518
740992125, 1508602141
745345283, 1508557089
750701325, 1780268060
756047931, 1780248095
760363497, 1780230552
765195486, 1780212307
770493267, 1780193406
775865098, 1780175418
780081434, 1780155464
785728416, 1780137644
791047159, 1780117607
795400416, 1780097567
800521823, 1780079191
805818832, 1780061258
811147042, 1780041692
815431285, 1780022758
820740084, 1780001490
826086043, 1779980294
830444197, 1779957812
835748238, 1779933174
841046868, 1779871711
845344229, 1779820622
850647396, 1841604740
856005127, 1841588121
860733947, 1841569054
865997438, 1841550701
870326085, 1841532413
875752760, 1841515149
880698034, 1841496188
886062613, 1841477469
890396580, 1841459961
895778482, 1841436026
900329543, 1841418392
905170057, 1841401180
910474769, 1841381862
915770826, 1841362826
921077698, 1841343714
925395158, 1841321725
930727851, 1841269998
936094793, 1841227815
940566689, 2089709710
945868711, 2089691287
950167523, 2089673311
955433922, 2089654708
960175843, 2089634642
965478016, 2089616797
970787955, 2089598306
975709225, 2089581445
981011081, 2089564133
985329697, 2089547111
990647613, 2089528867
996047539, 2089510691
1000289242, 2089490713
1005623318, 2089473852
1010939559, 2089455376
1015263190, 2089437422
1020630989, 2089418151
1025931571, 2089400586
1030277389, 2089381800
1035285203, 2089363032
1040676509, 2089344190
1045970875, 2089323392
1050784418, 2089304677
1056620007, 2089284882
1060849345, 2089264458
1065211467, 2089242418
1070506850, 2089221950
1075795062, 2089196225
1081094170, 2089175953
1085457172, 2089156202
1090770841, 2089135297
1095427055, 2089114532
1100311576, 2089062913
1105649284, 2089043609
1110961249, 2089011698
1115301730, 2087229051
1120667534, 2087211121
1126027951, 2087191916
1130350966, 2087172009
1135636633, 2087152337
1140115053, 2087132459
1145449682, 2087112844
1150770355, 2087095057
1156086027, 2087077528
1160328408, 2087058372
1165662459, 2087040647
1171025551, 2087022649
1175397774, 2087003336
1180699592, 2086983698
1185998571, 2086962151
1190332166, 2086941743
1195650067, 2086923270
1200908409, 2086902548
1205221696, 2086878194
1210656141, 2086846932
1216036588, 2086806689
1220334673, 2086762130
1225725530, 2086713587
1231077946, 2086643057
1235457261, 2086586726
1240828376, 2184114637
1245212020, 2184095926
1250557006, 2184075846
1255886174, 2183184141
1260164322, 2183166977
1265482940, 2183149885
1270817026, 2183130560
1275204569, 2183110733
1280598679, 2183082994
1285964438, 2183065143
1290333670, 2183048871
1295708845, 2183030852
1301111977, 2183014905
1305481465, 2182998498
1310817225, 2182979739
1315198232, 2182960324
1320535983, 2182940996
1325908776, 2182923481
1330946764, 2182904542
1335272804, 2182886911
1340605713, 2182868566
1346063890, 2182849658
1350437893, 2182830571
1356086906, 2182812006
1360397269, 2182792228
1365724909, 2182773684
1371074240, 2182755289
1375447917, 2182736152
1380854624, 2182717017
1385226757, 2182698243
1390586798, 2182676005
1395939847, 2182653311
1400291026, 2182622026
1405636804, 2182605028
1411038830, 2182588370
1415387349, 2182571365
1420764191, 2182552279
1425786646, 2182533856
1431076226, 2182515733
1436023578, 2182496308
1440260310, 2182474718
1445561503, 2182457261
1450901221, 2182438814
1455211295, 2182420575
1460556658, 2182399478
1465848568, 2182378849
1470146174, 2182358798
1475534899, 2182337201
1480844159, 2182316270
1485144178, 2182296778
1490278534, 2182277699
1495561621, 2182259727
1500873563, 2182238381
1505219797, 2182219021
1510943504, 2182197972
1515268200, 2182178763
1520653272, 2182160119
1525952561, 2182141355
1530258541, 2182121853
1535525878, 2182102586
1540150987, 2182083168
1545772506, 2182064505
1551101428, 2182043986
1555430972, 2182022529
1560729028, 2182001718
1566047450, 2181982212
1570408299, 2181963063
1575740316, 2181944374
1581055564, 2181924699
1585370312, 2181904850
1590764181, 2181882600
1596134632, 2181858397
1600399083, 2181827074
1605713839, 2173143971
1611026421, 2173121556
1615376762, 2173099943
1620707904, 2173075647
1626053616, 2173051349
1630381799, 2173009904
1635723732, 2172991797
1641040745, 2172973509
1645402845, 2172954415
1650705046, 2172934934
1656011508, 2172914340
1660332937, 2172892760
1665647895, 2172871863
1670957345, 2172850416
1675250956, 2172721565
1680593355, 2172696684
1685967368, 2172662364
1690285777, 2172625118
1695583919, 2172584833
1700873151, 2172545174
1705543822, 2172504945
1710746394, 2172465290
1715922232, 2172424449
1720076908, 2172381515
1725230810, 2172342318
1730415771, 2172303899
1735961383, 2172264508
1740253265, 2172224946
1745598707, 2172183686
1750911958, 2172140389
1755213817, 2172086661
1760516747, 2172044654
1765817559, 2171970775
1771129290, 2171913254
1775429538, 2285175810
1780296887, 2285157380
1789400727, 2285139852
1790979108, 2285120769
1795203876, 2285102737
1800964959, 2285083515
1805255380, 2285061780
1810553658, 2285031947
1815891997, 2283463891
