sent, rec
2927, 1185090205
1399855, 1185073450
1588355, 1185052942
1764513, 1185034281
3023545, 1185017192
3216749, 1184991910
3379353, 1184971851
3558409, 1184952353
5846378, 1184933162
6027632, 1184915435
6211189, 1184895899
6425242, 1184876933
6597763, 1184858974
6771276, 1184834907
8020881, 1184814540
8210029, 1184785467
8356063, 1184767105
9531087, 1184749373
9636305, 1184728458
9742784, 1184710919
10909508, 1184692019
11014459, 1184672557
11139211, 1184652845
12301659, 1184633520
12411198, 1184611355
12506262, 1184592911
13684682, 1184574479
13794330, 1184557669
14968436, 1184538574
15078735, 1184517701
15172164, 1184491206
16339598, 1184469700
16442916, 1184448490
16578940, 1184431071
17849608, 1184411687
17965877, 1184390740
18064212, 1184370604
19283769, 1184350564
19403281, 1184329951
19507713, 1184308093
20676128, 1184284674
20779301, 1184263365
21963427, 1184243092
22111552, 1184222665
22213298, 1184201979
23377880, 1184180366
23495723, 1184158639
25328574, 1184137609
25435761, 1184117676
25537022, 1184095396
25630575, 1184074644
25796325, 1184049230
26982073, 1184007694
27247787, 1183986099
27375704, 1183964395
28548447, 1183944822
28659270, 1183924288
28766223, 1183903198
29935026, 1183881523
30037623, 1183859740
30138957, 1183837519
31331952, 1183801029
31439775, 1183780123
31534500, 1183762499
32703815, 1183744457
32882899, 1183724047
34054033, 1183706516
34380360, 1183687172
34545252, 1183667502
34674805, 1183650037
35846907, 1183630758
35986482, 1183613985
36091875, 1183596586
37276314, 1183578875
37386634, 1183560630
38556248, 1183541044
38670892, 1183523295
38766400, 1183504283
39975440, 1183485672
40103406, 1183466379
40213985, 1183447198
41380154, 1183423570
41487841, 1183404409
41580993, 1183381854
42747267, 1183361256
42852676, 1183340720
44656292, 1183318406
44759908, 1183296779
44904107, 1183276743
45022993, 1183254541
45116855, 1183234164
46303763, 1183212209
46420342, 1183193257
46521668, 1183174449
47683112, 1183154933
47857430, 1183132917
49020983, 1183111979
49148740, 1183091634
49255761, 1183071137
50418811, 1183049779
50523829, 1183029929
50620859, 1183008292
51790911, 1182988731
51893428, 1182967177
53059668, 1182945714
53225119, 1182923548
54304906, 1182901527
54422226, 1182879273
54538124, 1182848371
54635118, 1182831092
55808830, 1182811657
55988421, 1182792133
56086972, 1182775338
57295356, 1182756637
57427793, 1182739731
57531575, 1182722154
58705701, 1182702595
58810526, 1182680503
59980567, 1180743922
60082156, 1180723935
60182108, 1180706536
61344348, 1180686774
61454637, 1180667729
61612801, 1180651118
62787035, 1180631831
62896713, 1180611558
63020407, 1180594197
64188166, 1180575892
64293860, 1180557569
64573301, 1180538619
65740181, 1180521306
65877596, 1180503458
67042086, 1180484200
67150618, 1180466362
67244807, 1180444939
68415789, 1180425243
68524094, 1180406059
68618829, 1180387933
69787389, 1180370328
69904252, 1180351516
70087751, 1180333414
71300899, 1180313146
71410493, 1180292970
71507682, 1180272847
72674187, 1180253810
74503613, 1180231970
74658643, 1180212709
74756946, 1180192584
74896483, 1180172370
75005339, 1180152774
75100764, 1180131127
76278392, 1180110560
76381962, 1180090070
77549208, 1180066978
77651175, 1180028484
77751190, 1180011240
83251118, 1179992434
83437552, 1179975864
83555364, 1179957714
83652362, 1179939924
83789376, 1179923326
83882637, 1179907507
84013095, 1179891867
84121196, 1179874820
84219276, 1179857117
84314765, 1179840661
84436263, 1179820906
84533291, 1179804482
84631432, 1179787934
84725731, 1179771111
85921241, 1179752367
86028117, 1179734701
86128361, 1179716189
87302000, 1179695396
87409403, 1179674219
87561187, 1179656439
88731269, 1179639243
88842026, 1179621446
90013762, 1179603383
90158876, 1179585647
90251334, 1179567231
91432288, 1179547849
91530704, 1179528461
91652751, 1179508046
93372960, 1179487667
93465545, 1179467005
93559898, 1179446273
93642507, 1179423765
94823301, 1179401520
94919194, 1178420555
95006284, 1178397001
96157924, 1178371765
96305600, 1178334419
97464753, 1178314089
97562986, 1178294098
97653514, 1178273837
98818932, 1178252913
98951808, 1178230992
99041406, 1178207927
100211216, 1178186521
100341096, 1178162537
101511831, 1178125210
101634119, 1178108188
101738476, 1178088331
102924561, 1178068331
103032499, 1178048794
103128733, 1174061403
104294651, 1174042580
104398799, 1174023224
104565670, 1174005456
105736291, 1173988168
105840292, 1173969619
107021170, 1173950802
107126447, 1173931387
107254451, 1173912643
108421238, 1173892355
108536822, 1173871572
108684872, 1173847705
109852629, 1173829507
109958275, 1173807623
110088898, 1173786519
111259238, 1173737138
111369037, 1173717140
113437256, 1173696793
113546151, 1173677100
113644266, 1173658391
113744512, 1173637594
113894168, 1173617350
115070985, 1173593546
115175323, 1173571592
115274574, 1173552782
116466356, 1173531284
116578688, 1173511379
116674058, 1173492468
117865194, 1173472934
118010359, 1173452655
118112243, 1173430923
119296524, 1173411640
119410202, 1173390678
119505019, 1173368629
120671391, 1173349086
120779155, 1173326385
121955646, 1173305375
123005853, 1173283325
123131393, 1173260774
123201376, 1173237378
123268204, 1173202376
124414768, 1765209226
124554348, 1765198349
124627823, 1765186754
125765559, 1765175434
125838458, 1765162735
126987536, 1765151192
127064610, 1765139361
127153236, 1765128199
128295383, 1765114824
128373316, 1765101757
128724111, 1765090609
129865819, 1765080309
129942593, 1765067375
130009934, 1765052993
131196508, 1765039324
132542581, 1765025306
132615689, 1765014177
132689261, 1765002863
132754439, 1764988181
133939048, 1764975402
134029136, 1764964534
134101196, 1764951700
135238912, 1764940204
135347599, 1764927405
136484607, 1764910410
136559425, 1764895902
136627026, 1764880257
137761593, 1764865760
137834905, 1764848964
138972112, 1764833979
139049672, 1764817715
139117268, 1764798912
140252480, 1764782751
140329569, 1764762875
141466906, 1764740624
142536870, 1764721626
142624831, 1764702923
142691755, 1764672823
142771035, 1764662108
143918454, 1764651821
143990477, 1764640761
144074020, 1764630493
145209040, 1764617512
145282095, 1764605037
146414063, 1764594162
146489837, 1764582006
146557675, 1764568141
147692169, 1764556319
147764465, 1764543608
148896709, 1764529637
148969506, 1764518004
149037454, 1764504003
150205654, 1764489527
150307299, 1764475394
151460659, 1764464078
151565473, 1764450205
151638632, 1764434357
152774086, 1764421712
152878272, 1764403557
154015768, 1764389057
154089362, 1764370013
154157259, 1764342626
155294332, 1764326291
155371878, 1764304258
156504425, 1762444303
156580417, 1762431447
156650175, 1762415726
157785988, 1762398487
157890866, 1762382201
158001748, 1762363081
159182309, 1762326840
159308096, 1762311181
160444835, 1762295468
160518195, 1762279070
161971584, 1762261693
162127562, 1762244063
162232207, 1762227304
162337414, 1762212108
163531612, 1762194493
163635139, 1762178065
163731704, 1762158306
164891298, 1762135777
164996456, 1762117505
165102925, 1762094361
166268433, 1762080578
176177624, 1762070733
176368526, 1762058537
176529960, 1762047782
176627868, 1762036862
176725431, 1762025505
176832341, 1762014816
176933117, 1762002218
177072013, 1761992584
177173576, 1761981154
177267252, 1761969783
177366198, 1761956934
177459939, 1761944185
177554705, 1761932767
177662134, 1761921596
177758861, 1761909837
177855068, 1761898274
177949472, 1761885354
178046884, 1761871610
178201479, 1761860944
178321333, 1761847435
178433222, 1761835752
178540599, 1761822037
178638092, 1761807552
178738569, 1761790402
178833199, 1761772985
178954073, 1761756413
179050622, 1761740277
180243369, 1761722262
181930967, 1761703538
182044344, 1761674537
182123638, 1761658999
182199646, 1761642868
182273025, 1761626731
183433950, 1761606206
183518588, 1761588392
183614938, 1761569585
184773000, 1761548155
184857082, 1761531149
185999194, 1761512934
186103818, 1761494313
186182519, 1761475390
187325537, 1761456748
187423219, 1761438984
187504667, 1761420139
188641332, 1761401483
188779110, 1761373709
189929225, 1761361715
