sent, rec
2345, 955831744
3349623, 955817750
5722635, 955799305
8030906, 955786230
10336997, 955773149
12653707, 955759204
15943899, 955745120
18285640, 955726919
20149199, 955697660
23366218, 955682536
25693882, 955666923
28023985, 955645856
30321640, 955628243
32631184, 955613813
35937953, 955599414
38272106, 955586828
40595902, 955572036
42860490, 955556059
45092824, 955541143
48317105, 955526012
50562414, 955511153
52801808, 955494901
56035455, 955480431
58266761, 955463757
60491872, 955445233
62698916, 955425940
65951992, 955404281
68200465, 955368450
70425582, 1088917334
72673736, 1088897303
75881475, 1088875241
78110329, 1088857037
80338607, 1088840549
82613879, 1088823067
85843240, 1088807034
88080565, 1088789366
90304403, 1088768908
93552087, 1088751138
95790088, 1088734923
98013623, 1088719014
100270414, 1088694654
103489598, 1088675182
105722102, 1088659620
107937197, 1088641515
110161872, 1088622244
113460297, 1088604361
115690876, 1088565559
118513952, 1088546074
120719117, 1088530230
122920643, 1088514455
125128340, 1088496947
128434570, 1088481554
130668478, 1088466726
132899776, 1088446289
135122210, 1088425577
138354295, 1088405734
140598909, 1088387620
142949483, 1088366817
145171185, 1088343116
148393681, 1088306950
150638886, 1276792727
152892794, 1276778205
155127157, 1276760196
158379539, 1276729967
160685069, 1276716488
162998910, 1276700430
165361338, 1276687648
168575713, 1276672488
170803638, 1276644482
173037458, 1275390627
175260314, 1275378552
178498656, 1275365424
180742194, 1275352181
183012206, 1275330391
185244525, 1275319282
188470519, 1275308230
190710535, 1275297201
192941726, 1275283364
195273470, 1275268331
198573250, 1275256946
200881955, 1275243263
203125564, 1275228524
205362710, 1275214419
207568805, 1275200676
210744842, 1275184404
212555630, 1275173165
215754221, 1275161402
218037952, 1275146786
220285028, 1275129980
223512711, 1275116849
225772347, 1275102330
228029756, 1275088467
230303388, 1275074797
233534472, 1275060607
235800616, 1275046597
238038384, 1275031459
240348411, 1275017874
242592775, 1275003389
245828557, 1274990027
248076069, 1274975142
250354679, 1274959798
252660086, 1274942061
255910565, 1274926426
258176109, 1274911057
260399572, 1274896490
262653751, 1274882573
265895326, 1274867979
268148239, 1274853190
270405448, 1274837753
272649147, 1274820926
275883492, 1274806168
278202750, 1274790125
280450828, 1274774123
282756261, 1274758841
286001819, 1274742361
288335859, 1274726978
290585193, 1274711205
292883887, 1274694572
295145164, 1274677019
298414082, 1274638450
300708939, 1274626624
303011631, 1274613945
305268930, 1274599830
308521115, 1274586126
310784238, 1274573223
313088628, 1274560200
315400944, 1274546573
317647246, 1274530772
320892582, 1274514492
323322158, 1274480349
325574315, 1274466903
327886872, 1274453504
330151035, 1274440103
333409359, 1274427826
335671761, 1274414984
337959596, 1274399233
340234974, 1274385457
343486016, 1274365028
345748972, 1274345726
347989855, 1274314200
350225730, 1273277800
353468150, 1273259363
355801044, 1273242770
357607959, 1273226149
360788690, 1273210500
363037391, 1273187762
365296440, 1273159818
367627701, 1273117727
370871955, 1273091931
373170116, 1273063485
375414886, 1273036736
377646759, 1273009291
380890308, 1272980984
383211215, 1272951135
385473137, 1272920945
388824668, 1272889574
391010207, 1272859519
393251549, 1272826982
395496672, 1272793540
397730592, 1272764651
401052473, 1272730685
403297146, 1272699406
405549303, 1272666546
407780162, 1272634348
410101467, 1272600342
413322456, 1272556248
415584951, 1272529875
417846158, 1272502628
420089335, 1272461682
423327119, 1272428752
