name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation5r_chained_0_50_4_9999999999, 5, 4, 50, 50.000000, 0.277776, 0.076998, 500, 500, 9999999999, 1
ablation5r_chained_1_1500_4_9999999999, 5, 4, 1500, 275.134688, 9.560685, 7.435149, 6411, 15000, 9999999999, 1
ablation5r_chained_2_1_4_9999999999, 5, 4, 1, 1.000000, 0.440341, 0.078512, 10, 10, 9999999999, 1
ablation5r_chained_3_1000_4_9999999999, 5, 4, 1000, 432.251408, 6.621953, 4.765443, 10000, 10000, 9999999999, 1
ablation5r_chained_4_400_4_9999999999, 5, 4, 400, 400.000000, 0.398328, 0.064806, 4000, 4000, 9999999999, 1
ablation5r_chained_5_4000_4_9999999999, 5, 4, 4000, 195.500000, 4.810717, 3.012321, 1955, 40000, 9999999999, 1
ablation5r_chained_6_2000_4_9999999999, 5, 4, 2000, 301.123000, 6.240357, 5.127434, 4662, 20000, 9999999999, 1
ablation5r_chained_7_2000_4_9999999999, 5, 4, 2000, 290.472251, 5.943361, 4.246331, 3723, 20000, 9999999999, 1
ablation5r_chained_8_1_4_9999999999, 5, 4, 1, 1.000000, 0.427436, 0.064948, 10, 10, 9999999999, 1
ablation5r_chained_9_10_4_9999999999, 5, 4, 10, 10.000000, 0.323984, 0.118712, 100, 100, 9999999999, 1
ablation5r_chained_10_600_4_9999999999, 5, 4, 600, 591.423929, 0.497699, 0.062025, 6000, 6000, 9999999999, 1
ablation5r_chained_11_200_4_9999999999, 5, 4, 200, 200.000000, 0.387058, 0.188745, 2000, 2000, 9999999999, 1
ablation5r_chained_12_100_4_9999999999, 5, 4, 100, 100.000000, 0.281128, 0.057049, 1000, 1000, 9999999999, 1
ablation5r_chained_13_100_4_9999999999, 5, 4, 100, 100.000000, 0.363124, 0.222114, 1000, 1000, 9999999999, 1
ablation5r_chained_14_1000_4_9999999999, 5, 4, 1000, 493.451452, 4.185072, 3.257705, 10000, 10000, 9999999999, 1
ablation5r_chained_15_100_4_9999999999, 5, 4, 100, 100.000000, 0.324375, 0.150068, 1000, 1000, 9999999999, 1
ablation5r_chained_16_800_4_9999999999, 5, 4, 800, 700.276052, 1.326369, 0.506891, 8000, 8000, 9999999999, 1
ablation5r_chained_17_600_4_9999999999, 5, 4, 600, 600.000000, 0.617537, 0.187687, 6000, 6000, 9999999999, 1
ablation5r_chained_18_200_4_9999999999, 5, 4, 200, 200.000000, 0.307874, 0.063214, 2000, 2000, 9999999999, 1
ablation5r_chained_19_10_4_9999999999, 5, 4, 10, 10.000000, 0.296400, 0.106658, 100, 100, 9999999999, 1
ablation5r_chained_20_4000_4_9999999999, 5, 4, 4000, 198.887477, 12.447536, 8.000123, 3649, 40000, 9999999999, 1
ablation5r_chained_21_2000_4_9999999999, 5, 4, 2000, 358.106019, 6.336247, 4.958244, 5365, 20000, 9999999999, 1
ablation5r_chained_22_1000_4_9999999999, 5, 4, 1000, 442.857401, 6.924035, 4.877020, 10000, 10000, 9999999999, 1
ablation5r_chained_23_800_4_9999999999, 5, 4, 800, 607.213257, 1.902657, 1.006624, 8000, 8000, 9999999999, 1
ablation5r_chained_24_200_4_9999999999, 5, 4, 200, 200.000000, 0.307744, 0.074029, 2000, 2000, 9999999999, 1
ablation5r_chained_25_600_4_9999999999, 5, 4, 600, 600.000000, 0.479728, 0.050012, 6000, 6000, 9999999999, 1
ablation5r_chained_26_50_4_9999999999, 5, 4, 50, 50.000000, 0.281179, 0.072930, 500, 500, 9999999999, 1
ablation5r_chained_27_400_4_9999999999, 5, 4, 400, 400.000000, 0.364035, 0.042205, 4000, 4000, 9999999999, 1
ablation5r_chained_28_10_4_9999999999, 5, 4, 10, 10.000000, 0.302742, 0.106897, 100, 100, 9999999999, 1
ablation5r_chained_29_4000_4_9999999999, 5, 4, 4000, 189.000000, 3.998587, 1.844539, 1890, 40000, 9999999999, 1
ablation5r_chained_30_400_4_9999999999, 5, 4, 400, 400.000000, 0.448517, 0.175994, 4000, 4000, 9999999999, 1
ablation5r_chained_31_1500_4_9999999999, 5, 4, 1500, 310.905861, 8.217772, 6.315999, 6259, 15000, 9999999999, 1
ablation5r_chained_32_800_4_9999999999, 5, 4, 800, 729.387674, 0.865110, 0.246556, 8000, 8000, 9999999999, 1
ablation5r_chained_33_1500_4_9999999999, 5, 4, 1500, 384.705525, 6.312809, 5.197733, 7242, 15000, 9999999999, 1
ablation5r_chained_34_1_4_9999999999, 5, 4, 1, 1.000000, 0.491606, 0.128410, 10, 10, 9999999999, 1
ablation5r_chained_35_50_4_9999999999, 5, 4, 50, 50.000000, 0.288549, 0.101446, 500, 500, 9999999999, 1
