sent, rec
1460, 623248112
100725960, 621160549
200349246, 935710293
300985236, 1065491748
400604535, 1065472478
500231134, 1065443072
600873779, 1065347372
700842270, 1187618503
800430238, 1187588721
901048950, 1187502223
1000754541, 1250988621
1101025205, 1436991620
1200804076, 1671533832
1300385268, 1767306053
1400914082, 1835472128
1500637338, 1940117010
1600217151, 1940032408
1700228980, 1985206708
1800957143, 2070156634
1900413180, 2203523776
2000835922, 2259611202
2100622059, 2410739937
2201088416, 2516186575
2300645371, 2561491661
2401121872, 2693334646
2500432741, 2755372723
2600310575, 2857600660
2701035289, 2975931726
2800741961, 3023222043
2900544901, 3133584335
3000926702, 3226986623
3101055263, 3338702028
3200788884, 3457737139
3300661496, 3574064221
3400402206, 3695865890
3500775637, 3746925223
3600632385, 3865594002
3700258301, 3962488433
3800115944, 4021165969
3900642001, 4182130591
4001104757, 4239352549
4101101985, 4346003322
4200915537, 4447624366
4300329365, 4542223485
4400797681, 4657756108
4500679725, 4786345298
4600378818, 4905547347
4700996051, 4996449925
4800464650, 5100512348
4901182500, 5168287476
5000618273, 5263459126
5100078174, 5350964194
5201070484, 5480852160
5300272459, 5603662656
5400873109, 5660471514
5501137001, 5766124678
5601101249, 5878572256
5701094954, 5947005199
5800855140, 6041788023
5900100739, 6155350200
6000520302, 6286396587
6100895083, 6408351038
6200517645, 6461778278
6300450344, 6578319307
6401141049, 6621431341
6500902643, 6698830133
6600735935, 6841731743
6701020485, 6960728384
6800852093, 7056915110
6900397900, 7176036563
7000609050, 7243808767
7100175995, 7353310328
7200606943, 7436270318
7300901341, 7541482391
7400392530, 7657129198
7500621292, 7764485223
7600232003, 7861021994
7700124926, 7961788061
7800939210, 8010858428
7900298430, 8097389190
8000845188, 8201753341
8100580123, 8379237388
8200666338, 8435330260
8300530729, 8542916971
8400240907, 8674272783
8500894513, 8800002275
8600179206, 8860743596
8701081024, 8965771976
8800061781, 9020166130
8900215586, 9120245526
9000739730, 9226623473
9100410793, 9337343579
9200674944, 9436490744
9300803927, 9536476625
9401152287, 9629425140
9500874810, 9740094973
9601028987, 9894383030
9700912715, 9991229975
9800574343, 10046303339
9900411946, 10146513859
