name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation6_nocrypto_0_100_4_9999999999, 6, 4, 100, 98.232798, 0.462326, 0.138845, 1000, 1000, 9999999999, 1
ablation6_nocrypto_1_800_4_9999999999, 6, 4, 800, 391.934501, 4.620678, 3.447783, 8000, 8000, 9999999999, 1
ablation6_nocrypto_2_10_4_9999999999, 6, 4, 10, 10.000000, 0.275347, 0.091143, 100, 100, 9999999999, 1
ablation6_nocrypto_3_2000_4_9999999999, 6, 4, 2000, 282.197847, 9.434746, 5.523504, 4946, 20000, 9999999999, 1
ablation6_nocrypto_4_10_4_9999999999, 6, 4, 10, 10.000000, 0.260307, 0.046199, 100, 100, 9999999999, 1
ablation6_nocrypto_5_200_4_9999999999, 6, 4, 200, 187.004088, 0.618008, 0.191524, 2000, 2000, 9999999999, 1
ablation6_nocrypto_6_50_4_9999999999, 6, 4, 50, 49.544063, 0.338705, 0.084040, 500, 500, 9999999999, 1
ablation6_nocrypto_7_2000_4_9999999999, 6, 4, 2000, 259.779051, 8.021993, 6.089990, 4737, 20000, 9999999999, 1
ablation6_nocrypto_8_1000_4_9999999999, 6, 4, 1000, 359.519387, 5.912418, 5.241592, 8110, 10000, 9999999999, 1
ablation6_nocrypto_9_1500_4_9999999999, 6, 4, 1500, 275.161795, 8.983891, 6.956909, 6084, 15000, 9999999999, 1
ablation6_nocrypto_10_200_4_9999999999, 6, 4, 200, 189.921333, 0.559041, 0.207663, 2000, 2000, 9999999999, 1
ablation6_nocrypto_11_1000_4_9999999999, 6, 4, 1000, 390.689760, 6.371204, 4.836614, 8561, 10000, 9999999999, 1
ablation6_nocrypto_12_100_4_9999999999, 6, 4, 100, 98.520372, 0.422602, 0.122863, 1000, 1000, 9999999999, 1
ablation6_nocrypto_13_400_4_9999999999, 6, 4, 400, 334.955535, 1.073813, 0.506368, 4000, 4000, 9999999999, 1
ablation6_nocrypto_14_600_4_9999999999, 6, 4, 600, 420.906417, 1.813897, 1.233379, 6000, 6000, 9999999999, 1
ablation6_nocrypto_15_800_4_9999999999, 6, 4, 800, 392.027892, 4.476601, 3.291495, 8000, 8000, 9999999999, 1
ablation6_nocrypto_16_100_4_9999999999, 6, 4, 100, 98.714792, 0.379468, 0.099436, 1000, 1000, 9999999999, 1
ablation6_nocrypto_17_1500_4_9999999999, 6, 4, 1500, 322.680809, 6.394089, 5.333857, 6012, 15000, 9999999999, 1
ablation6_nocrypto_18_800_4_9999999999, 6, 4, 800, 373.757028, 4.688944, 3.811109, 8000, 8000, 9999999999, 1
ablation6_nocrypto_19_200_4_9999999999, 6, 4, 200, 186.677543, 0.623633, 0.202211, 2000, 2000, 9999999999, 1
ablation6_nocrypto_20_4000_4_9999999999, 6, 4, 4000, 186.430276, 9.450883, 7.370435, 3389, 40000, 9999999999, 1
ablation6_nocrypto_21_4000_4_9999999999, 6, 4, 4000, 170.043103, 7.566585, 5.253784, 2173, 40000, 9999999999, 1
ablation6_nocrypto_22_10_4_9999999999, 6, 4, 10, 10.000000, 0.252688, 0.065343, 100, 100, 9999999999, 1
ablation6_nocrypto_23_2000_4_9999999999, 6, 4, 2000, 250.229222, 10.068946, 8.138197, 5295, 20000, 9999999999, 1
ablation6_nocrypto_24_1_4_9999999999, 6, 4, 1, 1.000000, 0.385162, 0.083547, 10, 10, 9999999999, 1
ablation6_nocrypto_25_4000_4_9999999999, 6, 4, 4000, 170.327466, 7.430186, 4.207901, 1710, 40000, 9999999999, 1
ablation6_nocrypto_26_50_4_9999999999, 6, 4, 50, 48.146992, 0.313912, 0.082730, 500, 500, 9999999999, 1
ablation6_nocrypto_27_1_4_9999999999, 6, 4, 1, 1.000000, 0.432361, 0.098313, 10, 10, 9999999999, 1
ablation6_nocrypto_28_1500_4_9999999999, 6, 4, 1500, 337.544565, 5.506752, 5.086743, 6278, 15000, 9999999999, 1
ablation6_nocrypto_29_600_4_9999999999, 6, 4, 600, 411.799475, 2.224510, 1.330453, 6000, 6000, 9999999999, 1
ablation6_nocrypto_30_600_4_9999999999, 6, 4, 600, 453.198083, 1.783562, 1.113357, 6000, 6000, 9999999999, 1
ablation6_nocrypto_31_400_4_9999999999, 6, 4, 400, 344.358511, 1.099711, 0.430670, 4000, 4000, 9999999999, 1
ablation6_nocrypto_32_1_4_9999999999, 6, 4, 1, 1.000000, 0.410550, 0.047306, 10, 10, 9999999999, 1
ablation6_nocrypto_33_50_4_9999999999, 6, 4, 50, 50.000000, 0.373124, 0.152960, 500, 500, 9999999999, 1
ablation6_nocrypto_34_1000_4_9999999999, 6, 4, 1000, 413.139120, 5.714369, 4.408597, 7713, 10000, 9999999999, 1
ablation6_nocrypto_35_400_4_9999999999, 6, 4, 400, 332.784827, 1.286412, 0.421327, 4000, 4000, 9999999999, 1
