sent, rec
1542, 471217073
5449101, 471200081
10954020, 471182825
15447141, 471164784
20916472, 471146485
25365187, 471129317
30859544, 471112637
35383131, 471093880
40863165, 471075170
45263893, 471056358
50765037, 471038726
55299019, 471019430
60791395, 471001834
65265375, 470980277
70769918, 470957259
75275864, 470920365
80728383, 470880447
86126891, 540999650
90539962, 540980559
95944499, 540962202
100346737, 540944025
105738180, 540925709
111141302, 540907664
115537896, 540889229
120899251, 540865110
125231280, 540846406
130666627, 540828111
136067008, 540802135
140431971, 540783339
145818275, 540760535
150205781, 540739772
155591235, 540671128
160975894, 540649482
165335591, 540604775
170702184, 540586426
176081976, 540567113
180429463, 540549305
185802451, 540530711
190171750, 540511622
195540456, 540493610
200902035, 540474938
205228435, 540455862
210602519, 540435512
215957958, 540415641
220317036, 540394100
225680956, 540366520
231030643, 540341667
236117841, 540307531
240417888, 540287653
245745031, 540269921
251095726, 540249018
255434553, 540229202
260774465, 540210389
266134978, 540189769
270473032, 540169413
275806222, 540147299
280149186, 540127168
285512750, 540101268
291057351, 540070008
295420329, 540030937
300745224, 539955293
306117657, 539908304
310538625, 539234348
315940850, 539212687
320303954, 539192429
325738391, 539167373
330330522, 539112940
335698508, 601115499
340148684, 601099317
345530415, 601083080
350955497, 601064101
355332435, 601045315
360739925, 601026408
366136274, 601005627
370591956, 600971980
375972883, 600927121
380361440, 644985852
385784682, 644968674
390209242, 644949477
395614948, 644931974
401005820, 644914473
405371808, 644895727
410799554, 644874623
415188946, 644854566
420531986, 644815855
425655707, 644764531
430998447, 820183608
435416963, 820165053
440808258, 820147560
445166818, 820128748
450576085, 820110299
455952644, 820090470
460411821, 820071445
465809338, 820052858
470180445, 820032548
475370316, 820006657
480732694, 819932147
485496199, 872620437
490907965, 872601311
495273765, 872584476
500617499, 872566482
505997017, 872550348
510389671, 872533581
515821040, 872516172
520207808, 872498297
525600815, 872480962
530971147, 872462637
535339351, 872440593
541024461, 872420114
545267983, 872399945
551680243, 872377097
555996869, 872338161
560364971, 872277298
567883560, 948567822
570169594, 948530276
575501654, 1001796030
580834102, 1001777461
585171166, 1001756863
590553753, 1001736118
595936699, 1000649010
600338711, 1000630014
605216792, 1000611340
610528710, 1000592973
615875163, 1000572849
620440485, 1000552796
626046266, 1000534471
630436492, 1000514334
635799191, 1000494553
640171271, 1000473986
645016187, 1000454657
650330689, 1000435460
655705219, 1000415758
660251791, 1000392858
665202915, 1000371431
670539286, 1000346293
675895883, 1000308801
680258041, 1000286184
685659520, 1000263794
691073755, 1000241255
695440647, 1000215340
700767576, 1000160914
705088431, 1000109486
710484309, 1049850247
715860449, 1049831654
720227912, 1049813307
725595117, 1049796194
731034654, 1049779096
735447640, 1049760977
740780917, 1049743707
746107280, 1049726113
750443049, 1049709400
756213277, 1049692383
760519229, 1049675148
765423573, 1049657684
770791158, 1049640161
775151034, 1049623514
780488981, 1049605752
785837425, 1049586013
790236230, 1049567843
795627000, 1049548288
800984704, 1049528138
805253236, 1049507385
810558752, 1049486536
815890080, 1049458475
820220782, 1049397678
825126658, 1115440077
830435594, 1115421977
835744711, 1115403061
841023751, 1115385255
845563403, 1115364319
850200000, 1115347538
855536915, 1115328937
