name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
ablation6r_nocrypto_0_1000_4_9999999999, 6, 4, 1000, 435.848672, 5.255618, 3.930784, 10000, 10000, 9999999999, 1
ablation6r_nocrypto_1_10_4_9999999999, 6, 4, 10, 10.000000, 0.248544, 0.141648, 100, 100, 9999999999, 1
ablation6r_nocrypto_2_600_4_9999999999, 6, 4, 600, 597.463582, 0.408311, 0.047018, 6000, 6000, 9999999999, 1
ablation6r_nocrypto_3_100_4_9999999999, 6, 4, 100, 100.000000, 0.237733, 0.085957, 1000, 1000, 9999999999, 1
ablation6r_nocrypto_4_600_4_9999999999, 6, 4, 600, 600.000000, 0.434551, 0.099839, 6000, 6000, 9999999999, 1
ablation6r_nocrypto_5_4000_4_9999999999, 6, 4, 4000, 151.700000, 5.506155, 3.516889, 1517, 40000, 9999999999, 1
ablation6r_nocrypto_6_4000_4_9999999999, 6, 4, 4000, 238.900000, 6.464888, 2.760347, 2389, 40000, 9999999999, 1
ablation6r_nocrypto_7_2000_4_9999999999, 6, 4, 2000, 267.092167, 7.694303, 7.105124, 5546, 20000, 9999999999, 1
ablation6r_nocrypto_8_1_4_9999999999, 6, 4, 1, 1.000000, 0.415107, 0.144958, 10, 10, 9999999999, 1
ablation6r_nocrypto_9_10_4_9999999999, 6, 4, 10, 10.000000, 0.232880, 0.108404, 100, 100, 9999999999, 1
ablation6r_nocrypto_10_400_4_9999999999, 6, 4, 400, 393.996185, 0.358742, 0.155704, 4000, 4000, 9999999999, 1
ablation6r_nocrypto_11_800_4_9999999999, 6, 4, 800, 670.968336, 1.284947, 0.500228, 8000, 8000, 9999999999, 1
ablation6r_nocrypto_12_100_4_9999999999, 6, 4, 100, 100.000000, 0.267277, 0.165023, 1000, 1000, 9999999999, 1
ablation6r_nocrypto_13_50_4_9999999999, 6, 4, 50, 50.000000, 0.232559, 0.112002, 500, 500, 9999999999, 1
ablation6r_nocrypto_14_2000_4_9999999999, 6, 4, 2000, 325.814353, 5.890841, 3.931227, 4135, 20000, 9999999999, 1
ablation6r_nocrypto_15_1500_4_9999999999, 6, 4, 1500, 341.505998, 6.926112, 4.864330, 5841, 15000, 9999999999, 1
ablation6r_nocrypto_16_800_4_9999999999, 6, 4, 800, 767.938648, 0.610636, 0.088195, 8000, 8000, 9999999999, 1
ablation6r_nocrypto_17_600_4_9999999999, 6, 4, 600, 592.710512, 0.537736, 0.213897, 6000, 6000, 9999999999, 1
ablation6r_nocrypto_18_2000_4_9999999999, 6, 4, 2000, 301.722089, 6.694446, 5.698798, 4999, 20000, 9999999999, 1
ablation6r_nocrypto_19_100_4_9999999999, 6, 4, 100, 100.000000, 0.308998, 0.238703, 1000, 1000, 9999999999, 1
ablation6r_nocrypto_20_10_4_9999999999, 6, 4, 10, 10.000000, 0.248891, 0.127459, 100, 100, 9999999999, 1
ablation6r_nocrypto_21_400_4_9999999999, 6, 4, 400, 400.000000, 0.360191, 0.168822, 4000, 4000, 9999999999, 1
ablation6r_nocrypto_22_50_4_9999999999, 6, 4, 50, 50.000000, 0.243926, 0.133662, 500, 500, 9999999999, 1
ablation6r_nocrypto_23_200_4_9999999999, 6, 4, 200, 200.000000, 0.252226, 0.082887, 2000, 2000, 9999999999, 1
ablation6r_nocrypto_24_400_4_9999999999, 6, 4, 400, 400.000000, 0.315796, 0.091846, 4000, 4000, 9999999999, 1
ablation6r_nocrypto_25_800_4_9999999999, 6, 4, 800, 620.996400, 1.763667, 0.939931, 8000, 8000, 9999999999, 1
ablation6r_nocrypto_26_1000_4_9999999999, 6, 4, 1000, 558.764248, 3.376732, 2.816554, 10000, 10000, 9999999999, 1
ablation6r_nocrypto_27_1000_4_9999999999, 6, 4, 1000, 446.755048, 6.203581, 4.187948, 8893, 10000, 9999999999, 1
ablation6r_nocrypto_28_1500_4_9999999999, 6, 4, 1500, 377.502124, 6.225601, 5.064085, 6601, 15000, 9999999999, 1
ablation6r_nocrypto_29_1_4_9999999999, 6, 4, 1, 1.000000, 0.389242, 0.155009, 10, 10, 9999999999, 1
ablation6r_nocrypto_30_1500_4_9999999999, 6, 4, 1500, 435.056975, 4.333860, 3.409035, 5954, 15000, 9999999999, 1
ablation6r_nocrypto_31_50_4_9999999999, 6, 4, 50, 50.000000, 0.238751, 0.095980, 500, 500, 9999999999, 1
ablation6r_nocrypto_32_4000_4_9999999999, 6, 4, 4000, 168.600000, 6.532141, 1.665889, 1686, 40000, 9999999999, 1
ablation6r_nocrypto_33_1_4_9999999999, 6, 4, 1, 1.000000, 0.427162, 0.162191, 10, 10, 9999999999, 1
ablation6r_nocrypto_34_200_4_9999999999, 6, 4, 200, 200.000000, 0.302683, 0.193310, 2000, 2000, 9999999999, 1
ablation6r_nocrypto_35_200_4_9999999999, 6, 4, 200, 200.000000, 0.257586, 0.066347, 2000, 2000, 9999999999, 1
