sent, rec
1506, 461338269
20468764, 818592194
41050360, 818574096
60584340, 818556967
80162588, 818537920
100703684, 818515405
120288381, 818491812
140832687, 818450068
160439813, 873702175
180999707, 873675556
200600839, 873596698
220176206, 1008191474
240784300, 1008174450
260362681, 1008152667
280956837, 1008133173
300529974, 1008101599
321077039, 1008083766
340571883, 1008066518
360235437, 1008050454
380641395, 1008033435
401109628, 1008015414
420548124, 1007996095
441005020, 1007975580
460472776, 1007954936
480517980, 1007933443
500965036, 1007731121
520506879, 1007704217
541030447, 1007684627
560515876, 1007667094
580559422, 1007648728
601035688, 1007629271
620500113, 1007607871
641006463, 1007586450
660517036, 1007564237
681018115, 1007537085
700498061, 1007510095
720981110, 1007473024
740475849, 1007386898
760879976, 1045198600
780339984, 1045142164
800778999, 1121910480
820781486, 1121891098
840335353, 1121866969
860256212, 1121821056
880910773, 1167854436
900440363, 1167835471
920872838, 1167799109
940289581, 1167748622
960753652, 1231582893
980243864, 1231555700
1000737322, 1231492151
1020342166, 1277734545
1040606157, 1277709848
1060505730, 1277644938
1080320010, 1311329129
1100563770, 1311292776
1121050316, 1311240568
1140842059, 1375588787
1161032008, 1375544290
1180263682, 1420836167
1200195016, 1420810898
1220651566, 1420784648
1240322984, 1454253768
1260377246, 1454170613
1280449883, 1493788485
1300344742, 1493736335
1320195882, 1493681888
1340439540, 1530316456
1360425647, 1530238800
1380152376, 1574573337
1400519827, 1574546396
1420299374, 1574484370
1440611028, 1616727012
1460216514, 1658503332
1480242088, 1658463879
1500685034, 1736680238
1520216023, 1736613104
1540331979, 1790615524
1560594156, 1790552195
1580066100, 1839378685
1601120042, 1839352665
1620836531, 1839285879
1641008419, 1881785046
1660783211, 1924196618
1680427077, 1924174075
1700919483, 1924148171
1720389225, 1924097850
1740846884, 1924047552
1760779258, 1952925905
1780934084, 1952869212
1800416173, 2010464930
1821069889, 2010428901
1840479140, 2010380058
1860278431, 2054358234
1880703725, 2054302228
1900902603, 2084985940
1921093545, 2119974325
1940265865, 2119939474
1961102586, 2179371704
1980186854, 2256521343
2000279978, 2256455339
2021119155, 2294718643
2040519799, 2294690564
2060528811, 2294627002
2080438942, 2344212369
2100839837, 2344142498
2121067697, 2389835066
2140585668, 2389815565
2160243198, 2389788672
2180479419, 2389727539
2200268064, 2425747595
2220654116, 2425721631
2241079433, 2425662500
2260691730, 2472996836
2281010277, 2507969905
2300376686, 2507948351
2320599969, 2507914865
2341023157, 2507867418
2360866867, 2576610974
2380265245, 2576545894
2400169535, 2608134840
2420529725, 2608107029
2440139754, 2608048624
2460603228, 2656324630
2480178533, 2709414768
2500185280, 2709383622
2520197162, 2709322041
2540590632, 2739762279
2560983751, 2739702600
2580783903, 2786970996
2600298540, 2786929201
2621041422, 2820594321
2640887974, 2820571163
2660500043, 2820541671
2680279558, 2855250080
2700661896, 2855187947
2720326391, 2921087682
2740862627, 2921035416
2760306055, 2987368574
2780497768, 3025211204
2800883205, 3025149999
2820175633, 3057669439
2840843291, 3057627533
2860162790, 3116987985
2881073519, 3116964737
2900256259, 3116934949
2920633053, 3116871900
2940801123, 3150674086
2960942100, 3150637250
2980301210, 3150584369
3000786414, 3237201029
3021136217, 3237172958
3040486207, 3237104847
3060837575, 3290344368
3080216274, 3290315226
3100896201, 3290254561
3120021024, 3322628659
3140891542, 3362971417
3160466633, 3362934231
3180770696, 3362897580
3201141546, 3362828820
3220570495, 3401773893
3240373844, 3451344339
3260442225, 3451317711
3280199616, 3451250499
3300972549, 3503619653
3320601232, 3503564897
3340962495, 3536557810
3361044300, 3536495851
3380785218, 3624304452
3401115454, 3624245824
3420226940, 3657638586
3440584901, 3657615885
3460604901, 3657586767
3480247563, 3657528215
3500614410, 3695773266
3520313476, 3695700008
3540195865, 3766621215
3561089158, 3766602042
3580512328, 3766582585
3600895299, 3766556410
3620349496, 3766496204
3640657025, 3797558543
3660813132, 3858162847
3680826713, 3858100504
3700950945, 3891023427
