sent, rec
1915, 693766057
1357029, 693749188
2611756, 693731161
2797877, 693713096
4030449, 693691981
4204165, 693670202
5443143, 693642103
6689714, 692902910
8910460, 692882687
9124442, 692861641
9296758, 692838916
9461085, 692817494
10707827, 692798661
10882124, 692778645
12118462, 692757830
13351976, 692736191
13515249, 692708604
14706658, 692689168
15877746, 692666269
15975088, 692644230
17135209, 692610102
18298983, 692586324
18401522, 692564845
19595889, 692542065
20758500, 692515871
20865871, 692495782
22024431, 692471723
23191484, 692446531
24353794, 692423316
24462653, 692399801
25617593, 692378845
26782381, 692355033
26875036, 692331802
28073377, 692305986
29292012, 692284374
29424293, 692260740
30589415, 692239269
31753568, 692215715
31877523, 692192079
33035101, 692168993
34206954, 692147159
34303247, 692119491
35463245, 692095145
36638507, 692066349
36753110, 692046540
37920462, 692024438
39096238, 692004369
39196021, 691983221
40358659, 691961355
42208592, 691938762
42312420, 691916084
43481382, 691894453
43617775, 691874841
44776877, 691855989
45940399, 691836660
46191181, 691814435
47358380, 691794528
48541056, 691773567
48647605, 691747266
49812222, 691727931
51000849, 691704233
51118868, 691684244
52285304, 691658791
53452009, 691638963
53556345, 691615836
54782371, 691593800
55948810, 691573761
56048859, 691547763
57206025, 691527544
57521488, 691506231
58686220, 691483062
59899180, 691461449
60004338, 691436541
61160569, 691414352
62331138, 691391122
63495064, 691369520
63596089, 691337915
64753002, 691314186
65984108, 691292251
66087112, 691270196
67246852, 691243695
68456678, 691222179
68552433, 691198847
69718723, 691175247
70881775, 691149023
70980527, 691126825
72174330, 691105101
73348630, 691080231
73448433, 691057063
75241424, 691023211
75340169, 691003078
76503825, 690984209
77668637, 690965112
77765667, 690940089
78925942, 690921040
80155339, 690898505
80306898, 690878607
81474034, 690857776
82643127, 690832850
82769076, 690811041
83931156, 690788005
85096988, 690761755
85197665, 690740578
86358528, 690719318
87526279, 690696149
87647130, 690675954
88806484, 690654517
89976638, 690633094
90071600, 690608744
91106839, 690584271
92280236, 690560330
93449062, 690537626
93548797, 690517070
94735316, 690492570
95951217, 690472356
96052025, 690451122
97230059, 690430291
98395201, 690407583
98492501, 690381909
99655140, 690359024
100818597, 690339263
100925287, 690315235
102119683, 690293403
103289143, 690273192
103390674, 690250440
104550564, 690227875
105745676, 690203803
105842602, 690089788
107003354, 690068431
108365320, 690044270
108492827, 690022016
109659872, 689998739
110827685, 689975075
110924205, 689953218
112081320, 689930457
113244263, 689903877
113339160, 689866831
114506752, 689846752
115667103, 689826651
116862018, 689806289
116958000, 689780293
118116932, 689761387
119319709, 689742516
119415824, 689721320
120585773, 689701293
121824155, 689682518
121952395, 689662350
123111858, 689640510
124276478, 689615634
126044453, 689577648
126144005, 688213437
126235251, 688194086
127397647, 688172747
127504238, 688151649
128637393, 688133104
129807937, 688111852
130996191, 688093217
131102045, 688072601
132258703, 688051247
138431609, 688027299
138578573, 687988400
138672410, 687947919
138767347, 687900459
138859061, 687857422
138950713, 687836657
139040061, 687815354
139165175, 687794816
139254175, 687774527
140439467, 687753796
141605055, 687732325
141735651, 687708928
142917283, 687675516
144072445, 687636196
144168581, 687595762
145333508, 687551798
146500236, 687519650
147652428, 687480314
147743222, 687441592
148890659, 687402192
150047340, 687358905
150135382, 687314631
151289233, 687272327
152443713, 687194617
152591695, 687167567
153762026, 687129674
154927864, 687091957
155026600, 687051087
156184156, 687002913
157392924, 1083998544
157504753, 1083990406
159241321, 1083982523
159357167, 1083973659
160525910, 1083964741
161710901, 1083954882
161804025, 1083946285
162962047, 1083937580
164121991, 1083927876
164218862, 1083918378
165374380, 1083909430
166540194, 1083900651
167702030, 1083892939
167804438, 1083882027
168959887, 1083873830
170126909, 1083863770
170223300, 1083854515
171412951, 1083844170
172600204, 1083834591
172728615, 1083824983
173893984, 1083814843
175064120, 1083803604
175177384, 1083792490
176338378, 1083780313
177506144, 1083767024
177605104, 1083756498
178765668, 1083740354
179927722, 1083164815
180028182, 1083150488
181193744, 1083125347
182364200, 1083111320
183530372, 1083096440
183624450, 1083082018
184783553, 1083069250
186002163, 1083055552
186108105, 1083041195
187311622, 1083023271
187704605, 1083000125
188867338, 1082991987
190037175, 1082982896
190155264, 1082970555
191314257, 1082961025
193087004, 1082951579
193188322, 1082942384
194349239, 1082934251
194446219, 1082923498
195601404, 1082914203
196763785, 1082904963
196860318, 1082896037
198022395, 1082886884
199195672, 1082877368
199339977, 1082867451
200516551, 1082857772
201693239, 1082847515
201788102, 1082834562
202950492, 1082825502
204117983, 1082814935
204213731, 1082801321
205384057, 1082789709
206554708, 1082777948
207721449, 1082766368
207816762, 1082753072
208861260, 1082740265
210016308, 1082725460
210112989, 1082710727
211247044, 1082696336
212384417, 1082681783
213519887, 1082665721
213610010, 1082651659
214998562, 1082634905
215136828, 1082622326
216279420, 1082609635
217417949, 1082597005
218554234, 1082580122
218622259, 1082555608
219751189, 1082542371
220905261, 1082525512
221003864, 1082509638
222164935, 1082495791
223335512, 1082476517
223430449, 1082446620
224591561, 1082430154
226025562, 1082411635
226095540, 1082385028
227233647, 1082375102
228368561, 1082361400
228462298, 1082346174
229595287, 1082328686
230760675, 1082310390
230833592, 1082292987
231962945, 1082276533
233094873, 1082258295
234231013, 1082241434
234303146, 1082223881
235434564, 1082204025
236572407, 1082184177
237719086, 1082160134
237798505, 1082143045
238957696, 1082124156
240096288, 1082102645
240164083, 1082077955
241294864, 1082062554
242283183, 1082043401
243469216, 1082022774
243541809, 1082005683
244698480, 1081988008
245837141, 1081968594
245902999, 1081943256
247032840, 1081899876
248164613, 1081881300
249297958, 1081861049
249365660, 1081837744
250494261, 1662557267
251626583, 1662538264
251696024, 1662503448
252823465, 1662484567
253994154, 1662465234
255143649, 1662446235
255214016, 1662427687
256343688, 1662409011
257478022, 1662390466
257563315, 1662372837
258697277, 1662353821
259831568, 1662334242
260967804, 1662315968
261036174, 1662297270
262165704, 1662278554
263303321, 1662258403
263370358, 1662239287
264502585, 1662218976
265680351, 1662200396
266818052, 1662181894
266884763, 1662162577
268014212, 1662143182
269188328, 1662123712
269270788, 1662104003
270405095, 1662082625
271540830, 1662063538
272696795, 1662044925
272767059, 1662024829
273897080, 1662003267
275031924, 1661983288
275099231, 1661959381
276344700, 1661936144
277511774, 1661915849
277599005, 1661895231
278731825, 1661874240
279866244, 1661853901
280028833, 1661831520
281183404, 1661810925
282367712, 1661790936
283550132, 1661770145
283666780, 1661748712
293701073, 1661728214
293790373, 1661706144
293866291, 1661684968
293945498, 1661663133
294025763, 1661640156
294099659, 1661618529
294175688, 1661596934
294248040, 1661574937
294324195, 1661533856
294413157, 1661515978
294503338, 1661497401
294582683, 1661480304
294657760, 1661460275
295808639, 1661438706
295890628, 1661418158
297028714, 1661399340
298192776, 1661375243
299337783, 1659587363
299438241, 1659568346
300591222, 1659547902
301741461, 1659527997
301819701, 1659506719
302957679, 1659485624
304123598, 1659467301
304218343, 1659445986
305382934, 1659427040
306546962, 1659407374
306685378, 1659388559
307843022, 1659367247
309010082, 1659346244
310735892, 1659324304
310862059, 1659304238
310967771, 1659282034
312135263, 1659262661
313301977, 1659242570
313422558, 1659222328
314604741, 1659201070
315834492, 1659179623
315929921, 1659159253
317088718, 1659138021
318252542, 1659116565
318353038, 1659094667
319511742, 1659074538
320635314, 1659052592
321808858, 1659028779
321907548, 1659007667
323067608, 1658986141
324226651, 1658965254
324324871, 1658940774
325482324, 1658918549
326683429, 1658895541
326779202, 1658872877
327986131, 1658848400
329169431, 1658824057
329286121, 1658780588
330450709, 1658761983
331616377, 1658744476
331712449, 1658726642
332884992, 1658707626
334047765, 1658690193
335219701, 1658672921
335360623, 1658654184
336521443, 1658635459
337695921, 1658617995
337791668, 1658599045
338954220, 1658580767
340117787, 1658563382
340237281, 1658544726
341404592, 1658524781
342578016, 1658507076
342694297, 1658486696
344464237, 1658467246
344562747, 1658447732
345737072, 1658427699
345835432, 1658409996
346991372, 1658389318
348155360, 1658370509
349322097, 1658351232
349424243, 1658330315
350614837, 1658311033
351777200, 1658287816
351873624, 1658269622
353031011, 1658249422
354200369, 1658228581
354295061, 1658207228
