sent, rec
1493, 415346406
10455756, 415325410
20972238, 415289177
30463321, 732540115
40950753, 732521569
50445009, 732503435
60924430, 732485927
70400150, 732467491
80936547, 732447434
90409410, 732425450
100909708, 732408410
110430163, 732390245
120910359, 732372290
130393719, 732353040
140897955, 732334972
150411586, 732314893
160929512, 732295291
170396068, 732274312
180820997, 732253226
190287906, 732233443
200663697, 732212378
211062527, 732193764
220481202, 732174573
230909108, 732153772
240289760, 732129422
250712376, 732100652
261114637, 732075937
270559403, 732037930
280988182, 732005061
290373888, 731963490
300808948, 713404518
310194034, 713383398
320592340, 713364454
331066415, 713346167
340490066, 713326100
350864163, 713307474
360329358, 713290405
370732564, 713272946
380148905, 713250600
390494726, 713221831
400893237, 713204510
410443504, 713186450
420512558, 713165994
430912794, 713147789
440295799, 713122437
450683572, 713087166
461047109, 960651427
470184599, 960620916
480621773, 960591593
491030596, 960563373
500390197, 960534991
510803866, 960508168
520210589, 960477683
530636556, 960444640
541055583, 960415248
550463113, 960383069
560845869, 960352805
570297265, 960317384
580839335, 960285841
590270180, 960249044
600723189, 960217347
611155487, 960180507
620538174, 960150341
630952421, 960117753
640416307, 960049501
650861766, 960030219
660268444, 960008822
670886220, 959989669
680345703, 959968272
690774194, 959943662
700189221, 959908977
710616010, 959865475
720571514, 959807693
730923058, 1206885355
740203835, 1206860357
750573702, 1206832786
760938927, 1206804670
770352178, 1206779734
780798716, 1206752076
790275839, 1206718052
800652925, 1206691287
811122916, 1206665458
820574269, 1206637956
830956941, 1206610224
840401668, 1206580832
850835544, 1206548216
860296323, 1206454838
870710695, 1206404846
881150323, 1206342264
890588695, 1206290023
900989698, 1206196917
910428784, 1206150962
920857021, 1206105647
930296035, 1206057657
940831452, 1206032361
950274021, 1206011069
961473484, 1205987081
970823945, 1205951790
980231860, 1469720409
990681222, 1469693457
1001052866, 1469669171
1010499800, 1469646851
1020913855, 1469617626
1030338982, 1469589406
1040755041, 1469559376
1050168818, 1469532467
1060570629, 1469504482
1071036240, 1469476425
1080481300, 1469437604
1090901283, 1469408025
1100392971, 1469381666
1110845670, 1469355126
1120291795, 1469327847
1130708961, 1469295406
1140169477, 1469262461
1150621882, 1469230681
1160532709, 1469200766
1170965115, 1469165203
1180388729, 1469118097
1190794085, 1469057923
1200251503, 1468996232
1213416725, 1468936281
1220741861, 1468831800
1231123927, 1754124638
1240590546, 1752762040
1251011796, 1752744776
1260449610, 1752724827
1270860862, 1752706626
1280320372, 1752687209
1290707947, 1752666995
1301146828, 1752648821
1310574804, 1752630600
1321057728, 1752611378
1330814256, 1752589810
1340234140, 1752569100
1350660285, 1752527353
1361052536, 1752508296
1370512299, 1752489202
1380925725, 1752466620
1390392713, 1752433848
1400790246, 1752394219
1410489994, 1752353710
1420877250, 1752311767
1430329282, 1752271861
1440754472, 1752231855
1450172187, 1752191195
1460589269, 1752132384
1472695672, 1752080812
1481022804, 2061717580
1490433114, 2061694431
1500849854, 2061672148
1510271979, 2061649797
1520623025, 2061625334
1531055659, 2061604380
1540500795, 2061578107
1550924012, 2061556855
1560381171, 2061533795
1570780496, 2061511969
1580211880, 2061490377
1590610241, 2061468182
1601042983, 2061445573
1610491087, 2061424206
1620913199, 2061400035
1630339221, 2061377259
1640742646, 2061352589
1651157828, 2061328542
1660542331, 2061306332
1670936505, 2061282493
1680354721, 2061259876
1690742243, 2061236366
1701113821, 2061212646
1710530161, 2061186033
1720928821, 2061156264
1730302793, 2061112030
1740650262, 2061061896
1751163013, 2061008999
1760509912, 2060943676
1770810460, 2393700662
1780917035, 2393681328
1790284160, 2393662051
1800662738, 2393642974
1811047898, 2393623741
1820450602, 2393601149
1830795992, 2393574041
1840197031, 2393552577
1850538820, 2393527000
1860940799, 2393500585
1870284807, 2393475151
1880683568, 2393448040
1891073467, 2393402413
1900465342, 2393378143
1910850476, 2393352210
1920236277, 2393322027
1930639595, 2393295821
1940989122, 2393268394
1950383170, 2393241668
1960799387, 2393208853
1970155439, 2393182935
1980553658, 2393153969
1990960511, 2393125215
2000332459, 2393096880
2010737735, 2393065683
2021126768, 2393031194
2030510565, 2392995361
2040920804, 2392947124
2050290879, 2392519426
2060596833, 2392463256
2070286977, 2723654220
2080674787, 2723637510
2091048566, 2723620379
2100396345, 2723602406
2110776189, 2723584168
2120148710, 2723565328
2130523732, 2723545747
2140372552, 2723526369
2150665599, 2723507611
2161037572, 2723489310
2170385447, 2723466711
2180796586, 2723445939
2190197588, 2723423114
2200614270, 2723399997
2211023041, 2723378278
2220471050, 2723357437
2230904143, 2723336221
2240334753, 2723315035
2250752983, 2723292389
2260184784, 2723267033
2270681744, 2723229860
2281064900, 2723188012
2290505772, 2723116835
2300956956, 2723071536
2310361676, 2723026558
2320810571, 2722977230
2330207434, 2722954505
2340214044, 2722933776
2350588331, 2722913938
2361011124, 2722888578
2370462226, 2722860451
2380883651, 2722817520
2390338454, 2722767379
2400337756, 2722694658
2410930559, 2722650556
2420348577, 3035774001
2430752174, 3035751808
2441144295, 3035731132
2450572273, 3035707724
2461014195, 3035688281
2470756604, 3035665040
2480164992, 3035642841
2490582401, 3035621569
2500955509, 3035597574
2510312749, 3035573439
2520732715, 3035548860
2531144487, 3035523892
2540560422, 3035498662
2550980947, 3035474286
2560448199, 3035448603
2570808921, 3035423312
2580195562, 3035397662
2590647038, 3035369050
2601061480, 3035342666
2610449450, 3035316091
2620912315, 3035289936
2630322686, 3035264442
2640735705, 3035238282
2651156692, 3035213331
2660612681, 3035188289
2670879500, 3035160989
2680301666, 3035112610
2690652543, 3035082017
2700999560, 3035042554
2710426031, 3034993418
2720804789, 3034938824
2730886426, 3034867058
2740228989, 3034805141
2750594601, 3391580387
2760965600, 3391558357
2770371614, 3391534515
2780498464, 3391510189
2790903030, 3391488087
2800340178, 3391440446
2810713683, 3391414797
2821088652, 3391396009
2830499141, 3391376968
2840846076, 3391358427
2850217130, 3391337925
2860604279, 3391305948
2870984114, 3391268735
2880359695, 3391227336
2890762514, 3391177892
2900168618, 3391104176
2910543088, 3391060998
2920905236, 3391031031
2930303812, 3390988988
2940690316, 3390941624
2951065452, 3390915660
2960490785, 3390893696
2970873806, 3390875018
2980298612, 3390852980
2990645795, 3390831713
3001050524, 3390807609
3010419259, 3390781892
3020779071, 3390745661
3030200562, 3390693323
3040694153, 3762794036
3051047280, 3762776042
3060446880, 3762757779
3070831082, 3762738993
3080318120, 3762721280
3090652768, 3762702023
3101047159, 3762683808
3110393727, 3762665872
3120805011, 3762646875
3130177599, 3762628803
3140569287, 3762609684
3150916388, 3762589841
3160350762, 3762567461
3170745945, 3762548538
3181161307, 3762528977
3190540216, 3762509210
3200917297, 3762488383
3210341429, 3762469480
3220713275, 3762448994
3231083463, 3762427203
3240493068, 3762403619
3250833791, 3762382190
3260234884, 3762362438
3270592684, 3762342251
3281113626, 3762321762
3290513456, 3762300982
3300855645, 3762278868
3310268725, 3762256244
3320636812, 3762222568
3331013120, 3762200155
3340411633, 3762179409
3350795506, 3762156249
3361138938, 3762130211
3370557476, 3762101250
3380933263, 3762029010
3390329983, 3761946719
3400312235, 4125788546
3411042097, 4125764400
3420440374, 4125722298
3430837040, 4125700949
3440252621, 4125680086
3450601707, 4125658203
3461056141, 4125637744
3470445458, 4125613272
3480874091, 4125592261
3490299769, 4125570154
3500733619, 4125547934
3511119478, 4125525711
3520575392, 4125503161
3531000503, 4125483241
3540443735, 4125461468
3550836083, 4125439044
3560251199, 4125416089
3570179991, 4125392449
3580560229, 4125368877
3590940010, 4125345828
3600266790, 4125322527
3610642561, 4125299146
3621034635, 4125269213
3630424803, 4125232607
3640808360, 4125182661
3650229091, 4125127670
3660605265, 4125099129
3670994838, 4125072544
3680421706, 4125044456
3690758820, 4125004688
3701145538, 4124956655
3710540455, 4124902053
3720894851, 4124852331
