name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
04ablation1_0_1400_4_300, BASIC, 4, 1400, 93.727492, 6.696753, 6.526708, 2100, 14000, 300, 1
04ablation1_1_600_4_300, BASIC, 4, 600, 87.263074, 5.698581, 5.375894, 2111, 6000, 300, 1
04ablation1_2_1600_4_300, BASIC, 4, 1600, 88.055578, 7.307251, 7.007918, 2100, 16000, 300, 1
04ablation1_3_100_4_300, BASIC, 4, 100, 89.838040, 0.428414, 0.180689, 1000, 1000, 300, 1
04ablation1_4_1400_4_300, BASIC, 4, 1400, 91.997696, 6.956687, 6.746536, 2100, 14000, 300, 1
04ablation1_5_1000_4_300, BASIC, 4, 1000, 87.400793, 6.047212, 5.916239, 2123, 10000, 300, 1
04ablation1_6_1600_4_300, BASIC, 4, 1600, 92.587085, 6.801995, 6.518644, 2100, 16000, 300, 1
04ablation1_7_1200_4_300, BASIC, 4, 1200, 87.940055, 7.804455, 7.024923, 2100, 12000, 300, 1
04ablation1_8_100_4_300, BASIC, 4, 100, 96.675021, 0.408015, 0.187268, 1000, 1000, 300, 1
04ablation1_9_2000_4_300, BASIC, 4, 2000, 90.211445, 8.445114, 7.597661, 2100, 20000, 300, 1
04ablation1_10_1_4_300, BASIC, 4, 1, 1.000000, 0.210148, 0.046190, 10, 10, 300, 1
04ablation1_11_25_4_300, BASIC, 4, 25, 24.793904, 0.234968, 0.075487, 250, 250, 300, 1
04ablation1_12_600_4_300, BASIC, 4, 600, 93.789522, 5.525766, 5.917935, 2221, 6000, 300, 1
04ablation1_13_50_4_300, BASIC, 4, 50, 48.162373, 0.282494, 0.096598, 500, 500, 300, 1
04ablation1_14_800_4_300, BASIC, 4, 800, 86.199150, 6.786931, 6.211905, 2100, 8000, 300, 1
04ablation1_15_1800_4_300, BASIC, 4, 1800, 86.594569, 7.480144, 7.017336, 2100, 18000, 300, 1
04ablation1_16_50_4_300, BASIC, 4, 50, 49.015594, 0.272359, 0.095625, 500, 500, 300, 1
04ablation1_17_1200_4_300, BASIC, 4, 1200, 104.051280, 6.460178, 6.217034, 2100, 12000, 300, 1
04ablation1_19_200_4_300, BASIC, 4, 200, 103.592744, 2.073591, 2.634625, 2000, 2000, 300, 1
04ablation1_21_600_4_300, BASIC, 4, 600, 111.700491, 4.807833, 4.670942, 2100, 6000, 300, 1
04ablation1_22_2000_4_300, BASIC, 4, 2000, 91.396566, 7.889377, 7.231943, 2100, 20000, 300, 1
04ablation1_23_1_4_300, BASIC, 4, 1, 0.400000, 0.202253, 0.042507, 4, 10, 300, 1
04ablation1_24_1_4_300, BASIC, 4, 1, 1.000000, 0.186984, 0.052259, 10, 10, 300, 1
04ablation1_25_400_4_300, BASIC, 4, 400, 91.719832, 5.057175, 5.347369, 2223, 4000, 300, 1
04ablation1_26_1800_4_300, BASIC, 4, 1800, 97.149489, 7.201440, 7.042745, 2100, 18000, 300, 1
04ablation1_27_400_4_300, BASIC, 4, 400, 94.206603, 4.836973, 5.354561, 2238, 4000, 300, 1
04ablation1_28_25_4_300, BASIC, 4, 25, 25.000000, 0.223915, 0.062734, 250, 250, 300, 1
04ablation1_29_200_4_300, BASIC, 4, 200, 93.367897, 2.219509, 2.831746, 2000, 2000, 300, 1
04ablation1_31_1200_4_300, BASIC, 4, 1200, 93.482768, 6.677038, 6.436696, 2100, 12000, 300, 1
04ablation1_32_100_4_300, BASIC, 4, 100, 96.124570, 0.405784, 0.192874, 1000, 1000, 300, 1
04ablation1_33_1400_4_300, BASIC, 4, 1400, 93.352829, 6.698878, 6.566954, 2100, 14000, 300, 1
04ablation1_34_50_4_300, BASIC, 4, 50, 48.400147, 0.279205, 0.103731, 500, 500, 300, 1
04ablation1_35_1600_4_300, BASIC, 4, 1600, 90.540635, 7.388776, 6.876348, 2100, 16000, 300, 1
04ablation1_36_1000_4_300, BASIC, 4, 1000, 94.678417, 6.567790, 6.232761, 2100, 10000, 300, 1
04ablation1_37_1800_4_300, BASIC, 4, 1800, 91.446302, 7.658668, 6.866178, 2100, 18000, 300, 1
04ablation1_38_400_4_300, BASIC, 4, 400, 91.834182, 4.753394, 5.415338, 2233, 4000, 300, 1
04ablation1_39_1000_4_300, BASIC, 4, 1000, 98.645327, 6.231039, 6.100826, 2100, 10000, 300, 1
04ablation1_40_800_4_300, BASIC, 4, 800, 90.012839, 6.340312, 6.597573, 2231, 8000, 300, 1
04ablation1_41_200_4_300, BASIC, 4, 200, 100.543503, 1.973704, 2.513039, 2000, 2000, 300, 1
04ablation2_0_400_4_300, CHAIN, 4, 400, 143.226100, 3.914980, 4.261596, 3390, 4000, 300, 1
04ablation2_1_600_4_300, CHAIN, 4, 600, 137.887212, 5.565076, 5.586085, 3370, 6000, 300, 1
04ablation2_2_2000_4_300, CHAIN, 4, 2000, 136.333171, 6.945667, 6.906815, 3385, 20000, 300, 1
04ablation2_3_1400_4_300, CHAIN, 4, 1400, 134.219262, 7.411285, 6.646386, 3300, 14000, 300, 1
04ablation2_4_800_4_300, CHAIN, 4, 800, 140.584788, 5.786040, 5.938168, 3437, 8000, 300, 1
04ablation2_5_25_4_300, CHAIN, 4, 25, 24.247748, 0.264547, 0.099552, 250, 250, 300, 1
04ablation2_6_1000_4_300, CHAIN, 4, 1000, 135.773742, 6.475565, 6.193434, 3307, 10000, 300, 1
04ablation2_7_1000_4_300, CHAIN, 4, 1000, 141.746074, 7.053646, 6.313497, 3300, 10000, 300, 1
04ablation2_8_600_4_300, CHAIN, 4, 600, 139.251391, 5.226113, 5.292949, 3385, 6000, 300, 1
04ablation2_9_50_4_300, CHAIN, 4, 50, 47.588288, 0.363370, 0.144633, 500, 500, 300, 1
04ablation2_10_1000_4_300, CHAIN, 4, 1000, 132.414807, 6.874666, 6.069186, 3169, 10000, 300, 1
04ablation2_11_400_4_300, CHAIN, 4, 400, 138.274969, 4.183637, 4.542522, 3327, 4000, 300, 1
