name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
batch_2000_0_2000_4_2000, 4, 4, 2000, 261.500000, 2.318343, 0.994323, 2615, 20000, 2000, 1
batch_2000_1_400_4_2000, 4, 4, 400, 0.000000, -nan, -nan, 0, 4000, 2000, 1
batch_2000_2_1000_4_2000, 4, 4, 1000, 345.974646, 6.251496, 4.493876, 4776, 10000, 2000, 1
batch_2000_3_50_4_2000, 4, 4, 50, 46.535414, 0.528919, 0.163730, 500, 500, 2000, 1
batch_2000_4_400_4_2000, 4, 4, 400, 268.929204, 3.425770, 2.363109, 3550, 4000, 2000, 1
batch_2000_5_100_4_2000, 4, 4, 100, 95.264220, 0.744753, 0.274443, 1000, 1000, 2000, 1
batch_2000_6_600_4_2000, 4, 4, 600, 302.333146, 5.466942, 3.880260, 4749, 6000, 2000, 1
batch_2000_7_800_4_2000, 4, 4, 800, 262.491855, 11.578856, 8.157604, 6443, 8000, 2000, 1
batch_2000_8_1000_4_2000, 4, 4, 1000, 289.600000, 2.660364, 1.733788, 2896, 10000, 2000, 1
batch_2000_9_800_4_2000, 4, 4, 800, 325.726025, 6.622482, 4.556142, 4990, 8000, 2000, 1
batch_2000_10_10_4_2000, 4, 4, 10, 4.550626, 14.973468, 6.620885, 100, 100, 2000, 1
batch_2000_11_200_4_2000, 4, 4, 200, 168.344237, 1.447772, 0.873562, 2000, 2000, 2000, 1
batch_2000_12_1_4_2000, 4, 4, 1, 0.438459, 14.346686, 7.250178, 10, 10, 2000, 1
batch_2000_13_1500_4_2000, 4, 4, 1500, 332.500000, 3.637138, 2.461980, 3325, 15000, 2000, 1
batch_2000_14_1500_4_2000, 4, 4, 1500, 377.100000, 4.723326, 2.858394, 3771, 15000, 2000, 1
batch_2000_15_200_4_2000, 4, 4, 200, 163.662247, 1.347066, 0.885352, 2000, 2000, 2000, 1
batch_2000_16_100_4_2000, 4, 4, 100, 88.416653, 0.741393, 0.299049, 1000, 1000, 2000, 1
batch_2000_17_100_4_2000, 4, 4, 100, 95.123004, 0.735002, 0.272313, 1000, 1000, 2000, 1
batch_2000_18_400_4_2000, 4, 4, 400, 203.635387, 4.974803, 4.295257, 4000, 4000, 2000, 1
batch_2000_19_50_4_2000, 4, 4, 50, 48.291331, 0.533449, 0.160820, 500, 500, 2000, 1
batch_2000_20_1500_4_2000, 4, 4, 1500, 315.500000, 3.173305, 2.016292, 3155, 15000, 2000, 1
batch_2000_21_2000_4_2000, 4, 4, 2000, 359.225396, 10.535708, 6.622076, 6090, 20000, 2000, 1
batch_2000_22_600_4_2000, 4, 4, 600, 256.607633, 8.700064, 6.477845, 5838, 6000, 2000, 1
batch_2000_23_4000_4_2000, 4, 4, 4000, 200.400000, 1.866428, 0.360473, 2004, 40000, 2000, 1
batch_2000_24_10_4_2000, 4, 4, 10, 10.000000, 0.440966, 0.112362, 100, 100, 2000, 1
batch_2000_25_4000_4_2000, 4, 4, 4000, 202.000000, 1.692551, 0.570836, 2020, 40000, 2000, 1
batch_2000_26_800_4_2000, 4, 4, 800, 352.900000, 3.607935, 2.408441, 3529, 8000, 2000, 1
batch_2000_27_1_4_2000, 4, 4, 1, 1.000000, 0.493447, 0.079911, 10, 10, 2000, 1
batch_2000_28_200_4_2000, 4, 4, 200, 158.013814, 1.434143, 0.961520, 2000, 2000, 2000, 1
batch_2000_29_2000_4_2000, 4, 4, 2000, 291.600000, 2.732023, 1.465512, 2916, 20000, 2000, 1
batch_2000_30_50_4_2000, 4, 4, 50, 46.284452, 0.548473, 0.164626, 500, 500, 2000, 1
batch_2000_31_600_4_2000, 4, 4, 600, 338.557663, 3.799868, 2.581233, 3700, 6000, 2000, 1
batch_2000_32_1_4_2000, 4, 4, 1, 1.000000, 0.556373, 0.128469, 10, 10, 2000, 1
batch_2000_33_4000_4_2000, 4, 4, 4000, 219.200000, 2.213919, 0.420825, 2192, 40000, 2000, 1
batch_2000_34_1000_4_2000, 4, 4, 1000, 364.925902, 6.535701, 4.395123, 5096, 10000, 2000, 1
batch_2000_35_10_4_2000, 4, 4, 10, 10.000000, 0.885224, 0.486070, 100, 100, 2000, 1
