sent, rec
2572, 423005503
2448291, 422975242
3800191, 422957055
5068661, 422939880
7332065, 422922343
8687422, 422903473
10976955, 422885739
12332632, 422867603
14560014, 422848848
15807001, 422826892
17098386, 422792725
19351737, 422774767
20718591, 422756299
21989430, 422735018
24312317, 422715429
25673261, 422695926
26928247, 422676675
29220853, 422656748
30477037, 422638216
32723644, 422617946
34004113, 422598598
35193322, 422579666
37446571, 422559366
38691599, 422538101
40956127, 422518265
42241456, 422498981
43415213, 422478429
45668026, 422458555
46910052, 422439926
49180696, 422419580
50420598, 422398025
52669719, 422377011
53912174, 422356882
55136942, 422337938
57455475, 422317584
58774286, 422294533
61044223, 422272784
62299387, 422252039
63478665, 422231529
65717717, 422210100
67003958, 422190073
69253673, 422168077
70507025, 422146587
72760084, 422122174
74024759, 422097927
75202716, 422048795
77018680, 422027644
79222179, 422009900
80462690, 421991264
82715463, 421974529
83972013, 421956078
85148240, 421933372
87377370, 421912753
88628281, 421878247
90887651, 420723586
92130155, 420704382
94423708, 420684310
95852070, 420662822
97027663, 420643422
99247763, 420622512
100552672, 420600525
101757408, 420580836
103925841, 420557415
105096693, 420536532
107275489, 420512164
108601008, 420479203
111007471, 420439192
112266613, 420394213
113495039, 420340559
115677290, 915383279
116879221, 915362939
119068738, 915343389
120313519, 915323528
122604045, 915304361
123901988, 915285065
125091924, 915266629
127276523, 915246283
128517735, 915227433
130767727, 915206472
132020542, 915187349
134275730, 915166587
135516973, 915145660
137773723, 915124544
139030301, 915102224
140257980, 915080981
142116076, 915059614
144394203, 915035593
145641803, 915013160
146824574, 914984652
149092050, 914966822
150337720, 914950312
152591257, 914933443
153835119, 914916188
156019408, 914899820
157213424, 914882269
159407945, 914864465
160652407, 914846487
161876907, 914827410
164056841, 914796685
165276803, 914778731
167464735, 914759019
168722679, 914732388
170976367, 914018092
172312439, 914000377
173431393, 913981266
175612622, 913958362
176786973, 913940467
178970021, 913921963
180227265, 913903560
182478205, 913884814
183721847, 913865338
185993678, 913845664
187243011, 913825705
188426143, 913806600
190674440, 913787361
191978012, 913768044
194245095, 913747954
195525167, 913727696
197796920, 913706435
199042763, 913684468
200268803, 913663914
202488982, 913642616
203674524, 913621567
205847455, 913595299
207051777, 913574679
209303297, 913554492
210598724, 913533859
211776910, 913512516
214030509, 913490046
215472679, 913468700
217727608, 913449478
218977547, 913429195
220226126, 913405825
222474027, 913384333
223732878, 913354143
225988849, 913337828
227235104, 913321147
228410515, 913303178
230646272, 913285215
231944552, 913266470
234202704, 913243338
235448272, 913218175
237790007, 913198798
239744305, 913179797
240944928, 913161166
242156170, 913142751
244399861, 913123790
245686628, 913103468
246822742, 913085923
249071002, 913067272
250358698, 913048570
252635814, 913027374
253897184, 913009003
255083956, 912988989
257330641, 912969578
262724866, 912947892
262840599, 912925911
262939833, 912904579
264137124, 912879138
265312400, 912857612
267496283, 912836500
268748955, 912816655
271011709, 912796949
272339822, 912776794
273519384, 912756530
275703210, 912736829
276881757, 912716481
279064200, 912696492
280317749, 912676117
282568180, 912656144
283863632, 912634274
286134989, 912612315
287386788, 912589855
288618499, 912550844
290867119, 910427118
292117996, 910394974
294367554, 910361248
295621336, 910335084
296796649, 910304517
298987789, 910268876
300228250, 910236571
301990788, 910197209
304232626, 910178356
305482959, 910161538
307670271, 910143713
308902751, 910126206
310078690, 910106468
312367929, 910086920
313673561, 910068577
315852753, 910050974
317028671, 910032119
319221794, 910011729
320509135, 909990006
322759871, 909969552
324023512, 909951488
325205185, 909932294
327389460, 909911850
328678656, 909893586
330893311, 909874499
332154344, 909855408
334439979, 909835172
335695822, 909813572
336872863, 909795309
339099755, 909775065
340341161, 909751945
342625660, 909723705
343887043, 909699857
345077064, 909673759
347261299, 909647157
348513094, 909617862
350813311, 909593269
352109889, 909566680
354360201, 909539097
355636526, 909509143
356824217, 909481830
359013278, 909441959
360270726, 909411534
362516666, 909384107
363764421, 909353275
366015147, 909327688
368169306, 909295225
369364321, 909263263
370574116, 909234219
371746785, 909203005
373987341, 909172871
375268381, 909141873
377519429, 909112426
378763828, 909056209
381022616, 909038122
382324380, 909021520
383523036, 909002493
385770870, 908985174
387017019, 908966467
389263970, 908948505
390515008, 908932195
392794562, 908914264
394046112, 908897255
395232924, 908878972
397481678, 908860357
398581578, 908842792
400838075, 908824571
402108367, 908804981
404332827, 908785790
405579134, 908763937
406732465, 908730699
408961012, 908662388
410236719, 906964973
412455721, 906945882
413665436, 906923068
415812567, 906886376
416957916, 906843061
419110524, 906770841
420079730, 906715860
423032449, 906671160
424199594, 906624245
