sent, rec
1648, 523921335
1375680, 679871143
1560056, 781625524
2811691, 908038005
3000292, 1018458557
4238765, 1146490010
4410121, 1295557010
5641830, 1403042762
7876911, 1532323121
8061148, 1639299928
8249916, 1748307830
8416119, 1876827385
8582060, 1992912223
8745537, 2104009942
9985969, 2232015839
10164785, 2349454816
11387108, 2475245995
11506444, 2596940586
12684112, 2707723601
12783463, 2846487846
13942090, 3003027969
14044658, 3146030837
15204641, 3274013276
15336167, 3403904765
16492342, 3521945468
17674253, 3639308069
17771179, 3809590600
18944536, 3968986141
19049169, 4113672196
20207990, 4230974894
20308659, 4394690387
21465638, 4545273702
21566193, 4685491639
22765723, 4802637350
22928458, 4956576805
24092912, 5169241730
24193333, 5317226721
25349273, 5440529895
25471420, 5598489044
26632722, 5742511499
26732387, 5906949534
27908140, 6069722075
28028679, 6204945187
29197386, 6358908089
30358778, 6539521842
30462507, 6692605650
31632281, 6870608867
33333389, 7019706084
33436684, 7180917519
33526395, 7344847889
33618429, 7501031260
34861438, 7657724776
34962182, 7784374915
36116904, 7994417926
36222957, 8180679464
37531814, 8356900169
37634681, 8489487653
38795479, 8627188936
38894822, 8802606648
40081306, 8967282207
40179711, 9192050406
41340799, 9367115575
41436273, 9541612449
42597928, 9744861823
42711007, 9934316363
43930598, 10066520918
44029558, 10262234825
45448951, 10403105001
45623269, 10584209970
46792504, 10800188359
46939073, 10984716476
48101270, 11134387552
48217322, 11287425657
49377066, 11467001922
49479393, 11627927842
50637395, 11833474629
50787277, 12011371940
51949974, 12162749905
52050027, 12325309910
53211275, 12461080570
54383731, 12628269096
54487150, 12793957331
55643660, 12956373756
55742705, 13106915653
56899814, 13298102148
57028227, 13447726981
58771085, 13582974752
58873873, 13730640323
58995960, 13905888157
60164416, 14057633191
60274057, 14241852182
61435004, 14434049276
61555680, 14570975551
62716938, 14711526723
62853139, 14906714270
64014458, 15064470194
64112250, 15220666127
65302431, 15423297058
65412543, 15580927493
66570960, 15731270797
66672148, 15878013888
67829145, 16093765328
69026042, 16288106370
69132423, 16462823949
70291383, 16613171030
70394630, 16796537058
71385544, 16952127644
71489431, 17121026173
72666898, 17305059730
72798884, 17479208325
73960833, 17678581639
74080472, 17907927960
75263675, 18097439843
75377489, 18268168427
76593427, 18413947556
76692378, 18560795614
77849237, 18765173892
79015471, 18908394741
79113636, 19131111599
80271970, 19344224824
80375250, 19546469496
81536369, 19776024788
81647270, 19960296102
82811805, 20146970240
82937146, 20296114011
84101931, 20442468048
84243110, 20653084873
85410147, 20875831001
85512658, 21138750468
86817217, 21342673617
86936329, 21568236761
88117271, 21768595975
88220028, 21944021247
89376590, 22154042316
89497149, 22329348672
90661200, 22500677208
90764113, 22667129258
91926509, 22858286665
92036974, 23085111436
93198532, 23274161897
94358140, 23519662633
94458691, 23753707445
95680965, 24039583509
95779811, 24249702377
96954648, 24452463175
98631010, 24680208657
98775687, 24854645148
