name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
batch_sizes_4_13_400_4_1, 1, 4, 400, 8.303563, 12.817448, 6.729260, 197, 4000, 1, 1
batch_sizes_4_7_4000_4_50, 1, 4, 4000, 227.018250, 11.877136, 6.573224, 5500, 40000, 50, 1
batch_sizes_4_1_2000_4_100, 1, 4, 2000, 378.007383, 9.552969, 5.591448, 9100, 20000, 100, 1
batch_sizes_4_0_1000_4_300, 1, 4, 1000, 657.596165, 2.851239, 1.481387, 10000, 10000, 300, 1
batch_sizes_4_4_2000_4_450, 1, 4, 2000, 515.895211, 9.373186, 5.174387, 12466, 20000, 450, 1
batch_sizes_4_2_1500_4_600, 1, 4, 1500, 509.480956, 7.511548, 5.045377, 12341, 15000, 600, 1
batch_sizes_4_3_1000_4_1, 1, 4, 1000, 7.932867, 13.146106, 6.872994, 194, 10000, 1, 1
batch_sizes_4_5_10_4_100, 1, 4, 10, 10.000000, 0.296658, 0.096243, 100, 100, 100, 1
batch_sizes_4_6_100_4_99999999, 1, 4, 100, 100.000000, 0.353833, 0.227817, 1000, 1000, ∞, 1
batch_sizes_4_8_400_4_300, 1, 4, 400, 400.000000, 0.405956, 0.088570, 4000, 4000, 300, 1
batch_sizes_4_9_600_4_99999999, 1, 4, 600, 600.000000, 0.495925, 0.080677, 6000, 6000, ∞, 1
batch_sizes_4_10_200_4_300, 1, 4, 200, 200.000000, 0.291800, 0.047831, 2000, 2000, 300, 1
batch_sizes_4_11_800_4_300, 1, 4, 800, 718.619871, 1.225531, 0.322887, 8000, 8000, 300, 1
batch_sizes_4_12_200_4_50, 1, 4, 200, 200.000000, 0.299092, 0.041941, 2000, 2000, 50, 1
batch_sizes_4_14_4000_4_50, 1, 4, 4000, 225.809929, 11.655546, 6.609242, 5500, 40000, 50, 1
batch_sizes_4_15_1_4_100, 1, 4, 1, 1.000000, 0.439122, 0.066158, 10, 10, 100, 1
batch_sizes_4_16_800_4_1, 1, 4, 800, 8.187864, 12.394221, 7.087303, 201, 8000, 1, 1
