name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_10000_1_1, n, 1, 10000, 9984.814189, 0.013045, 0.006847, 99889, 100000, 1, 1
test1_10000_1_50, n, 1, 10000, 9997.938891, 0.004488, 0.003616, 99968, 100000, 1, 50
test2_14000_1_100, n, 1, 14000, 579.733803, 0.000575, 0.003532, 7707, 140000, 1, 100
test3_10000_1_50, n, 1, 10000, 9994.177750, 0.007506, 0.017863, 99945, 100000, 1, 50
test4_10000_1_100, n, 1, 10000, 8403.896727, 0.195212, 0.292318, 84682, 100000, 1, 100
test5_12000_1_50, n, 1, 12000, 11994.085251, 0.009198, 0.021861, 119969, 120000, 1, 50
test6_14000_1_1, n, 1, 14000, 13988.827537, 0.010348, 0.005888, 139882, 140000, 1, 1
test7_16000_1_1, n, 1, 16000, 15985.083200, 0.012754, 0.013361, 159888, 160000, 1, 1
test8_12000_1_50, n, 1, 12000, 11991.353179, 0.005435, 0.006231, 119912, 120000, 1, 50
test9_16000_1_1, n, 1, 16000, 15981.945395, 0.013304, 0.015919, 159830, 160000, 1, 1
test10_12000_1_100, n, 1, 12000, 3901.207987, 0.137350, 0.331746, 41163, 120000, 1, 100
test11_16000_1_50, n, 1, 16000, 15975.484074, 0.006368, 0.008249, 159846, 160000, 1, 50
test12_16000_1_50, n, 1, 16000, 15992.675492, 0.007183, 0.008409, 159926, 160000, 1, 50
test13_16000_1_100, n, 1, 16000, -0.000000, 0.000000, 0.000000, 0, 160000, 1, 100
test14_14000_1_100, n, 1, 14000, 805.670611, 0.000613, 0.003707, 10208, 140000, 1, 100
test15_10000_1_50, n, 1, 10000, 9992.686306, 0.004556, 0.003968, 99932, 100000, 1, 50
test16_10000_1_100, n, 1, 10000, 6797.681645, 0.328438, 0.624014, 68592, 100000, 1, 100
test17_14000_1_50, n, 1, 14000, 13992.757068, 0.008611, 0.011281, 139927, 140000, 1, 50
test18_16000_1_100, n, 1, 16000, -0.000000, 0.000000, 0.000000, 0, 160000, 1, 100
