sent, rec
1752, 479781
20639000, 22626337
40797640, 41342111
60504282, 83815608
80895285, 83876905
101046088, 101611057
120787346, 121425862
140602779, 163777601
160992945, 163836810
181012484, 181579407
200752993, 201539961
220705190, 243785103
241080422, 243841326
261042240, 261599430
280776062, 281456141
300624974, 323794965
320883451, 323844466
341012794, 341638808
360809055, 361368609
380533078, 403783737
400920897, 403849504
421029035, 421675432
440846827, 441405798
460572638, 483787607
481064661, 483840767
501014515, 501647775
520811833, 521357327
540525976, 563850240
561118354, 563904947
581080994, 581631047
600800261, 601409703
620579490, 643801052
640955620, 643853186
661021162, 661590660
680767920, 681430750
700595905, 723786840
720969771, 723838952
741008760, 741570497
760742693, 761414378
780582747, 803806036
800965988, 803859006
821038789, 821660227
840831525, 841398893
860566406, 883789150
880206797, 883854203
901040755, 901690025
920851578, 921414937
940601565, 963784476
960540287, 963837793
981055252, 981715008
1001068249, 1001661901
1020827840, 1043793584
1040353710, 1043846229
1061017980, 1061583113
1080757235, 1081322988
1100494365, 1123779851
1120879575, 1123835256
1141003780, 1141574531
1160740278, 1161306146
1180484583, 1203794934
1200859834, 1203852318
1221027229, 1221604509
1240775045, 1241366718
1260539510, 1283803610
1280923324, 1283856965
1301030691, 1301664172
1320838500, 1321384829
1340554520, 1363800660
1360973853, 1363854447
1381028848, 1381628376
1400793724, 1401337846
1420508885, 1443780965
1440934896, 1443836489
1461007697, 1461619968
1480775402, 1481320092
1500491166, 1523782832
1520950981, 1523907190
1541078837, 1541629471
1560835119, 1561427560
1580594262, 1603785903
1600958783, 1603840539
1621013706, 1621569848
1640746293, 1641390056
1660557014, 1683779848
1680933939, 1683828114
1701005899, 1701565515
1720743278, 1721310106
1740482690, 1763781366
1760872104, 1763837533
1781006034, 1782158649
1800325544, 1800883301
1821059690, 1843789715
1840547017, 1843845982
1861020793, 1861996219
1880160291, 1880716894
1900901122, 1923782224
1920359056, 1923835735
1941014997, 1942174494
1960344105, 1960905595
1981061972, 2003809628
2000752036, 2003863223
2021038446, 2022118899
2040293962, 2040918393
2061081987, 2083783157
2080455196, 2083830836
2101017798, 2101593964
2120765452, 2121416968
2140584181, 2163784324
2160962321, 2163833343
2181007695, 2181849768
2201017783, 2201680518
2220846656, 2243781259
2240213348, 2243833245
2261009168, 2261633602
2280827347, 2281385033
2300574322, 2323804000
2320954135, 2323856151
2341026295, 2341665727
2360819598, 2361387062
2380557712, 2403778471
2400959398, 2403830692
2421006055, 2421665040
2440830469, 2441388882
2460556461, 2483779106
2481004211, 2483831428
2501015131, 2501705766
2520875601, 2521541117
2540706540, 2563775558
2561093258, 2563828590
2581004489, 2581548527
2600717457, 2601364381
2620532445, 2643786589
2640897996, 2643840644
2661014604, 2661565854
2680734577, 2681351915
2700515087, 2723774940
2720881465, 2723830611
2741002457, 2741548290
2760718521, 2761348313
2780517512, 2803810998
2800940826, 2803862947
2821033772, 2821614846
2840786228, 2841328648
2860496564, 2883800143
2880929546, 2883852676
2901040282, 2901701181
2920871899, 2921461967
2940627746, 2963772638
2960994425, 2963826735
2981003582, 2981639603
3001003494, 3001875362
3021048272, 3043789435
3040417504, 3043842536
3061017917, 3061561861
3080727780, 3081844772
3101016852, 3123783779
3120401782, 3123840009
3141010957, 3141562314
3160732451, 3161789115
3180958881, 3203778707
3200322311, 3203832165
3221006655, 3221553015
3240722663, 3241836077
3261002144, 3283800729
3280416327, 3283853016
3301024542, 3301910653
3321080639, 3321625156
3340815273, 3363785197
3360246690, 3363837820
3381011017, 3381963675
3401126153, 3401681518
3420848074, 3443787535
3440287735, 3443841473
3461009675, 3461890756
3481060274, 3481673530
3500851213, 3523788661
3520259636, 3523840981
3541009803, 3541566352
3560738416, 3561359833
3580530872, 3603780635
3600918091, 3603834242
3621008663, 3621586102
3640762507, 3641422059
3660595158, 3683780688
3680990723, 3683834393
3701007454, 3701566586
3720741469, 3721427520
3740582299, 3763811015
3761081949, 3763862491
3781035958, 3781650786
3800818863, 3801363125
3820527879, 3843774324
3840935890, 3843823785
3860997025, 3861920739
3881091119, 3881636877
3900808259, 3923777397
3920226696, 3923830682
3941002812, 3941655823
3960826462, 3961368088
3980539561, 4003789366
4000135109, 4003842545
4021013076, 4021558251
4040730397, 4041330081
4060486250, 4083785612
4080855804, 4083838398
4101009250, 4101559276
4120729887, 4121332075
4140499871, 4163780033
4160869857, 4163832506
4181009153, 4181553008
4200720124, 4201331697
4220502159, 4243788293
4240932029, 4243843890
4261017374, 4261596204
4280764396, 4281310366
4300483888, 4323795495
4320908494, 4323848254
4341015768, 4341658849
4360829508, 4361375154
4380541532, 4403780799
4400912785, 4403831376
4421004895, 4421631790
4440803857, 4441346555
4460515703, 4483786323
4480216280, 4483841244
4501015340, 4501561966
4520734767, 4521416738
4540584643, 4563782175
4560958172, 4563836022
4581011645, 4581556162
4600727473, 4601867621
4621033767, 4643782708
4640399451, 4643836253
4661007387, 4661556080
4680725326, 4682341339
4700516710, 4723780520
4720887992, 4723833490
4741006473, 4742108516
4760280130, 4760835924
4781009437, 4803812178
4800436400, 4803864693
4821037602, 4822019631
4840188114, 4840750314
4860921204, 4883768787
4880391095, 4883822593
4900980707, 4901951105
4921122724, 4921687225
4940864848, 4964151261
4960345675, 4964205615
4980407205, 4980968926
5000504576, 5001137174
5020307313, 5043864151
5040687137, 5043921468
5061110671, 5061682269
5080858237, 5081516632
5100682910, 5123789654
5121078699, 5123844621
5141022808, 5141590669
5160772351, 5161458808
5180626202, 5203788896
5201013895, 5203842294
5221019385, 5221637196
5240791580, 5241383802
5260549716, 5283780254
5280984003, 5283832975
5301009638, 5301638561
5320806806, 5321357483
5340521793, 5363778816
5360974131, 5363830022
5381008097, 5381669168
5400840890, 5401396949
5420567105, 5443780959
5441043582, 5443921149
5461101319, 5461662699
5480831363, 5481481367
5500651049, 5523794769
5521017280, 5523847779
5541019222, 5541572794
5560742408, 5561387647
5580589413, 5603790711
5600959574, 5603845144
5621004583, 5621557656
5640732234, 5641357140
5660529424, 5683777832
5680925866, 5683829667
5701003172, 5701649386
5720820783, 5721383475
5740551038, 5763781372
5760985998, 5763835339
5781006586, 5781603824
5800773840, 5801332299
5820504435, 5843788186
5840947182, 5843840416
5861017334, 5861686635
5880854568, 5881409865
5900599150, 5923831007
5920970909, 5923884082
5941056988, 5941713308
5960884271, 5961752957
5980924448, 6003796390
6000510371, 6003850193
6021023888, 6021578844
6040770474, 6041462617
6060657539, 6083790010
6081035143, 6083844241
6101017989, 6101582255
6120755400, 6121770016
6140937933, 6163809745
6160295536, 6163861901
6181035985, 6182070968
6200259423, 6200818675
6220987592, 6243846926
6240448363, 6243902522
6261074835, 6261969862
6281145363, 6281699380
6300868270, 6323785106
6320310491, 6323839880
6341010520, 6342263303
6360433088, 6360987257
6380154298, 6403797564
6400613817, 6403850049
6421022712, 6421914098
6441080471, 6441682141
6460854175, 6483790050
6480227406, 6483843716
6501015701, 6501627191
6520803820, 6521450389
6540620242, 6563791878
6561008533, 6563844551
6581019294, 6581598147
6600779833, 6601442121
6620611994, 6643795136
6641000383, 6643848286
6661025460, 6661590533
6680784124, 6681466101
6700634206, 6723788847
6721039862, 6723841505
6741013225, 6741651957
6760824066, 6761398127
6780565522, 6803832393
6800947153, 6803899189
6821081060, 6821749457
6840916692, 6841484942
6860651790, 6883799042
6881099653, 6883853855
6901031743, 6901693857
6920862904, 6921422602
6940591968, 6963796472
6960962603, 6963849549
6981022958, 6981580140
7000945282, 7001591158
7020759853, 7043786077
7041128360, 7043838925
7061007400, 7061566343
7080737990, 7081380853
7100546720, 7123807943
7120914047, 7123863473
7141035097, 7141589350
7160759250, 7164639583
7180819854, 7207797294
7200280288, 7207850215
7221025794, 7221645107
7240817185, 7241372592
7260544881, 7283797624
7281003749, 7283848925
7301019721, 7301633821
7320800206, 7321351494
7340520189, 7363781055
7360991217, 7363833990
7381004826, 7381619919
7400790153, 7401415900
7420589583, 7443784015
7440960916, 7443838960
7461015533, 7461570822
7480764116, 7481381642
7500553091, 7523803979
7520924367, 7523855152
7541027899, 7541577882
7560746163, 7561375313
7580547115, 7603790995
7600912394, 7603844858
7621008161, 7621565911
7640736976, 7641288876
7660459436, 7683784728
7680879244, 7683836999
7701032889, 7701871854
7721052532, 7721607369
7740780367, 7763799708
7760210884, 7763853483
7781027548, 7781718459
7800889596, 7801446434
7820615172, 7843813656
7841062352, 7843867158
7861041728, 7861732818
7880903107, 7881456161
7900625680, 7923789504
7921098848, 7923842425
7941013089, 7941573998
7960743879, 7961345444
7980516353, 8003779882
8000926787, 8004099771
8020267037, 8020821553
8040987927, 8041622177
8060794570, 8083813079
8080161316, 8083865486
8101034406, 8101586449
8120758788, 8121401051
