sent, rec
2145, 2877861387
3461714, 2877838759
5772529, 2877494646
8015709, 2877717113
10252352, 2877784382
13568530, 2877762802
15669160, 2877740414
17901926, 2877689479
20132604, 2877803026
40469539, 2878590012
45965512, 2880558682
58327294, 2878476213
66053631, 2878039482
80680551, 2880760755
85164739, 2878982916
88479824, 2878794076
90786495, 2878188648
118275453, 2879038977
126053782, 2879076942
132817497, 2880720527
150831961, 2878774744
153082509, 3077575577
155316749, 2878878589
157842183, 2877994932
163553300, 2878284168
165852278, 3077647533
172613798, 2880779541
178296409, 2880870856
200654370, 2880333869
207966969, 2880679041
210189210, 2877976459
235993303, 2878639966
242768474, 2878729887
250641734, 2880405719
252590463, 2878019218
255913184, 2880698657
260451245, 2879059001
268245538, 2878096816
288321892, 2880309503
298431377, 2878542908
315261635, 2880378364
318494696, 2879250465
330933540, 2880604178
337596512, 2880449324
348331479, 2878162083
360593699, 2878351329
375142970, 2880853004
378373325, 2878916182
395360833, 2880579647
400846152, 2879001914
410878803, 2878840396
417561143, 3077623859
433160676, 2878955919
450429367, 3077667675
452660216, 2879183588
455968845, 2878859284
458262071, 2879291121
468289079, 2878237209
472865075, 2878436411
480656880, 2878819003
482887073, 2879152337
493012855, 2880815510
498518693, 3077705764
505234416, 2878305436
508542263, 2878415203
520844229, 2879020177
537504981, 2878519479
545117488, 3077600948
552978209, 2880640735
562922707, 3077743372
568492607, 2880428174
585198651, 2880516155
592762512, 2879206796
596059068, 2878897716
602734290, 2878679215
605957741, 2879107535
610421202, 3077544389
620452479, 2878936152
625895539, 2880470299
638278134, 2877915307
648487504, 3077725064
666045026, 2878210500
670533506, 2877956761
688251881, 2878659682
700501278, 2878751527
715922115, 2878118686
718203552, 2880796297
728129886, 2877893473
730334268, 2878454489
732577057, 2878370888
742623766, 2877937521
745934379, 2880623139
750420889, 2878391567
768196493, 2879269634
775923064, 2880660696
793155200, 2880490202
795460912, 2879228748
803316499, 2878258318
805575338, 3077687710
838380794, 2878329067
858532694, 2878139356
870870061, 2878071741
875931722, 2878564168
