sent, rec
1993, 4171740995
20463340, 4172888608
40849094, 4168796174
60324687, 4171999873
80709198, 4172195563
100025406, 4171619192
120543900, 4171652421
140927401, 4171249172
160337063, 4173140227
180722901, 4171579378
200084522, 4171115661
220591975, 4173158837
241074631, 4171852417
260450668, 4172991470
280874860, 4171299073
300307916, 4170672449
320739692, 4170850974
340094615, 4171500014
360481911, 4368987495
380929053, 4171382421
400499695, 4170531139
420936998, 4171761093
440398945, 4168733304
460774922, 4172810200
480106652, 4172105197
500561522, 4171078310
520935088, 4170692334
540417726, 4168708616
560858325, 4168815933
580295351, 4170583493
600798668, 4172080857
620253249, 4172832284
640721484, 4172917913
660122120, 4171333957
680648018, 4170562658
700018593, 4173121129
720447703, 4172956103
740897532, 4171231529
760297480, 4171919979
780745496, 4171818594
800140793, 4172787901
820637372, 4170791683
840845820, 4368933499
860249517, 4170924662
880707146, 4170712343
900230298, 4168755841
920662394, 4171174970
940050538, 4173008613
960527442, 4171403307
981016659, 4171835258
1000470603, 4172126161
1021016559, 4171600581
1040462598, 4173101907
1060987743, 4172218631
1080339941, 4170998275
1100793401, 4173059046
1120129716, 4170899150
1140530705, 4171779525
1160945600, 4170622578
1180494797, 4168833267
1200272528, 4170604969
1220777996, 4172174096
1240245474, 4170652121
1260729144, 4171870508
1280131402, 4171421482
1300592941, 4171057905
1321034665, 4171947904
1340480694, 4171213070
1360917813, 4171689352
1380288177, 4171034835
1400633494, 4171972544
1421007991, 4172152549
1440445112, 4368963011
1460901723, 4170826552
1480275341, 4172938310
1500678536, 4171438664
1520109593, 4171194540
1540561660, 4171134598
1561006474, 4173077140
1580132653, 4168777388
1600635800, 4172972731
1620030322, 4171671601
1640503518, 4170950781
1660956077, 4171351754
1680409090, 4171282230
1700839172, 4173041395
1720347103, 4171265824
1740813112, 4172871021
1760253672, 4171472987
1780700174, 4171723160
1800082505, 4171315595
1820603311, 4172055134
1841057107, 4171801884
1860500178, 4172853081
1880929955, 4173025313
1900405631, 4171154731
1920819563, 4168674149
1940251828, 4170977194
1960702661, 4171887818
1980068706, 4170877670
2000495593, 4172030464
2020895135, 4171456058
2040321289, 4596715692
2061036529, 4596902280
2080484503, 4596795559
2100919276, 4681072733
2120332244, 4596880165
2140790212, 4596835849
2160274168, 4596505808
2180709196, 4597041491
2200085266, 4681054180
2220547779, 4597006241
2241016350, 4596989686
2260494759, 4681126425
2280894057, 4596627286
2300389578, 4596662197
2320836422, 4596955460
2340277697, 4596733642
2360723940, 4680991992
2380129551, 4680963573
2400607085, 4596571902
2421073219, 4596853700
2440551114, 4597074899
2460977595, 4596768759
2480444285, 4596548929
2500939686, 4597024092
2520374131, 4681013916
2540880690, 4596697708
2560365450, 4597058753
2580883192, 4596972331
2600299101, 4681105400
2620751398, 4681036340
2640232021, 4596644407
2660653977, 4596751380
2680019450, 4596680927
2700495097, 4596528960
2720760748, 4596609197
2740138963, 4596476522
2760602980, 4596938308
2781053812, 4596589990
2800506313, 4596921429
2820991277, 4596814870
2840458739, 5100575445
2860890841, 5101311767
2880363516, 5100634434
2900860551, 5100539590
2920251434, 5100503551
2940618626, 5100557645
2961078247, 5101344822
2980793029, 5100417099
3000140047, 5100521278
3020550713, 5100726016
3041026202, 5100464276
3060753851, 5101328642
3080131582, 5100483015
3100582610, 5101361583
3120985988, 5100691199
3140385086, 5100444203
3160831119, 5100673381
3180309164, 5100709165
3200777533, 5100653210
3220278633, 5101275598
3240708066, 5101294669
3260088969, 5100611790
3280532517, 5573626496
3300980238, 5639887422
3320512575, 5573554698
3340910115, 5573591426
3360306448, 5639800661
3380690385, 5573571715
3400067023, 5573679002
3420430949, 5573492517
3440822094, 5573535045
3460274038, 5573513753
3480443236, 5573411618
3500899142, 5573609588
3520262856, 5573434390
3540602412, 5573473374
3560959942, 5573454394
3580399014, 5573661006
3600829791, 5573643792
3620362248, 5639771179
3640835030, 5573383400
3660272747, 6105967965
3680681607, 6305998125
3701086075, 6306169020
3720484031, 6106075689
3740900394, 6305954409
3760280007, 6106039795
3780753398, 6105907571
3800273459, 6306016610
3820652235, 6105930597
3840039168, 6106057674
3860500300, 6306054604
3880969327, 6306132243
3900353046, 6105809739
3920795562, 6106022334
3940241046, 6305977753
3960674660, 6306220272
3980068863, 6105787152
4000428152, 6306075090
4020828790, 6105756398
4040235895, 6106004064
4060847229, 6105884901
4080290946, 6306186202
4100744698, 6306150715
4120184536, 6105948663
4140618532, 6105851786
4160965470, 6306203617
4180403885, 6306238571
4200805560, 6105986304
4220217212, 6105829650
4240550271, 6306114529
4260216280, 6305924080
4280957863, 6106095899
4300274818, 6306095219
4320604667, 6650242218
4341021450, 6650012709
4360381238, 6650073376
4380264330, 6650033701
4400573857, 6650174278
4420997908, 6850176164
4440432859, 6650208145
4460972369, 6650157871
4480407507, 6650258840
4500796135, 6649949633
4520035846, 6650224886
4540417838, 6650123514
4560772581, 6650140449
4580045410, 6850114888
4600257606, 6850082160
4620569459, 6650091178
4640969602, 6850138137
4660393245, 6650107640
4680679582, 6850158097
4700311664, 6650191424
4720641966, 6650053019
4740995207, 6649988568
4760415291, 7167833314
4780681002, 7167815334
4801056543, 7167797723
4820397142, 7167694512
4840750906, 7167968891
4860026293, 7191533127
4880357793, 7167762595
4900994290, 7167927824
4920377050, 7191489845
4940850176, 7167779891
