name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size

1tpub, y, 4, 1, 1.172963, 1.728063, 1.183987, 7, 10, u, 1
10tpub, y, 4, 10, 11.977963, 1.901700, 1.019103, 79, 100, u, 1
50tpub, y, 4, 50, 46.375604, 1.651134, 1.098707, 354, 500, u, 1
100tpub, y, 4, 100, 89.137359, 1.794732, 1.323771, 660, 1000, u, 1
200tpub, y, 4, 200, 167.606028, 1.956953, 1.502058, 1277, 2000, u, 1
400tpub, y, 4, 400, 178.750538, 1.649567, 2.453418, 1317, 4000, u, 1
600tpub, y, 4, 600, 166.582273, 1.238397, 2.605243, 1186, 6000, u, 1
1tp1b, y, 4, 1, 1.047237, 1.549081, 1.017604, 7, 10, 1, 1
10tp1b, y, 4, 10, 1.326414, 0.276477, 0.901102, 10, 100, 1, 1
50tp1b, y, 4, 50, 1.303891, 0.056975, 0.422330, 10, 500, 1, 1
100tp1b, y, 4, 100, 1.315123, 0.024622, 0.257819, 10, 1000, 1, 1
200tp1b, y, 4, 200, 1.273824, 0.013265, 0.197918, 10, 2000, 1, 1
400tp1b, y, 4, 400, 1.166005, 0.009336, 0.212165, 9, 4000, 1, 1
600tp1b, y, 4, 600, 1.404364, 0.004168, 0.098488, 11, 6000, 1, 1
1tp100b, y, 4, 1, 1.198723, 1.634865, 0.824873, 8, 10, 100, 1
10tp100b, y, 4, 10, 10.231975, 1.642293, 0.915062, 77, 100, 100, 1
50tp100b, y, 4, 50, 45.168083, 1.536722, 1.058046, 345, 500, 100, 1
100tp100b, y, 4, 100, 85.526611, 1.581274, 1.260164, 624, 1000, 100, 1
200tp100b, y, 4, 200, 94.154486, 0.893964, 1.265766, 676, 2000, 100, 1
400tp100b, y, 4, 400, 84.142132, 0.420996, 0.951276, 673, 4000, 100, 1
600tp100b, y, 4, 600, 85.077507, 0.285646, 0.817043, 667, 6000, 100, 1
