sent, rec
2658, 2698772899
10474862, 2698190180
20914707, 2697644945
30324642, 2697526692
40738006, 2696280142
50075147, 2697664983
60502370, 2698234773
70921088, 2698441273
80340466, 2896379870
90758580, 2698522385
100118854, 2698792721
110591653, 2697778744
121044632, 2698562500
130476969, 2698727004
140919948, 2698255387
150326407, 2698603294
160753893, 2697584828
170103444, 2698297395
180542557, 2698045848
190965355, 2696367891
200409832, 2696225242
210843245, 2698501975
220264042, 2698067510
230691918, 2896324194
240034165, 2697845633
250467712, 2698353059
260889706, 2698129114
270338748, 2697563719
280766049, 2698422600
290095680, 2697685130
300579838, 2697891037
310996445, 2698023329
320415521, 2698461693
330867326, 2696346090
340295261, 2698000719
350726372, 2697937121
360064206, 2698482188
370481771, 2698699984
380926049, 2698109129
390380791, 2698659849
400847945, 2696306324
410318373, 2697800428
420770160, 2698621856
430277921, 2697868039
440732019, 2696390220
450997924, 2696431860
460430442, 2698641185
470870428, 2698163615
480310867, 2697823042
490744496, 2697605029
500203125, 2697913321
510657956, 2697731991
520023128, 2698680534
530447322, 2697958796
540890624, 2698747243
550313161, 2697625395
560749953, 2698542688
570105923, 2698276181
580546253, 2698400189
590072092, 2698318585
600571843, 2696410459
611005112, 2698089697
620439730, 2696453350
630868645, 2698212473
640596513, 2896355613
650044912, 2698582545
660498689, 2698378414
670930741, 2697756730
680347938, 2697979795
690762659, 3193449802
700348461, 3160942121
710814748, 3193346078
720274042, 3160860491
730728419, 3162576645
740167176, 3160777194
750660166, 4730006834
760997387, 3193431343
770417627, 3160879736
780883243, 4729975149
790369335, 3160922190
800873782, 3160625904
810274190, 3160509384
820731687, 3193391755
830986213, 3162755457
840448194, 3160751438
850966310, 4730232196
860397288, 3160983631
880135270, 3160902321
890645271, 3160697987
900339308, 4730153988
910815426, 3160962655
920242859, 3160840520
930668728, 3193369171
940026161, 4730291114
950474223, 3193295121
960926784, 3193322997
980867132, 3162619787
990283309, 4730123447
1000763758, 4730194281
1010172576, 3160447460
1030894652, 3162538582
1040306191, 3160821385
1050778325, 4730029868
1060137840, 3160800764
1070580540, 3162793461
1081009420, 3162598294
1090479119, 3160664063
1100944039, 3160592857
1110341919, 3162676891
1120787007, 3160727428
1130137175, 3193411259
1140588265, 3162697160
1151018979, 3162735785
1160407060, 4730254364
1170824394, 3162656848
1180247804, 3162775198
1190723098, 3162715224
1200083747, 3162638573
1210474520, 3684773431
1220947059, 3683178271
1230395143, 3684922442
1240808852, 3684852034
1250209955, 3683555355
1260599477, 3682894808
1271024223, 3683311998
1280518134, 3682724330
1290039525, 4208257358
1300449791, 4208153642
1311005858, 3683043460
1320458343, 3684943451
1330875507, 3682916499
1340303614, 3684812326
1350738703, 3683485520
1360084653, 3683134610
1370508984, 3683620545
1380937758, 3683433098
1390379308, 3683599058
1400696312, 3684794114
1410112466, 3683215627
1420544963, 3685057256
1430954287, 3683156584
1440402568, 3685001330
1450831260, 3883384428
1460261412, 4208131008
1470681699, 3883303049
1480019435, 3883405520
1490440865, 3685019423
1500885566, 3682781605
1510338777, 3683352685
1520770329, 3883344611
1530771450, 3683256657
1540052107, 3684751499
1550485039, 3682871750
1560909412, 3684872005
1570336357, 3683373049
1580774544, 3682825948
1590113082, 3683275629
1600535252, 3683067484
1610999395, 3682939295
1620450070, 4730082817
1630877910, 3682988927
1640333897, 3684983097
1650817775, 3683508924
1660293961, 3682756331
1670737169, 3683411916
1680031715, 3684832165
1690496371, 3683453255
1700938642, 3683090005
1710387064, 3685038149
1720846244, 3683393350
1730290274, 3682803789
1740714154, 3883364189
1750051388, 3883279924
1760506465, 3684963947
1770990532, 3682850419
1780992155, 3683112843
1790403016, 3683576028
1800833410, 3683237278
1810276155, 3883249979
1820708373, 3684891346
1830073489, 3683197388
1840513378, 4730273441
1850955613, 3683334035
1870920154, 4730213901
1880341326, 3683018464
1890844334, 3883323242
1900437427, 3683531641
1910828407, 4208654479
1920206031, 4411322370
1930660088, 4208634643
1941009024, 4208298747
1950454426, 4208234939
1960846177, 4208752265
1970306437, 4208360641
1980753572, 4208694076
1990118147, 4208105163
2000562529, 4208550351
2011024481, 4208402017
2020422512, 4208339957
2030869642, 4208673923
2040230524, 4208210016
2050654365, 4208382920
2060034331, 4208278399
2070474519, 4208592886
2080961619, 4208071933
2090413477, 4730349175
2100863551, 4730104114
2110307570, 4208806388
2120753157, 4208713985
2130106381, 4730368267
2140596898, 4411366608
2151062751, 4208528379
2160252975, 4730176030
2170693644, 4208173947
2180485809, 4208441854
2190914085, 4411294087
2200336052, 4208613816
2210795185, 4208483697
2220193555, 4411345236
2230633532, 4208733122
2240995711, 4208319791
2250428510, 4208506797
2260876603, 4208772446
2270292869, 4208422140
2280763053, 4208572981
2290054449, 4730668138
2300516143, 4785615724
2311001296, 4785526912
2320477627, 4784303121
2340298563, 4730964013
2350597384, 4730945352
