sent, rec
1834, 2589225909
10430729, 2589021175
20821618, 2589210248
30144430, 2589038065
40546311, 2588956607
50958020, 2589109864
60358433, 2589300069
70745234, 2589190765
80062898, 2789520828
90457355, 2789540350
100868024, 2588972309
110277740, 2789607816
120698045, 2589273223
130011143, 2589256896
140398996, 2589174485
150782217, 2589317282
160089450, 2588775458
170695710, 2588857238
181073850, 2588987749
190468775, 2588832827
200857373, 2588815793
210285371, 2589125997
220664389, 2588908422
231022829, 2589093311
240341456, 2589004182
250669141, 2588891920
260013517, 2789500043
270418065, 2589076917
280801235, 2589158666
290054689, 2588940467
300428443, 2588923716
310802463, 2789557664
320056116, 2789464603
330489422, 2588876028
340871689, 2589141991
350220219, 2588797386
360622183, 2588710854
371021614, 2589060675
380401259, 2589241190
390792753, 2789586762
400176905, 3070745940
410616572, 3072547999
420953723, 3088399874
430338890, 3072660914
440730688, 3072724817
450591915, 3072564219
460975790, 3072613071
470305656, 3071038331
480693487, 3072676585
490010662, 3070995853
500439098, 3072427356
510819524, 3072398792
520073008, 3072482030
530470156, 3072464453
540871482, 3088380346
550214343, 3088434960
560616819, 3072597244
571009624, 3088451916
580393370, 3070772790
590942218, 3072446018
600391280, 3070815543
610780557, 3088485085
620088974, 3072708305
630476027, 3070956821
641087418, 3070834528
650570998, 3072629112
660946581, 3088418311
670340418, 3088354523
680712719, 3070795604
690031205, 3070904020
700419579, 3070880942
710804762, 3088467901
720120053, 3072692486
730506342, 3072531904
740927665, 3072498408
750306460, 3072580237
760701144, 3072644999
770015119, 3070932031
780404231, 3070979256
790785198, 3072515450
800151597, 3608089595
810554782, 3606700077
820945360, 3606476959
830765432, 3606805878
840084074, 3606574770
850518198, 3606752496
860893352, 3606682632
870272707, 3607863757
880652947, 3608005134
891026137, 3631094688
900440663, 3607945478
910825532, 3608140721
920126417, 3608071591
930519525, 3630950460
940896383, 3606823100
950300693, 3606391653
960621989, 3608174589
971019829, 3607928717
980404796, 3608107314
990790640, 3606515613
