name, version, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
t1r1, x, 4, 1, 1.000000, 1.241900, 0.135462, 10, 10, 300, 1
t2r1, x, 4, 1, 1.000000, 1.208530, 0.090582, 10, 10, 300, 1
t3r1, x, 4, 1, 1.000000, 1.364512, 0.243379, 10, 10, 300, 1
t1r25, x, 4, 25, 24.375958, 1.416035, 0.143918, 250, 250, 300, 1
t2r25, x, 4, 25, 25.000000, 1.395511, 0.122104, 250, 250, 300, 1
t3r25, x, 4, 25, 25.000000, 1.350689, 0.129315, 250, 250, 300, 1
t1r50, x, 4, 50, 49.844277, 1.370208, 0.145772, 500, 500, 300, 1
t2r50, x, 4, 50, 50.000000, 1.434362, 0.168183, 500, 500, 300, 1
t3r50, x, 4, 50, 49.488039, 1.378009, 0.151940, 500, 500, 300, 1
t1r100, x, 4, 100, 100.000000, 1.527259, 0.188450, 1000, 1000, 300, 1
t2r100, x, 4, 100, 97.445913, 1.423583, 0.182871, 1000, 1000, 300, 1
t3r100, x, 4, 100, 97.600657, 1.438973, 0.189587, 1000, 1000, 300, 1
t1r200, x, 4, 200, 200.000000, 1.719293, 0.176605, 2000, 2000, 300, 1
t2r200, x, 4, 200, 188.370784, 1.670517, 0.204797, 2000, 2000, 300, 1
t3r200, x, 4, 200, 200.000000, 1.592983, 0.194650, 2000, 2000, 300, 1
t1r400, x, 4, 400, 220.116107, 6.195907, 2.475691, 4000, 4000, 300, 1
t2r400, x, 4, 400, 208.954818, 5.938110, 2.797357, 4000, 4000, 300, 1
t3r400, x, 4, 400, 203.747140, 6.034280, 2.812848, 4000, 4000, 300, 1
t1r600, x, 4, 600, 200.652133, 9.107880, 4.627301, 4634, 6000, 300, 1
t2r600, x, 4, 600, 202.857095, 8.824752, 4.542717, 4624, 6000, 300, 1
t3r600, x, 4, 600, 199.166171, 9.561307, 4.568501, 4591, 6000, 300, 1
t1r800, x, 4, 800, 207.946109, 9.867224, 5.121772, 4800, 8000, 300, 1
t2r800, x, 4, 800, 199.529494, 10.178391, 4.865890, 4510, 8000, 300, 1
t3r800, x, 4, 800, 205.602034, 9.882408, 5.236029, 4789, 8000, 300, 1
t1r1000, x, 4, 1000, 201.805565, 10.522127, 5.515962, 4625, 10000, 300, 1
t2r1000, x, 4, 1000, 207.045306, 10.637191, 5.555557, 4800, 10000, 300, 1
t3r1000, x, 4, 1000, 209.013983, 10.493093, 5.380783, 4891, 10000, 300, 1
