sent, rec
33506, 1484597679
10456359, 1484579980
20843694, 1484561064
30228685, 1484542367
40617191, 1484522912
50999337, 1484500659
60389043, 1484476646
70766144, 1484437600
80211825, 1484410103
90597586, 1484375157
101028606, 1284184147
110438596, 1792607630
120923474, 1792588489
130369382, 1792570326
140814645, 1792551480
150243991, 1792533354
160677729, 1792515350
170030418, 1792497847
180462910, 1792477927
190889127, 1792458059
200305069, 1792439337
210736352, 1792416904
220101035, 1792391238
230553145, 1792358170
240995549, 1635966707
250437134, 1635949048
260904155, 1635931681
270337456, 1635913492
280778888, 1635893991
290224755, 1635874894
300637940, 1635855738
311071944, 1635836254
320490850, 1635816298
330058593, 1635793244
340481688, 1635759780
350866985, 1635714010
360292615, 1635693431
370707662, 1635673010
380063947, 1635645240
390525271, 1635616690
400976522, 2104014921
410409983, 2103996352
420767953, 2103978668
430119429, 2103960235
440563427, 2103942093
450937719, 2103921117
460356618, 2103899323
470630656, 2103867881
481035665, 2035500902
490478035, 2035484339
500923157, 2035467221
510436058, 2035448938
520855029, 2035430940
530296386, 2035411973
540737755, 2035394474
550090200, 2035377764
560536498, 2035359275
570912496, 2035338856
580496935, 2035319340
590906332, 2035282915
600301405, 2035264556
610672250, 2035245457
621086201, 2035227656
630455597, 2035207061
640882850, 2035178238
650406762, 2035161269
660741639, 2035143487
670389542, 2035126468
680831656, 2035106986
690259625, 2035085360
700650633, 2035057767
711025066, 2034009754
720394977, 2033992032
730748674, 2033975265
740130708, 2033954194
750618683, 2033936474
760027180, 2033916798
770402803, 2033897180
780823681, 2033874097
790237339, 2033842504
800701098, 2585626068
810058134, 2585605519
820439597, 2585584752
830877466, 2585553155
840287682, 2412563660
850733471, 2412545502
861014880, 2412525958
870383495, 2412506691
880793431, 2412487826
890231032, 2412467180
900656381, 2412438636
910099754, 2411330604
920496441, 2411311331
930910643, 2411293010
940338054, 2411271091
950683517, 2411249954
960053869, 2411226552
970438855, 2411203378
980863616, 2411179844
990240777, 2411150978
1000697260, 2907065002
1010124727, 2907046423
1020566345, 2907029345
1030990060, 2907011591
1040326585, 2906994074
1050735192, 2906975765
1060271983, 2906956110
1070675752, 2906934378
1080034444, 2901711610
1090478719, 2901693267
1100924185, 2792083425
1110386463, 2792065297
1120822517, 2792047393
1130245408, 2792029890
1140689193, 2792011018
1150051004, 2791991837
1160510616, 2791974425
1170995460, 2791953827
1180441178, 2791934294
1190860461, 2791912517
1200267233, 2791878606
1210730488, 2791859731
1220086885, 2791840440
1230474885, 2791822167
1240852024, 2791804696
1250277593, 2791783921
1260769980, 2791764580
1270125841, 2791738140
1280506278, 2791717751
1290425152, 2791694582
1300844723, 2791676688
1310225952, 2791658165
1320657943, 2791640034
1330297975, 2791622275
1340707540, 2791603278
1351056189, 2791582879
1360473161, 2791562242
1370841951, 2791539165
1380248342, 2791519338
1390609519, 2791499424
1400445088, 3293796979
1410935588, 3293775275
1420383236, 3264381734
1430819373, 3264362578
1440226824, 3264343477
1450545501, 3264324215
1460997128, 3264303905
1470433639, 3264284111
1480874337, 3264263548
1490788761, 3203227169
1500106907, 3203207172
1510600644, 3203188574
1520968429, 3203170550
1530429480, 3203151676
1540846843, 3203131919
1550277964, 3203112622
1560670546, 3203092468
1570443181, 3203073902
1580788473, 3203054897
1590074092, 3203035054
1600657177, 3203015981
1611014898, 3202997598
1620444685, 3202977218
1630840991, 3202953408
1640127653, 3202929705
1650579051, 3202892649
1661013365, 3202849142
1670444877, 3202028690
1680868851, 3202011609
1690325072, 3201992932
1700768681, 3201975071
1711496385, 3201958775
1720892691, 3201941547
1730315584, 3201924098
1740714339, 3201902493
1750516185, 3700940425
1760928155, 3700922210
1770386122, 3700902878
1780841793, 3700880116
1790304887, 3700839086
1800842316, 3700820236
1810261548, 3700797506
1820627094, 3700769850
1831056573, 3654888374
1840524663, 3567660804
1850965097, 3567643949
1860325977, 3567627312
1870779344, 3567608847
1880093104, 3567590315
1890574093, 3567571090
1900981349, 3567553066
1910097381, 3567534384
1920791987, 3567513772
1930681847, 3567494785
1941031409, 3567476974
1950454491, 3567459344
1960910887, 3567440123
1970339882, 3567421040
1980691990, 3567400847
1991049058, 3567379992
2000443304, 3567349556
2010875247, 3567331154
2020297109, 3567312684
2030662482, 3567293183
2040731810, 3567274006
2050039796, 3567254993
2060436235, 3567236895
2070737641, 3567217341
2080015300, 3567196827
2090314319, 3567175127
2100691531, 3567155872
2110266063, 3567135433
2120609420, 3567114159
2130118148, 3567094871
2140101619, 3567071797
2150936019, 4041588979
2160315744, 4041572123
2170672306, 4041553179
2181040047, 4041534281
2190441492, 4041516788
2200836636, 4041497431
2210077950, 4041477746
2220490281, 4041458878
2230836126, 4041437110
2240225361, 4015802401
2250438964, 4015785603
2260767165, 4015767710
2271086728, 4015749014
2280120316, 4015731737
2290502176, 4015714028
2300920061, 4015695437
2310325707, 3946328233
2320596912, 3946310891
2330224399, 3946291298
2340496401, 3946273425
2350782252, 3946256732
2360123038, 3946239650
2370837820, 3946222744
2380109270, 3946203363
2390482609, 3946184055
2400824150, 3946162166
2410258439, 4417135640
2420765077, 4417117371
2430013583, 4417094842
2440385234, 4416040904
