sent, rec
28933, 1496566128
4402082, 1299136379
6722829, 1299118137
10036115, 1299099900
13350677, 1299080637
16680036, 1299058443
21005091, 1299020345
24354215, 1297522220
27675421, 1297494406
30999203, 1297474054
33346803, 1297453055
36716259, 1297434317
41079649, 1297415686
44404225, 1297395065
46710235, 1297375074
50020519, 1297350530
53346055, 1297328129
57677905, 1297306777
61002333, 1297277625
64351369, 1297260008
67736927, 1297241562
70077935, 1297222217
73439403, 1297204391
76755019, 1297185317
80027626, 1297167473
84357152, 1297143817
86710285, 1297123416
90040761, 1297104590
94359566, 1297083665
97688072, 1297060803
100987295, 1297039820
104350404, 1297019297
106702688, 1297000172
110065499, 1296976254
113385119, 1296954950
116703661, 1296935802
121040018, 1296914757
124353995, 1296891804
127733475, 1296872468
130058534, 1296848996
133373599, 1296828860
136748370, 1296802194
140048368, 1296776321
143491986, 1296746725
146878537, 1296694894
150262238, 1296654916
153579718, 1296626093
157603211, 1296597674
160866316, 1296566432
164265752, 1296532724
167651607, 1296476295
171065990, 1853366480
173427262, 1853346508
176738062, 1853327076
181070721, 1853307055
184407655, 1853286244
186719126, 1853268352
190292232, 1853250398
193599123, 1853229366
196866420, 1853210239
200268008, 1853188999
203654755, 1853168755
207039287, 1853145945
210433278, 1853111435
213814361, 1853081467
217190911, 1706523347
220465324, 1706497869
224057697, 1705530041
227447500, 1705508973
230829562, 1705478280
234217661, 1705460169
237572680, 1705442984
240837208, 1705425300
244286317, 1705407759
247665749, 1705389700
251055064, 1705371502
253383008, 1705352183
256700649, 1705332972
261041123, 1705313858
264352529, 1705294148
267734537, 1705272459
270092019, 1705250198
273407367, 1705218792
276715776, 1705197604
281046819, 1705177190
284350988, 1705147723
286680803, 1705129052
290777802, 1705107559
294103111, 1705088022
297399468, 1705068715
300666259, 1705049873
304089220, 1705029663
307468967, 1705011054
310855333, 1704991015
314234353, 1704973369
317537172, 1704953086
320804822, 1704935015
324205653, 1704914737
327577283, 1704895151
331012374, 1704873420
334411860, 1704855284
336769111, 1704834422
340028053, 1704813972
344354929, 1704792700
346699636, 1704769492
350017693, 1704735879
353372060, 1704715948
356698448, 1704696474
361034429, 1704676818
364376343, 1704656296
366689269, 1704635146
370070462, 1704612460
373394985, 1704590450
376714946, 1704569499
381056852, 1704548499
384402949, 1704526228
386720228, 1704504319
390073109, 1704482309
393403049, 1704459333
396719357, 1704436058
401064624, 1704415431
404406592, 1704393528
406729232, 1704372335
410044491, 1704350373
413368702, 1704327601
416679479, 1704306616
421028440, 1704282595
424355509, 1704259380
426687373, 1704236275
430247396, 1704209157
433553028, 2206320259
436870920, 2206301464
440270039, 2206283769
443658317, 2206264618
447038513, 2206246740
450440287, 2206227269
453836162, 2206208490
457137736, 2206190169
460387350, 2206171543
463765169, 2206150883
467149484, 2206131224
470585311, 2206109437
473960565, 2206086300
477258175, 2206063006
480523453, 2206028284
483944632, 2123881969
486933046, 2123861264
490258060, 2123828579
493562073, 2123808967
496831736, 2123791768
500128228, 2123772787
503373702, 2123754289
506692627, 2123736028
510017906, 2123715892
514414231, 2123696711
516740856, 2123676081
521072498, 2123656759
526759283, 2123637590
526861894, 2123618578
530132128, 2123595833
533467406, 2123568149
536843722, 2123549450
540227619, 2123531161
543644072, 2123511361
547034615, 2123491247
550431668, 2123470954
553820578, 2123453034
557126775, 2123431184
560396424, 2123411766
563783885, 2123390468
567160547, 2123369529
570612912, 2123348315
573992975, 2123327331
577291001, 2123304674
580552034, 2123284406
583928949, 2123263214
587301566, 2123242461
590679181, 2123218996
594051837, 2123181786
597357986, 2123160833
600618142, 2123139699
604009358, 2123118078
607389627, 2123095783
610772808, 2123073496
614153650, 2123052289
617112884, 2123030275
620446360, 2123010035
623825121, 2122987961
627207525, 2122966053
630589899, 2122945021
633917374, 2122923468
637267395, 2122902323
640529259, 2122878468
643924889, 2122856326
647299878, 2122804008
650682628, 2122782174
654058540, 2122743948
657359655, 2122725896
660620071, 2122707766
664005666, 2122689700
667388757, 2122672363
670817583, 2122654120
674204452, 2122632806
677510158, 2122611363
680784137, 2122592282
684165527, 2122573560
687546780, 2122550480
690921104, 2122530358
694302574, 2122507511
697693527, 2122480783
701001977, 2635481260
704351332, 2635461416
706682494, 2635432854
711066003, 2635402970
713395894, 2635383324
716703691, 2635363832
721041309, 2635339837
724350925, 2635321559
727728558, 2635303296
730043600, 2635283385
733357225, 2635264635
736726312, 2635243050
741076325, 2635220413
743360442, 2635185165
746681585, 2635153768
750829789, 2635129277
754149363, 2635109930
757459227, 2635088832
760744367, 2635070459
764119583, 2635050263
767506262, 2635030595
770935001, 2635010821
774325845, 2634988823
777742085, 2634963075
781056905, 2634942583
784354604, 2634921821
787732945, 2634901308
790036752, 2634880086
793380575, 2634858770
796699123, 2634838053
801035617, 2634817075
804395908, 2634794286
806715530, 2634767622
810035382, 2634746733
813351577, 2634725729
817576682, 2634702740
820807827, 2634679749
824147214, 2634656126
827493299, 2634633134
830832950, 2634606866
834195920, 2634573313
837502157, 2634552151
840739640, 2634530288
844088698, 2634507662
847435366, 2634485901
850796434, 2634464419
854154993, 2634442483
856711294, 2634420521
861027650, 2634396290
864352304, 2634361831
867693818, 2634332836
871068870, 2634313531
873365996, 2634277012
877662157, 2634258012
880277959, 2634237041
883565606, 2634218046
886913834, 2634199898
890261020, 2634176805
893560236, 2634157098
896782764, 2634139278
900009671, 2634121104
904355437, 2634102250
907722016, 2634083819
911068812, 2634064035
913358810, 2634044907
917653188, 2634022184
920948910, 2633912990
924302592, 2633892666
927676939, 2633873661
931038544, 2633853674
934413550, 2633834120
936736774, 2633814316
941025782, 2633793049
944350594, 2633772970
947665756, 2633750706
950963792, 2633729345
954313986, 2633706597
957584062, 2633685117
960843526, 2633664260
964185397, 2633641699
967532971, 2633619634
970913998, 2633598096
974275168, 2633575899
977541199, 2633553662
980773169, 2633529874
984123148, 2633504125
987473964, 2633469295
990824268, 2630526221
994198654, 2630503211
997471812, 2630482955
1000704501, 2630461839
1004092250, 2630440890
1007448037, 2630419476
1010790312, 2630398620
1014136676, 2630377493
1017414776, 2630354721
1020646222, 2630331484
1024004832, 2630307487
1027394874, 2630234936
1030750619, 2630216557
1034098345, 2630197340
1037407833, 3337015055
1040666197, 3336991292
1044021911, 3336965889
1047369177, 3229885896
1050746899, 3229869266
1054100424, 3229848858
1057375230, 3229829342
1060656981, 3229808637
1064004161, 3229789885
1067381771, 3229763767
1070755965, 3229746695
1074145302, 3229730077
1076806044, 3229709616
1080014323, 3229691636
1084355733, 3229672636
1087743522, 3229653627
1090057799, 3229634740
1093370086, 3229613896
1096687257, 3229595184
1101049525, 3229577601
1103361188, 3229558634
1106703052, 3229539951
1110027866, 3229519518
1120389854, 3229501063
1120497899, 3229481230
1120597583, 3229460640
1123922257, 3229442510
1127585054, 3229419262
1130950667, 3229399665
1134336027, 3229380979
1137733563, 3229359692
1140009542, 3229340755
1144350198, 3229317633
1146704114, 3229291000
1150024055, 3229266442
1154407219, 3229239601
1156723101, 3229208518
1161045139, 3229171134
1164390685, 3229130867
1166733630, 3227810689
1170075761, 3227779530
1173423662, 3227748196
1176741063, 3227721570
1181072597, 3227694211
1184410359, 3227666888
1186727626, 3227640138
1190048131, 3227606412
1193371887, 3227571159
1196685521, 3227540456
1201048427, 3227490858
1204350580, 3227469241
1207741330, 3227449160
1210768943, 3227427025
1214085028, 3227404657
1217526848, 3227382787
1220844133, 3227320328
1224224828, 3227300658
1227622836, 3227282283
1231032376, 3227263535
1233375262, 3227245596
1236729004, 3227227741
1241078909, 3227207594
1243346611, 3227173600
1247727890, 3227155282
1250057389, 3227138109
1253375302, 3227120624
1256740508, 3227103031
1261081123, 3227084917
1264409395, 3227066070
1266824333, 3227047738
1270095852, 3227029370
1273439533, 3227007517
1276776189, 3226986916
1280038057, 3226958196
1284351780, 3226937090
1287732064, 3226916950
1290051197, 3226896785
1293376382, 3226874685
1300246086, 3226853894
1300416644, 3226834132
1303744456, 3226814435
1307120643, 3226794009
1310552494, 3226771668
1313861369, 3226752246
1317113979, 3226732864
1320354908, 3226713943
1323598728, 3226693371
1326867795, 3226674244
1330055609, 3226654721
1334397376, 3226633912
1336755869, 3226613544
