name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_500_4_300, y, 4, 500, 307.606289, 1.048419, 1.047241, 2753, 5000, 300, 1
test1_1000_4_300, y, 4, 1000, 296.152023, 0.554913, 1.002101, 2414, 10000, 300, 1
test2_100_4_300, y, 4, 100, 96.171248, 0.798509, 0.332403, 889, 1000, 300, 1
test3_100_4_300, y, 4, 100, 115.579271, 0.921380, 0.495298, 894, 1000, 300, 1
test4_2000_4_300, y, 4, 2000, 227.066672, 0.214896, 0.672482, 1960, 20000, 300, 1
test5_500_4_300, y, 4, 500, 251.259832, 1.461626, 2.001052, 2116, 5000, 300, 1
test6_50_4_300, y, 4, 50, 54.212963, 0.678204, 0.244946, 462, 500, 300, 1
test7_50_4_300, y, 4, 50, 50.662112, 0.899157, 0.432894, 464, 500, 300, 1
test8_2000_4_300, y, 4, 2000, 300.735563, 0.254219, 0.744518, 2306, 20000, 300, 1
test9_1000_4_300, y, 4, 1000, 288.228303, 0.613666, 1.114003, 2509, 10000, 300, 1
