name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_500_4_300, y, 4, 500, 374.413664, 1.208764, 0.997483, 3134, 5000, 300, 1
test1_100_4_300, y, 4, 100, 97.257952, 0.804249, 0.362513, 901, 1000, 300, 1
test2_2000_4_300, y, 4, 2000, 312.743806, 0.281497, 0.806546, 2418, 20000, 300, 1
test3_1000_4_300, y, 4, 1000, 379.580452, 0.631562, 1.151497, 2625, 10000, 300, 1
test4_50_4_300, y, 4, 50, 58.813763, 0.799796, 0.432356, 463, 500, 300, 1
test5_100_4_300, y, 4, 100, 103.398863, 0.816638, 0.306935, 905, 1000, 300, 1
test6_2000_4_300, y, 4, 2000, 344.024711, 0.286760, 0.768690, 2564, 20000, 300, 1
test7_50_4_300, y, 4, 50, 56.002435, 0.725095, 0.290370, 464, 500, 300, 1
test8_1000_4_300, y, 4, 1000, 366.942368, 0.664430, 1.145644, 2746, 10000, 300, 1
test9_500_4_300, y, 4, 500, 310.874710, 1.229536, 1.221622, 2685, 5000, 300, 1
