name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_1_4_99999999999, y, 4, 1, 1.059366, 0.465345, 0.201183, 9, 10, 99999999999, 1
test1_400_4_99999999999, y, 4, 400, 176.744109, 0.778932, 1.013276, 1671, 4000, 99999999999, 1
test2_200_4_99999999999, y, 4, 200, 183.468472, 0.657417, 0.400029, 1628, 2000, 99999999999, 1
test3_4000_4_99999999999, y, 4, 4000, 44.281295, 0.021519, 0.222269, 401, 40000, 99999999999, 1
test4_1000_4_99999999999, y, 4, 1000, 68.477512, 0.160442, 0.651487, 660, 10000, 99999999999, 1
test5_400_4_99999999999, y, 4, 400, 231.652378, 0.799143, 0.955212, 2023, 4000, 99999999999, 1
test6_200_4_99999999999, y, 4, 200, 209.864353, 0.836136, 0.398742, 1741, 2000, 99999999999, 1
test7_1500_4_99999999999, y, 4, 1500, 53.397931, 0.119230, 0.808871, 426, 15000, 99999999999, 1
test8_200_4_99999999999, y, 4, 200, 183.180720, 0.951652, 0.444346, 1736, 2000, 99999999999, 1
test9_200_4_99999999999, y, 4, 200, 183.494509, 0.811117, 0.379865, 1726, 2000, 99999999999, 1
test10_2000_4_99999999999, y, 4, 2000, 78.711399, 0.073549, 0.404301, 726, 20000, 99999999999, 1
test11_1_4_99999999999, y, 4, 1, 1.071214, 0.522995, 0.347265, 9, 10, 99999999999, 1
test12_1_4_99999999999, y, 4, 1, 1.074039, 0.913441, 0.796805, 9, 10, 99999999999, 1
test13_1000_4_99999999999, y, 4, 1000, 112.229917, 0.407555, 1.385613, 934, 10000, 99999999999, 1
test14_1000_4_99999999999, y, 4, 1000, 126.626148, 0.323735, 1.119254, 993, 10000, 99999999999, 1
test15_800_4_99999999999, y, 4, 800, 110.664747, 0.331467, 0.956611, 1017, 8000, 99999999999, 1
test16_800_4_99999999999, y, 4, 800, 101.415288, 0.261043, 0.793008, 932, 8000, 99999999999, 1
test17_400_4_99999999999, y, 4, 400, 232.136774, 0.735256, 0.903171, 2163, 4000, 99999999999, 1
test18_600_4_99999999999, y, 4, 600, 183.100253, 0.858211, 1.455893, 1725, 6000, 99999999999, 1
test19_100_4_99999999999, y, 4, 100, 108.216036, 0.591666, 0.254570, 921, 1000, 99999999999, 1
test20_1500_4_99999999999, y, 4, 1500, 70.280818, 0.087608, 0.483077, 609, 15000, 99999999999, 1
test21_1500_4_99999999999, y, 4, 1500, 83.875864, 0.097786, 0.464561, 753, 15000, 99999999999, 1
test22_2000_4_99999999999, y, 4, 2000, 112.378306, 0.115445, 0.549068, 984, 20000, 99999999999, 1
test23_1500_4_99999999999, y, 4, 1500, 86.405944, 0.184209, 0.944759, 728, 15000, 99999999999, 1
test24_2000_4_99999999999, y, 4, 2000, 77.800735, 0.105195, 0.657273, 734, 20000, 99999999999, 1
test25_1_4_99999999999, y, 4, 1, 1.187539, 0.525146, 0.340395, 9, 10, 99999999999, 1
test26_1000_4_99999999999, y, 4, 1000, 62.663488, 0.094637, 0.418243, 572, 10000, 99999999999, 1
test27_200_4_99999999999, y, 4, 200, 198.198450, 0.775803, 0.391839, 1748, 2000, 99999999999, 1
test28_50_4_99999999999, y, 4, 50, 49.838348, 0.446728, 0.140097, 471, 500, 99999999999, 1
test29_10_4_99999999999, y, 4, 10, 10.258099, 0.316566, 0.083428, 96, 100, 99999999999, 1
test30_2000_4_99999999999, y, 4, 2000, 76.925888, 0.068925, 0.391309, 667, 20000, 99999999999, 1
test31_400_4_99999999999, y, 4, 400, 174.040770, 1.123205, 1.450725, 1671, 4000, 99999999999, 1
test32_600_4_99999999999, y, 4, 600, 182.220142, 0.696469, 1.265265, 1689, 6000, 99999999999, 1
test33_1_4_99999999999, y, 4, 1, 1.067851, 0.495612, 0.220522, 9, 10, 99999999999, 1
test34_600_4_99999999999, y, 4, 600, 131.953357, 0.399236, 0.859214, 1112, 6000, 99999999999, 1
test35_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test36_10_4_99999999999, y, 4, 10, 10.411395, 0.371795, 0.134166, 95, 100, 99999999999, 1
test37_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test38_50_4_99999999999, y, 4, 50, 53.285639, 0.528326, 0.236534, 465, 500, 99999999999, 1
test39_1000_4_99999999999, y, 4, 1000, 151.156341, 0.468801, 1.393600, 1432, 10000, 99999999999, 1
test40_50_4_99999999999, y, 4, 50, 49.714145, 0.547758, 0.307626, 466, 500, 99999999999, 1
