sent, rec
2722, 881764794
2388540, 881036559
3672373, 881806590
5925952, 881151260
7195014, 880291873
8441485, 882531828
12702869, 882066247
12998865, 880605475
14266984, 879605207
15514898, 879728180
16769353, 883789346
19116739, 883752605
20480685, 881827941
21733145, 882776334
24063071, 880334537
25422568, 883699116
27755524, 881987578
29077652, 879682777
30263962, 880539019
32507232, 880928518
33755821, 880382266
36010999, 881464816
37264034, 882486124
38446973, 880756543
40696315, 882028318
41979496, 883826691
44233578, 880996067
45481730, 881526868
47733040, 882755322
48991192, 880950455
50182024, 881133664
52430456, 882592393
53685802, 881485055
55969896, 879810522
57275126, 882816462
58581931, 882714119
60837559, 881444147
62084212, 881112893
64331997, 883807726
65573152, 882108504
66794956, 879368478
69037229, 882145154
70293734, 881304667
72547119, 879971710
73797392, 879424634
75594747, 881376690
76780328, 882204442
79035818, 883623120
80278479, 883717138
82528816, 881423260
83771527, 881930167
85956039, 880247682
87133876, 882222142
88414296, 883602674
90670598, 882347272
91928272, 882796536
94110582, 880447005
95451559, 881016750
97638772, 881741365
98886184, 880361042
100079041, 879890777
102256614, 882696149
103442276, 881968677
105629645, 880094218
107098195, 882300399
109348130, 881593344
110596286, 880133963
111778521, 880163692
113961867, 882008759
115145598, 881675726
117327868, 882463775
118578700, 882656570
120829772, 881612879
122121122, 880727498
124374239, 880404130
125617443, 880013524
126810031, 880053007
129055268, 881090168
130317812, 881351701
132680594, 882325601
133971615, 881506398
135149972, 883660445
137337953, 880314430
138591803, 882510717
140413688, 882614294
142654473, 879513683
143908656, 880666154
145087873, 880270067
147338487, 882634428
148587960, 881785747
150835671, 881719715
152084880, 881168770
154265490, 880515893
155451331, 882570990
157646986, 879649770
158898605, 883678885
160078295, 881890261
162260829, 883642488
163521728, 879851550
165747153, 882421642
167001058, 879770296
169159993, 881187706
170420722, 881328272
172565894, 880201850
173736044, 880489705
176063320, 881870230
177305788, 883770082
178489819, 882186943
180740914, 880425879
181993070, 880585059
184245979, 880225031
185507512, 880857217
187757701, 881850606
189010240, 881244500
190210847, 880813784
192506160, 882675918
193757032, 881263224
196055631, 881550597
197319095, 882241209
198502691, 881206573
200757098, 881910219
202005460, 881949464
204264870, 883734763
205514724, 880896507
207775431, 880706772
209024149, 883555271
210245346, 880643958
212492259, 882733898
213787214, 881572316
215081142, 880624358
217266254, 880686488
218565339, 879931950
220855486, 879559401
222107022, 882047700
224370170, 883844110
225615824, 882368392
226799060, 882443806
229039283, 882551256
230300550, 883582313
232549037, 882085941
233799190, 882400071
235648492, 882127381
236825433, 881225293
239074090, 882261092
240338602, 880971599
242585164, 882165875
243837539, 881633672
246016397, 880562879
247193711, 880468556
249382809, 881056295
250677430, 881698172
251859530, 881653946
254060368, 881401242
255241642, 1212602328
260669967, 1211689562
260778664, 1211570057
260871671, 1211659725
262044373, 1211516795
264286123, 1211457060
265539010, 1211486458
267785111, 1212812602
269037474, 1212710931
270245587, 1211350532
272488304, 1211643500
273779648, 1212848804
276031489, 1212837621
277339398, 1212699365
278517009, 1211718621
280791388, 1212686143
282039419, 1212657150
284304913, 1211704147
285554603, 1212825779
286775536, 1212586432
289050478, 1212671313
290318487, 1212722727
292570558, 1212616517
293815390, 1211626347
296077348, 1212736642
297360716, 1212631105
298550916, 1212567218
300268996, 1211393430
302514507, 1212748662
303760543, 1212645167
305943900, 1211590810
307130549, 1211543552
309318561, 1212800440
310567097, 1212774291
311884414, 1211604762
314061457, 1212761441
315231533, 1212787438
317417906, 1211673543
318766453, 1211425489
321028192, 1344475889
322327639, 1346545529
323513270, 1343777373
325722461, 1344861725
327069500, 1343661298
329270386, 1343355287
330513453, 1343568034
332783117, 1343754571
334034796, 1344674984
335221209, 1344722725
337409049, 1345149577
338705340, 1346524638
340962875, 1343823287
342272633, 1343119350
343461374, 1343316333
345660445, 1346295501
346911437, 1346380777
349157272, 1345066894
350397334, 1344614848
352687959, 1346685683
353936664, 1346337630
355118109, 1344745165
357345161, 1345226631
358598770, 1344190379
360863737, 1343684858
362116949, 1344017962
364187462, 1346647726
365368999, 1344996354
