name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_50_4_99999999999, y, 4, 50, 48.933545, 0.571047, 0.214867, 460, 500, 99999999999, 1
test1_800_4_99999999999, y, 4, 800, 184.217936, 0.816510, 1.860968, 1706, 8000, 99999999999, 1
test2_10_4_99999999999, y, 4, 10, 10.307770, 0.488598, 0.257689, 95, 100, 99999999999, 1
test3_1000_4_99999999999, y, 4, 1000, 33.981313, 0.036357, 0.211424, 306, 10000, 99999999999, 1
test4_1500_4_99999999999, y, 4, 1500, 46.156665, 0.033883, 0.205516, 412, 15000, 99999999999, 1
test5_1_4_99999999999, y, 4, 1, 1.158625, 0.517497, 0.290190, 9, 10, 99999999999, 1
test6_1000_4_99999999999, y, 4, 1000, 142.653187, 0.221923, 0.665588, 1340, 10000, 99999999999, 1
test7_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test8_600_4_99999999999, y, 4, 600, 141.656757, 0.563908, 1.260739, 1320, 6000, 99999999999, 1
test9_4000_4_99999999999, y, 4, 4000, 14.025287, 0.008613, 0.193608, 79, 40000, 99999999999, 1
test10_1_4_99999999999, y, 4, 1, 1.088047, 0.475352, 0.179033, 9, 10, 99999999999, 1
test11_1_4_99999999999, y, 4, 1, 1.053652, 0.560500, 0.339292, 9, 10, 99999999999, 1
test12_2000_4_99999999999, y, 4, 2000, 47.901768, 0.035079, 0.271263, 455, 20000, 99999999999, 1
test13_200_4_99999999999, y, 4, 200, 168.218425, 0.974932, 0.579894, 1621, 2000, 99999999999, 1
test14_800_4_99999999999, y, 4, 800, 143.295796, 0.408804, 1.021614, 1333, 8000, 99999999999, 1
test15_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test16_1500_4_99999999999, y, 4, 1500, 107.013854, 0.162385, 0.741780, 939, 15000, 99999999999, 1
test17_2000_4_99999999999, y, 4, 2000, 114.598866, 0.234153, 1.248979, 797, 20000, 99999999999, 1
test18_600_4_99999999999, y, 4, 600, 53.985633, 0.130033, 0.465790, 482, 6000, 99999999999, 1
test19_50_4_99999999999, y, 4, 50, 49.724021, 0.522988, 0.181889, 469, 500, 99999999999, 1
test20_2000_4_99999999999, y, 4, 2000, 55.209579, 0.087354, 0.645729, 478, 20000, 99999999999, 1
test21_50_4_99999999999, y, 4, 50, 48.088534, 0.603376, 0.307907, 456, 500, 99999999999, 1
test22_10_4_99999999999, y, 4, 10, 10.534853, 0.423066, 0.152270, 95, 100, 99999999999, 1
test23_1_4_99999999999, y, 4, 1, 1.086214, 0.460367, 0.192353, 9, 10, 99999999999, 1
test24_400_4_99999999999, y, 4, 400, 180.648277, 0.607234, 0.850992, 1675, 4000, 99999999999, 1
test25_2000_4_99999999999, y, 4, 2000, 4.731018, 0.003070, 0.068583, 40, 20000, 99999999999, 1
test26_600_4_99999999999, y, 4, 600, 147.385846, 0.608960, 1.204777, 1260, 6000, 99999999999, 1
test27_800_4_99999999999, y, 4, 800, 120.255161, 0.367137, 1.049634, 1099, 8000, 99999999999, 1
test28_200_4_99999999999, y, 4, 200, 164.194675, 0.914718, 0.592578, 1588, 2000, 99999999999, 1
test29_1000_4_99999999999, y, 4, 1000, 146.716795, 0.269799, 0.793967, 1377, 10000, 99999999999, 1
test30_200_4_99999999999, y, 4, 200, 175.172521, 1.008418, 0.621454, 1638, 2000, 99999999999, 1
test31_100_4_99999999999, y, 4, 100, 95.969288, 0.697306, 0.308122, 878, 1000, 99999999999, 1
test32_100_4_99999999999, y, 4, 100, 93.610532, 0.664849, 0.298639, 903, 1000, 99999999999, 1
test33_1000_4_99999999999, y, 4, 1000, 49.029159, 0.063762, 0.321533, 441, 10000, 99999999999, 1
test34_200_4_99999999999, y, 4, 200, 175.395238, 0.904016, 0.586682, 1551, 2000, 99999999999, 1
test35_200_4_99999999999, y, 4, 200, 170.626635, 1.077558, 0.693450, 1586, 2000, 99999999999, 1
test36_800_4_99999999999, y, 4, 800, 131.564358, 0.313404, 0.841014, 1183, 8000, 99999999999, 1
test37_600_4_99999999999, y, 4, 600, 101.595401, 0.248538, 0.647095, 835, 6000, 99999999999, 1
test38_10_4_99999999999, y, 4, 10, 10.176031, 0.482860, 0.198344, 96, 100, 99999999999, 1
test39_400_4_99999999999, y, 4, 400, 210.692086, 0.807382, 1.021805, 1953, 4000, 99999999999, 1
test40_1500_4_99999999999, y, 4, 1500, 82.356312, 0.161171, 0.804095, 760, 15000, 99999999999, 1
