sent, rec
1624, 862838119
1368242, 861873720
2633156, 861808239
3881223, 861684788
5137188, 861385139
6412794, 861911425
7665604, 863064036
8905564, 861198441
11068995, 862947275
11263740, 862749255
13545267, 863402511
13835085, 861416817
15090457, 861505327
16337201, 863050231
17588414, 861179252
18836566, 862855625
20072900, 863387285
22269117, 861752308
23438442, 863231789
24614339, 861447746
25774757, 863430967
26942258, 861897739
28107495, 861794969
29241105, 863470939
30417274, 863150202
31613564, 861263914
32792750, 863484256
33963772, 863106983
35133790, 861479398
37319496, 861610076
37511049, 861580059
39749760, 863533670
41002991, 861712287
42215344, 861431564
43394495, 863321060
44562546, 862919161
45728073, 861658807
46891274, 863205703
48057377, 863121141
49299807, 863373731
50468926, 861217124
51648445, 862990707
52816258, 863521752
54020252, 861643696
55187402, 862976793
56369675, 862871553
58093870, 863163820
59299655, 861534659
60468264, 862780171
61631327, 861847358
62821135, 861737890
63988265, 861293601
65163082, 861927202
66385102, 863268812
67597500, 863457598
69783779, 861323181
71035772, 863093920
71311393, 863282635
73488453, 862961270
74742349, 861549683
75916878, 862795145
77090928, 863178367
78261519, 863509515
79460882, 861278831
80631388, 862730207
82064808, 861697832
83239083, 863244676
84437185, 861781685
85608251, 861244205
86778811, 861463886
87945448, 863217763
89117872, 861945237
90368262, 861520977
91543909, 863079954
92713792, 863019309
93878444, 862903198
96119385, 861861497
96288328, 861724525
98470471, 861565040
99653360, 863333007
100823483, 861767605
102036177, 861672192
103206464, 863308050
104373656, 863417161
105587484, 861627591
107287720, 863192123
108455468, 863347084
109630405, 861401056
110802317, 863004807
111971503, 861156070
113132525, 861821747
114314144, 862886372
115480097, 863294872
116671661, 863497009
117849390, 861835087
119023252, 862765814
120191529, 861308366
121355124, 861368948
123598935, 861338964
123807524, 861353954
125988517, 862932777
127175362, 863135989
128387497, 863256312
129562096, 863034719
130615987, 863444646
131836495, 862809392
133007064, 1556203480
134198024, 1552271842
135389950, 1552875114
136556050, 1555992154
137722396, 1552184923
138905375, 1555071472
140075876, 1553694011
142240576, 1551880547
143441670, 1553294638
144609395, 1555931152
145816693, 1553761927
146990449, 1552941440
148164352, 1555306388
149336915, 1553317438
150507483, 1555263360
151680923, 1556111294
152849304, 1555282303
154023328, 1554944301
155201464, 1555775953
156414974, 1556221660
157585847, 1553786642
159835840, 1555873846
160016182, 1552667088
161331405, 1556052520
163586160, 1553421804
163758316, 1555893665
166003345, 1553739408
167187043, 1553116004
168401449, 1551929932
169570995, 1556129532
170742289, 1555365938
171908182, 1556013415
173080865, 1553558811
174254010, 1552688894
175442698, 1556186111
176610226, 1552063967
177822396, 1555204412
179547813, 1555141263
180723877, 1553581669
181892367, 1553717302
183053692, 1554872909
184219398, 1553401294
185384018, 1552987283
186584578, 1552761171
187765970, 1552532691
188937661, 1554895765
190103660, 1552581899
192348862, 1553268524
192529651, 1552105368
197818938, 1553052729
197919815, 1553808662
198012746, 1552832386
198148580, 1551973565
199332436, 1553010101
200528100, 1555500662
201693862, 1552618225
202876534, 1555223412
204088143, 1553032454
205242133, 1553539825
206436257, 1553205376
207652006, 1555244230
208826929, 1554851437
211068478, 1556071759
211262043, 1555753341
213444566, 1555536315
214702412, 1556258355
215878032, 1555445848
217051683, 1554826776
218221014, 1555912200
219403605, 1554917945
220571314, 1552854267
221738046, 1553644971
222903942, 1555163607
224081289, 1552146078
225239978, 1556033619
226868853, 1553074758
228049176, 1555346446
229242215, 1553832265
230430090, 1556148260
231596468, 1552398120
232816668, 1555032170
234007536, 1553183712
235176055, 1556167257
236355631, 1552230715
238526461, 1553669661
239707879, 1556240311
240942569, 1552963494
242122265, 1554790728
243315709, 1552810662
244491385, 1553601946
245669551, 1553500402
246844697, 1553441427
248010557, 1553336186
249180055, 1555384457
250404824, 1555052612
251584561, 1552316004
252752649, 1555482397
253921533, 1554991053
255123451, 1552737834
256317592, 1555092542
258496704, 1552918821
259673201, 1552019919
260846064, 1553377325
262033661, 1555325408
263207682, 1555423719
264376642, 1555012694
265583237, 1556090082
266754288, 1555851582
267927735, 1555973462
269094527, 1555463621
270276871, 1555403584
271448302, 1552785216
272613294, 1553095022
274855352, 1555809107
276926516, 1555119925
277031814, 1553157863
278245305, 1553520275
279423680, 1553138053
280591235, 1555517994
281750732, 1553482763
282926643, 1552710557
284117746, 1552454676
285304009, 1555954159
286476462, 1553460164
287645773, 1553356554
288812488, 1552357295
291052996, 1552641431
292305685, 1554967832
293492723, 1555184653
294663082, 1555829404
295832487, 1552431307
297041856, 1552897359
298213622, 1943600379
299246073, 1944753382
300392555, 1944085486
301533697, 1941917177
302675681, 1948286715
303813008, 1944207263
305966980, 1948091990
307185741, 1948806043
308397295, 1944775523
309539524, 1948120429
310684472, 1948572082
311864808, 1948239012
313006052, 1944222086
314178136, 1942314924
315321571, 1947987521
316461505, 1948263226
317645065, 1941960391
319861686, 1944194911
320065355, 1941844949
321482945, 1948459227
322768930, 1944425629
323917065, 1943734656
326061598, 1942249140
327206699, 1942266414
328344024, 1942081646
329534518, 1948360395
330675424, 1948755470
331830556, 1948147095
332969651, 1948441694
334106170, 1942104118
335246426, 1941898594
336402256, 1943561812
338559777, 1943820681
339708016, 1948106550
340876674, 1948742294
342037781, 1943962759
343196464, 1948013888
344340863, 1948297824
345481243, 1948929464
346500777, 1948199776
347643922, 1948334878
349797450, 1941999665
351011430, 1944496409
352158370, 1944386239
353299724, 1944667641
354506321, 1944103585
355647683, 1943845003
356788932, 1948079774
357926831, 1948916731
359073578, 1944538400
360212271, 1942477916
361352216, 1943782257
363571499, 1944048795
363759069, 1948225891
365918140, 1948793406
367131866, 1948381509
368280174, 1943666751
369423996, 1944122539
370568190, 1948657491
371709214, 1942041996
372845190, 1944069612
373983759, 1944167208
375132420, 1943526827
377317093, 1948186950
378531491, 1944622441
379679265, 1942163882
380870808, 1942368864
382013192, 1944865075
383156088, 1944558953
384344881, 1944266887
385485360, 1942283959
386645017, 1944347931
387801454, 1943884016
388941739, 1944600753
390080690, 1942190687
392295965, 1941978787
393512712, 1948174400
394660873, 1948844576
396103765, 1943547053
396278458, 1948769552
398500046, 1948905070
399677702, 1948893905
400846174, 1943573830
402064384, 1944180496
403240205, 1948554019
404407451, 1944252877
405589652, 1948275870
406781128, 1944139374
407954629, 1944002483
409124634, 1944292702
418536449, 1944475027
418634036, 1944516850
418717095, 1942491598
418797295, 1944811655
418874990, 1943626875
418955476, 1948250987
419034223, 1944732717
419144733, 1943983109
420359379, 1948499485
421509791, 1942227731
422665834, 1941871625
423841272, 1944581229
425999256, 1942397163
427165979, 1944335295
428325258, 1942452745
429490754, 1948535625
430667968, 1948882130
431852661, 1944321338
433040156, 1941939096
434210364, 1948479149
435384802, 1948624748
436549885, 1944793551
437717492, 1948517879
438891700, 1943799715
440067286, 1942124643
442241834, 1944438925
443415463, 1948323864
445069106, 1948051140
445168679, 1948941970
446348756, 1944450454
448617801, 1948160368
448835435, 1943588091
451082621, 1942437385
451255355, 1948869838
453439622, 1948781068
454696979, 1948856932
455875906, 1948724944
457049378, 1944847603
458220908, 1948642200
459388819, 1948711405
460559111, 1944829838
461723234, 1944279579
462893090, 1943757567
464108278, 1942061426
465242047, 1944399572
466409165, 1948211230
467585220, 1948953964
469818100, 1948699943
470011627, 1943924902
472294156, 1942299256
473564553, 1943905442
473756295, 1944238080
475992765, 1943712461
477246491, 1942409796
478425131, 1942143725
479597656, 1944360915
480762436, 1943943295
481933175, 1944704440
483109090, 1948818358
484278752, 1948607783
485505920, 1942465318
486675782, 1948685585
487845863, 1948310925
489010832, 1944643830
490180959, 1948134607
491880864, 1948420475
493052798, 1944305990
494224121, 1942382636
495398460, 1942355542
496564857, 1942422615
497780637, 1942342499
498952943, 1948403499
500121725, 1948968387
502286708, 1948831392
503459944, 1942504186
504629731, 1944687220
505799748, 1944024964
506989987, 1942020524
508181031, 1943612543
509354761, 1943866509
510525521, 1944372489
511702924, 1944151865
512906426, 1948029898
514080647, 1942328756
515263587, 1943691028
517074864, 1948587387
518217768, 1948066209
519359528, 1942211511
520502355, 1948673078
521667784, 1944413350
522811504, 2561517588
523971938, 2553353884
525113104, 2555254905
527325756, 2553518714
528545643, 2553367259
529730226, 2553106026
530877348, 2561614205
532017799, 2553559927
533156344, 2555303233
534305939, 2555377456
535477206, 2554835047
536622022, 2553122259
537762028, 2554803891
538905780, 2553073310
540253790, 2555550021
541393983, 2554742971
543604299, 2555055570
543784591, 2553394783
545952800, 2561449289
547201580, 2554850477
548350625, 2554818932
549491391, 2554651618
550678688, 2561459956
551824253, 2553598062
552964775, 2555317251
554116050, 2555122253
555259753, 2561470922
556442469, 2553381340
557586915, 2555081865
559804766, 2555017611
561034018, 2553090385
562182000, 2555005070
563331371, 2561633335
564348413, 2554876081
565518151, 2555169645
566691607, 2555331117
567857000, 2555359421
569028693, 2555094058
570244891, 2555286941
571414964, 2553202499
572607001, 2555424452
574848768, 2554890328
575027446, 2553170471
577276069, 2561544399
578527836, 2554622680
579750024, 2553532907
580937502, 2561571035
582107034, 2554990944
583279616, 2555069284
584426086, 2553748664
585564371, 2553037953
586709187, 2555591968
587885730, 2554680769
589030300, 2554710699
590172172, 2555151958
591315289, 2553308727
593499485, 2553459519
594716583, 2553408958
595891436, 2561497134
597036565, 2554590127
598178594, 2555202219
599325735, 2554759876
600493767, 2555577261
601633221, 2553491089
602772385, 2554557532
603911959, 2561373885
606059090, 2554916405
607217094, 2553475020
608359467, 2553627544
609495779, 2555561883
610637547, 2561582897
611782900, 2561644836
613021697, 2561479853
614199801, 2553021459
615345272, 2555452865
616482437, 2554966375
617637064, 2553004758
619849758, 2555107492
620043888, 2555044015
622194616, 2553055545
623340712, 2561401854
624480623, 2555272008
625620199, 2554726516
626760019, 2553139090
639779099, 2554535894
639852934, 2553294424
639921472, 2554637302
639984830, 2561526558
640052882, 2553263569
640129353, 2554774107
640241663, 2561439199
640313180, 2554940290
640378704, 2561488440
640476981, 2555508108
640547208, 2553324912
642136789, 2553546202
643273982, 2555522768
644388327, 2561534895
645501641, 2553715466
646612996, 2555216581
647732336, 2553585559
648845565, 2555493440
651034655, 2553572739
652209012, 2561653970
653349337, 2553186874
654497018, 2554952954
655631354, 2561594086
656762692, 2553154424
657928443, 2553682200
659068713, 2552969879
660203788, 2554574172
661433131, 2554606552
662571442, 2552925715
664801406, 2555481019
666021572, 2554864039
667169457, 2555344371
668310386, 2554664774
669452102, 2553731000
670593394, 2555437884
671808622, 2553339348
672951492, 2552948738
674099206, 2554903557
675242741, 2553639787
676381421, 2552988011
678529230, 2554788368
679704881, 2555467760
680866920, 2555030074
682008678, 2553245956
683153811, 2561623856
684295423, 2554928504
685443739, 2555395222
686603799, 2555185959
687747487, 2555409389
688885438, 2553420991
691099978, 2553219872
691262834, 2553505271
693416384, 2561605443
694674481, 2554978010
695823829, 2554695823
696966158, 2561426392
698209869, 2553698324
699385054, 2555537241
700554686, 2555235015
701771291, 2553613657
702965188, 2553435386
704138764, 2561414796
705311872, 2553279179
706481923, 2561506231
707651840, 3221795489
709390005, 3222745876
710574696, 3222133555
711743378, 3222766208
712909745, 3221711136
714089907, 3222821608
715263551, 3222857890
716431356, 3223010406
717598304, 3222256629
719842090, 3224485228
720016346, 3222489973
722195770, 3222725983
723437897, 3222802510
724622173, 3223095579
725787524, 3222572046
726958750, 3222382227
728121878, 3222174606
729290161, 3221997797
730456776, 3221858597
731651148, 3222361032
732821063, 3222111692
735050100, 3223052361
735119699, 3221973087
737316574, 3219877754
738528961, 3222923543
739677719, 3221952041
740821727, 3222068011
741978181, 3222551672
743124058, 3222404044
744303881, 3222686863
745467730, 3224466923
746625428, 3222531522
747765517, 3224503722
748904156, 3223031034
750063011, 3221896557
752285357, 3219958185
753513065, 3221628329
754661379, 3222988653
755804781, 3221878242
757009502, 3224383495
758336253, 3224540425
759480697, 3223115311
760619955, 3222340979
761755484, 3224559820
762898031, 3222511030
764065763, 3224426835
765204366, 3222650999
766403252, 3222195030
768621171, 3222154052
768760859, 3222317847
770979072, 3224523230
772193458, 3221839425
773382030, 3222839830
774530815, 3222298175
775673108, 3223074230
776813550, 3223175148
777956114, 3222785557
779100212, 3222591099
780240921, 3222631475
781478379, 3222669333
782625215, 3222900479
784838221, 3221747481
785008359, 3224448079
787272108, 3222705968
788488079, 3221928082
789680138, 3223157093
790826806, 3222945090
791969943, 3221818728
793112015, 3222088992
794276799, 3222449291
795421203, 3222214564
796558847, 3222967258
797693130, 3222277828
798834892, 3223136709
801049206, 3222469769
802270082, 3222609887
803418341, 3222046146
804565118, 3222427592
805707658, 3224405819
806867460, 3222235668
808046352, 3224347627
809200291, 3221772371
810400133, 3222021713
811560461, 5326407319
812727205, 5332242858
813867896, 5329944335
816084455, 5332571621
816266966, 5336938792
818432605, 5332281470
819584484, 5328757391
820726413, 5332031307
821865194, 5334085306
823005895, 5326452200
824154128, 5336134889
825295702, 5334194637
826439880, 5329906765
827621982, 5337814678
829786010, 5328953799
831136147, 5334336016
832289042, 5329190222
833474198, 5325820711
834613833, 5334515788
835772848, 5326364538
836911944, 5332199094
838047979, 5341034632
839207655, 5336437242
840347909, 5328607051
841506721, 5326617341
842652355, 5335994975
844872269, 5338441587
860388964, 5336211145
860460536, 5332157786
860512827, 5332536224
860562323, 5334465963
860611360, 5326194321
860658822, 5336757137
860707539, 5330039382
860779934, 5333149306
860833750, 5338389746
860881977, 5336335740
860930662, 5332222275
860978847, 5331630852
861026678, 5340918035
863564843, 5332762874
863664235, 5336089809
865462895, 5332609193
865525108, 5336564853
866638665, 5334289041
867775863, 5329698183
868891495, 5326513140
871069543, 5327192091
872234149, 5326297056
873356444, 5332785611
874473288, 5333082373
875591081, 5332340862
876774308, 5326949455
877907949, 5332073532
879044602, 5334906097
880185265, 5340856875
881320096, 5337957308
883523572, 5334629640
884756237, 5333195365
885908694, 5336196934
888130171, 5337719647
888210770, 5325915848
889384960, 5328696488
890538446, 5336391236
891672966, 5340948567
892803258, 5331804517
893932623, 5329503463
895063133, 5336954214
898678949, 5340977508
898775040, 5325869639
898842015, 5336242436
901044237, 5336304780
902284634, 5328776678
903471524, 5337925032
904692077, 5327236267
905873680, 5336508270
907038849, 5328971570
908838154, 5326827009
908910700, 5338157972
911120194, 5329805486
911257163, 5334409397
913172012, 5336665642
914337001, 5334139239
915497997, 5337940095
916640583, 5329399478
918302042, 5338618474
919492805, 5337910235
920638538, 5334701494
921776978, 5337987786
922920270, 5331848575
924523672, 5333953532
925679820, 5326638225
926822365, 5336969946
927981239, 5329072242
929126691, 5333060633
930286263, 5334813507
931443218, 5336894059
932585293, 5329212706
934798821, 5331688527
936014483, 5337880743
937162145, 5340890342
938318649, 5336771477
939502255, 5332400121
940644438, 5329307730
941784494, 5336150192
942925767, 5332480259
944064881, 5326782770
945206420, 5329147952
946382558, 5327355399
962648192, 5334438409
962725903, 5325514302
962778878, 5332441953
962828310, 5332420043
962877615, 5336421023
962927641, 5334452675
962976019, 5326886481
963025621, 5338142006
963073418, 5329053573
963123114, 5336985670
963170716, 5334726597
963219314, 5338588030
963269030, 5332137417
964397926, 5327125947
965517721, 5334257363
966639399, 5338377016
967744354, 5337864140
968849172, 5334658176
971031367, 5337657524
972221232, 5337674201
973064719, 5329462354
974179023, 5338081836
975289418, 5336881127
976404277, 5338171490
978517055, 5336999264
979647086, 5338543733
980773195, 5334890903
981920343, 5331755143
983048938, 5336376697
984175649, 5331896396
985301416, 5329027578
986426117, 5341004201
988632300, 5326534542
988770358, 5329611520
990990717, 5327461014
992202408, 5332934380
993403299, 5338320685
994547370, 5338018229
995713174, 5333968001
996857955, 5325999437
998014636, 5326275965
999159201, 5336742300
1000299559, 5333981855
1001454936, 5333880834
1002598039, 5326431628
1004832145, 5338186157
1006049813, 5332720947
1007199069, 5334099470
1008340467, 5340904944
1009520612, 5336600986
1010661312, 5326928706
1011799798, 5332871175
1012937454, 5334672505
1014077193, 5333941042
1015220454, 5338199474
1016361917, 5326046572
1018507002, 5336801516
1019687234, 5340841087
1020978788, 5334010853
1022151447, 5337688562
1023298251, 5332117440
1024438214, 5338050272
1025575830, 5336537365
1026714843, 5336273863
1027852968, 5330001473
1028988646, 5336649784
1030183258, 5331873280
1031326575, 5334875261
1033483549, 5326342030
1034701820, 5334024063
1035972453, 5326254025
1037141359, 5325646617
1038324450, 5333016461
1039492749, 5331663987
1040665378, 5329089639
1041883517, 5334786691
1043076803, 5337045250
1044295622, 5338415464
1047283663, 5325773876
1047354847, 5335954678
1048498919, 5329171061
1049638479, 5331942801
1050811008, 5329589193
1051953985, 5336634670
1053140871, 5334127681
1054281237, 5333104763
1055424843, 5331826108
1056564259, 5332742440
1057701536, 5329123615
1058842588, 5326909417
1061058488, 5336524597
1062278070, 5338259891
1063431397, 5332673165
1064649968, 5336494653
1065797917, 5326147530
1066960105, 5326807758
1068103288, 5327312434
1069940488, 5329846007
1070014369, 5333898414
1072222417, 5334841630
1073482465, 5326702475
1074633265, 5337801904
1075797072, 5330020562
1076937831, 5328916114
1078074687, 5336363277
1079237957, 5332499370
1080378382, 5326574522
1081517258, 5329545682
1082657880, 5328652969
1084870275, 5336865284
1085007866, 5332096651
1087265991, 5338228750
1088480094, 5325463630
1089628568, 5338430077
1090775438, 5326098079
1091960354, 5325963182
1094179463, 5329676637
1094283368, 5337640832
1095435898, 5336464573
1096578959, 5328717507
1097715533, 5331711082
1098856984, 5340787824
1101090920, 5329739836
1101264867, 5327085171
1103483377, 5326228773
1104703593, 5334859975
1105853996, 5340933200
1107005379, 5332698783
1108148814, 5332518231
1109290362, 5328858649
1110460265, 5336451745
1111616558, 5332358934
1112758458, 5338558792
1113897254, 5340871512
1116131793, 5341047831
1116273236, 5333036734
1118426324, 5332379753
1119582471, 5334241907
1120761598, 5328676219
1121903867, 5337624081
1123049032, 5332807994
1124189745, 5329865392
1125328930, 5336011203
1126472743, 5329783199
1127641944, 5334499805
1129798357, 5326492678
1131016013, 5328877321
1132161919, 5338496785
1133347516, 5338002761
1134497676, 5330057303
1135638247, 5338574086
1136778771, 5327170358
1137938894, 5336784948
1139082993, 5336042090
1140222594, 5327377256
1141538815, 5338290848
1142715248, 5336681285
1143855334, 5326596151
1145997341, 5329483931
1147142087, 5334545925
1148302308, 5336727764
1149487913, 5329824760
1150627746, 5334350510
1151768141, 5334068908
1152917168, 5336118661
1154094744, 5325411446
1155235316, 5336074093
1173936043, 5327438313
1173999105, 5332554098
1174045582, 5336351381
1174090304, 5338274362
1174135149, 5329354530
1174178071, 5333927676
1174222089, 5338034296
1174266123, 5336712023
1174309940, 5338471097
1174353697, 5337016148
1174399460, 5334379815
1174455172, 5328989550
1174511817, 5334602680
1174557220, 5329525518
1174602332, 5332891688
1175719790, 5332262183
1176833808, 5336850645
1177971585, 5329981909
1179086219, 5332179069
1180207330, 5326025210
1181318028, 5327212560
1183510921, 5331919305
1184696748, 5334615431
1185813393, 5337775138
1186928450, 5337704609
1188041054, 5334393184
1189150882, 5329330630
1190270919, 5332052849
1191420074, 5332851166
1192635232, 5338603360
1194853942, 5332830367
1195031528, 5328797990
1197259777, 5326868561
1198482110, 5328630358
1199650292, 5337031194
1200862229, 5325604523
1202063904, 5328935163
1203240817, 5338361378
1204414541, 5340964292
1205583047, 5338243017
1206755850, 5334423399
1207925113, 5336696758
