name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test0_1000_4_99999999999, y, 4, 1000, 234.071658, 0.435718, 0.927374, 2120, 10000, 99999999999, 1
test1_400_4_99999999999, y, 4, 400, 318.735282, 1.212007, 0.876810, 2957, 4000, 99999999999, 1
test2_400_4_99999999999, y, 4, 400, 315.613261, 1.076948, 0.729424, 3040, 4000, 99999999999, 1
test3_100_4_99999999999, y, 4, 100, 96.534051, 0.592180, 0.236940, 913, 1000, 99999999999, 1
test4_10_4_99999999999, y, 4, 10, 9.865445, 0.414700, 0.191724, 94, 100, 99999999999, 1
test5_600_4_99999999999, y, 4, 600, 282.298923, 0.631172, 0.790248, 2463, 6000, 99999999999, 1
test6_2000_4_99999999999, y, 4, 2000, 121.441277, 0.234124, 1.190212, 1019, 20000, 99999999999, 1
test7_400_4_99999999999, y, 4, 400, 329.846866, 1.010976, 0.713771, 2986, 4000, 99999999999, 1
test8_600_4_99999999999, y, 4, 600, 296.701601, 0.896464, 1.119462, 2735, 6000, 99999999999, 1
test9_50_4_99999999999, y, 4, 50, 49.048458, 0.472957, 0.192442, 469, 500, 99999999999, 1
test10_800_4_99999999999, y, 4, 800, 300.570059, 0.623357, 1.008788, 2738, 8000, 99999999999, 1
test11_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test12_2000_4_99999999999, y, 4, 2000, 84.866068, 0.081878, 0.444393, 751, 20000, 99999999999, 1
test13_200_4_99999999999, y, 4, 200, 190.129808, 0.813261, 0.368018, 1776, 2000, 99999999999, 1
test14_50_4_99999999999, y, 4, 50, 49.473191, 0.522967, 0.215700, 470, 500, 99999999999, 1
test15_1_4_99999999999, y, 4, 1, 1.096323, 0.452247, 0.187181, 9, 10, 99999999999, 1
test16_1_4_99999999999, y, 4, 1, 1.069212, 0.470629, 0.222316, 9, 10, 99999999999, 1
test17_10_4_99999999999, y, 4, 10, 10.293489, 0.417243, 0.215919, 95, 100, 99999999999, 1
test18_100_4_99999999999, y, 4, 100, 95.278073, 0.606245, 0.287445, 920, 1000, 99999999999, 1
test19_1500_4_99999999999, y, 4, 1500, 93.359826, 0.078899, 0.342885, 856, 15000, 99999999999, 1
test20_50_4_99999999999, y, 4, 50, 52.611263, 0.570138, 0.291760, 468, 500, 99999999999, 1
test21_1000_4_99999999999, y, 4, 1000, 194.983904, 0.386439, 0.876267, 1844, 10000, 99999999999, 1
test22_400_4_99999999999, y, 4, 400, 333.618954, 0.846452, 0.598192, 3063, 4000, 99999999999, 1
test23_10_4_99999999999, y, 4, 10, 10.785185, 0.401783, 0.177115, 96, 100, 99999999999, 1
test24_2000_4_99999999999, y, 4, 2000, 62.597287, 0.053030, 0.320454, 601, 20000, 99999999999, 1
test25_50_4_99999999999, y, 4, 50, 49.511779, 0.511051, 0.215396, 466, 500, 99999999999, 1
test26_1_4_99999999999, y, 4, 1, 1.057121, 0.593512, 0.371906, 9, 10, 99999999999, 1
test27_800_4_99999999999, y, 4, 800, 200.350334, 0.411162, 0.819699, 1698, 8000, 99999999999, 1
test28_1500_4_99999999999, y, 4, 1500, 271.729766, 0.604618, 1.836604, 2380, 15000, 99999999999, 1
test29_1500_4_99999999999, y, 4, 1500, 89.291952, 0.111918, 0.523234, 792, 15000, 99999999999, 1
test30_1500_4_99999999999, y, 4, 1500, 158.399732, 0.256521, 0.826603, 1334, 15000, 99999999999, 1
test31_1500_4_99999999999, y, 4, 1500, 214.371804, 0.369432, 1.211616, 1863, 15000, 99999999999, 1
test32_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test33_50_4_99999999999, y, 4, 50, 50.685390, 0.504149, 0.262346, 472, 500, 99999999999, 1
test34_200_4_99999999999, y, 4, 200, 180.031958, 0.709092, 0.376518, 1713, 2000, 99999999999, 1
test35_200_4_99999999999, y, 4, 200, 196.907619, 0.733884, 0.334225, 1783, 2000, 99999999999, 1
test36_600_4_99999999999, y, 4, 600, 404.295686, 1.280651, 1.303002, 3481, 6000, 99999999999, 1
test37_800_4_99999999999, y, 4, 800, 270.899593, 0.513035, 0.846067, 2506, 8000, 99999999999, 1
test38_100_4_99999999999, y, 4, 100, 103.145413, 0.576795, 0.221326, 936, 1000, 99999999999, 1
test39_600_4_99999999999, y, 4, 600, 304.034583, 1.017471, 1.270325, 2852, 6000, 99999999999, 1
test40_1000_4_99999999999, y, 4, 1000, 172.622742, 0.281953, 0.766755, 1569, 10000, 99999999999, 1
test41_10_4_99999999999, y, 4, 10, 9.987018, 0.406044, 0.221086, 95, 100, 99999999999, 1
test42_200_4_99999999999, y, 4, 200, 182.340461, 0.698591, 0.366200, 1725, 2000, 99999999999, 1
test43_400_4_99999999999, y, 4, 400, 314.442340, 1.127148, 0.825449, 2941, 4000, 99999999999, 1
test44_1000_4_99999999999, y, 4, 1000, 285.163531, 0.737400, 1.579323, 2748, 10000, 99999999999, 1
test45_100_4_99999999999, y, 4, 100, 105.792186, 0.555124, 0.238798, 922, 1000, 99999999999, 1
test46_1_4_99999999999, y, 4, 1, 1.074746, 0.833119, 0.658075, 9, 10, 99999999999, 1
test47_10_4_99999999999, y, 4, 10, 10.026043, 0.424933, 0.241900, 96, 100, 99999999999, 1
test48_2000_4_99999999999, y, 4, 2000, 19.096453, 0.015241, 0.174176, 152, 20000, 99999999999, 1
test49_1_4_99999999999, y, 4, 1, 1.057519, 0.569225, 0.299402, 9, 10, 99999999999, 1
test50_800_4_99999999999, y, 4, 800, 299.583093, 0.798596, 1.452460, 2749, 8000, 99999999999, 1
test51_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test52_200_4_99999999999, y, 4, 200, 183.211739, 0.797595, 0.400751, 1719, 2000, 99999999999, 1
test53_100_4_99999999999, y, 4, 100, 99.816838, 0.638851, 0.262029, 931, 1000, 99999999999, 1
test54_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test55_2000_4_99999999999, y, 4, 2000, 44.341864, 0.040487, 0.311686, 332, 20000, 99999999999, 1
test56_4000_4_99999999999, y, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
test57_600_4_99999999999, y, 4, 600, 277.309895, 1.047830, 1.353916, 2617, 6000, 99999999999, 1
test58_800_4_99999999999, y, 4, 800, 251.840484, 0.707232, 1.371887, 2355, 8000, 99999999999, 1
test59_1000_4_99999999999, y, 4, 1000, 200.054574, 0.358766, 0.905980, 1376, 10000, 99999999999, 1
