sent, rec
2534, 1391081174
2450350, 1390777766
3801143, 1391302270
5078787, 1391357747
7337639, 1390386945
8689175, 1388574399
11017990, 1391036031
12411426, 1391573617
14585611, 1390274574
15843877, 1390318804
17126339, 1388877955
19380876, 1391101330
20737516, 1391121974
21988250, 1391529193
24238791, 1388850532
25492189, 1391161886
27741484, 1388665421
29030032, 1391281936
30209850, 1390642141
32380986, 1388901120
33560525, 1390995373
35744714, 1390433710
36988261, 1390617010
39215078, 1391335564
40463521, 1391418741
42757552, 1391224379
43998041, 1390409647
45188817, 1391184949
47372269, 1390889067
48618110, 1390197206
50861958, 1390751445
52107472, 1390685700
54357389, 1388710207
55654923, 1388754982
56937050, 1391399722
59217657, 1390455784
60459231, 1390594821
62704352, 1390801328
63983300, 1391480308
65167289, 1390297866
67393460, 1391461425
68634424, 1390246901
70889346, 1391243447
72140907, 1388615022
74419516, 1390953277
75677485, 1391204996
76855663, 1390909233
78646470, 1388798609
80879769, 1391550243
82158355, 1391502624
84365486, 1390341203
85550794, 1391015136
87729739, 1391061962
88978539, 1390570806
90171382, 1390730223
92343041, 1391262168
93562659, 1391441752
95903688, 1390222977
97085816, 1390847876
99265140, 1390929526
100549690, 1390973687
101757208, 1388923836
103931801, 1390707337
105113747, 1390868777
107305886, 1390662746
108622219, 1391378792
111069494, 1390128742
112330653, 1390364028
113504114, 1390824930
115694713, 1937864584
116993725, 1937514713
119215878, 1939000218
120469919, 1943147625
122761606, 1939805564
124012564, 1936952949
125233093, 1942777897
127419564, 1939822941
128659109, 1942192339
130909756, 1938723469
132162343, 1938685652
134411971, 1943100790
135688123, 1937813914
136876510, 1938317927
139113766, 1943118070
140372418, 1942370318
142148979, 1946287665
144326639, 1940009949
145507127, 1937954535
147688416, 1936992495
148978738, 1938181401
150154081, 1940549573
152327285, 1939844596
153498735, 1940255714
155684834, 1946385262
156922930, 1942586105
159175206, 1940074566
160412140, 1942933720
162679031, 1946183926
163961395, 1942036683
165177196, 1942217380
167362783, 1946215111
168649430, 1943205501
170895053, 1942915870
172142046, 1939284527
174253896, 1946125081
175432745, 1942952835
177671170, 1942857864
178925193, 1938402642
180113117, 1939140184
182353317, 1943027264
183591324, 1937543825
185847270, 1937479858
187137153, 1942562922
189388869, 1942018759
190637337, 1938877138
191861302, 1942818465
194108154, 1946414704
195388445, 1940283057
197641949, 1946153880
198885705, 1936867004
200110426, 1938651667
202357504, 1942875690
203650293, 1937904981
205907346, 1946399726
207148301, 1940132205
209417894, 1941836306
210659254, 1940416989
211838477, 1942694918
214143638, 1942640843
215538684, 1939515707
217793869, 1946033665
219043007, 1941743970
220234196, 1943295961
222475723, 1938383758
223757086, 1937433105
226005586, 1942612730
227252761, 1942054993
228432971, 1937681704
230684901, 1946344843
231967858, 1946316349
234239311, 1943045244
235481464, 1940652133
237731209, 1938844857
239615530, 1939170301
240806328, 1939880538
242007540, 1941982544
244172996, 1939230985
245342089, 1943064222
247527675, 1937711402
248775662, 1942755805
251021267, 1938907270
252323380, 1939474411
253498552, 1940576060
255685033, 1939899667
256964087, 1937138250
262258739, 1946138354
262362314, 1937766782
262465262, 1943186848
263635020, 1943167838
265883812, 1937251027
267134918, 1946370819
269403629, 1939673099
270714784, 1940443177
271929229, 1938500414
274179696, 1937103409
275429039, 1937362721
277722054, 1940523758
278977107, 1943269602
280163247, 1942718085
282414057, 1942990838
283711618, 1946428646
285955770, 1940043788
287240772, 1937289548
288423207, 1940627001
290667112, 1938539813
291912507, 1939634995
294158329, 1939614996
295451374, 1940320892
297706196, 1937067051
298952357, 1938577704
300129020, 1938263918
301870791, 1939575854
304055957, 1942894893
305267229, 1938462890
307448837, 1941999867
