sent, rec
3848000, 958280000
3872000, 676268000
3944000, 676081000
3967000, 1925056000
4310000, 954570000
4322000, 676106000
16438000, 1372835000
16927000, 676004000
17526000, 1376448000
18793000, 1924892000
21045000, 676220000
21798000, 1158738000
22796000, 676435000
24301000, 1605785000
25328000, 676203000
26548000, 1606119000
26796000, 675974000
27047000, 1372543000
31546000, 677546000
32797000, 959091000
34788000, 958426000
42047000, 959064000
42545000, 959008000
45297000, 959041000
47048000, 959055000
58162000, 959086000
58215000, 1372701000
58227000, 1158825000
58239000, 958360000
58252000, 1924802000
58770000, 1372749000
59678000, 1605923000
61295000, 959095000
63053000, 1372792000
67706000, 959099000
67837000, 959050000
67877000, 1372616000
69295000, 1158969000
70296000, 958500000
72326000, 959013000
72808000, 1376333000
75293000, 959023000
81349000, 1372902000
81801000, 958590000
86054000, 959045000
89547000, 958237000
90563000, 1158505000
90605000, 959059000
93048000, 958576000
94046000, 1158899000
95556000, 1605714000
96047000, 2813909000
99975000, 958189000
101544000, 958997000
102546000, 1924930000
108995000, 959018000
109796000, 959036000
111795000, 3200290000
112796000, 1158465000
114411000, 958541000
118608000, 1928663000
121296000, 1372873000
123536000, 1158612000
126546000, 1605732000
128552000, 958337000
129036000, 959069000
129546000, 959003000
132749000, 959078000
139544000, 959082000
142047000, 954463000
146546000, 959027000
147295000, 959072000
148795000, 959031000
149548000, 1372578000
164529000, 1159831000
164546000, 1160896000
164577000, 1160498000
164608000, 1161034000
164740000, 1925067000
164770000, 1160624000
165463000, 1160913000
165522000, 3200206000
169679000, 1605939000
169764000, 1162055000
169781000, 1162203000
169991000, 1162117000
183526000, 1160879000
183735000, 1162043000
183845000, 1160522000
184133000, 1159097000
184332000, 1162016000
184841000, 1161734000
184957000, 1161951000
185022000, 1606075000
188908000, 1162230000
188925000, 1159057000
189049000, 1162190000
189156000, 1161899000
196780000, 1160462000
196947000, 1160474000
199223000, 1159084000
199674000, 1160779000
200085000, 1161017000
201537000, 1160395000
202044000, 1161912000
212125000, 1160558000
212371000, 1160804000
212385000, 1161001000
212432000, 1162269000
212492000, 1161962000
212538000, 1372584000
213014000, 1160646000
213029000, 1162131000
213117000, 1159109000
213190000, 1159804000
231530000, 1160593000
231710000, 1162089000
231727000, 1160546000
231743000, 1160827000
232434000, 1160416000
236165000, 1162243000
236320000, 1160383000
236701000, 1159892000
236837000, 1160581000
245482000, 1372946000
245511000, 1160947000
245568000, 1161989000
247171000, 1372926000
247206000, 1161925000
247843000, 1159867000
256201000, 1161975000
257920000, 1159045000
258106000, 1160965000
258197000, 1162216000
266680000, 1372755000
266817000, 1372768000
277794000, 1160486000
278232000, 1162295000
278279000, 1928627000
289677000, 1161819000
289753000, 1162002000
289813000, 1159879000
289845000, 1158795000
289860000, 1372628000
289958000, 1161778000
290298000, 1161885000
290317000, 1372673000
290363000, 1162104000
290552000, 1160450000
291863000, 1162029000
293545000, 1160862000
295545000, 1161804000
296296000, 1928675000
296544000, 1159843000
300545000, 1158941000
304050000, 1161860000
304546000, 1162177000
305047000, 1162282000
306794000, 1160510000
307046000, 1160610000
308911000, 1372731000
308997000, 1161790000
310546000, 1160534000
312046000, 1160984000
313046000, 1160370000
320297000, 1160846000
320545000, 1159120000
321548000, 1162150000
322487000, 1160930000
324795000, 1928694000
325295000, 1160438000
327696000, 1376472000
329796000, 1159819000
331691000, 2812187000
332564000, 1161939000
334037000, 3200197000
335294000, 1160357000
344046000, 1161847000
344805000, 1161872000
346097000, 1159071000
347280000, 1372802000
353371000, 1158927000
353563000, 2812390000
353609000, 3199821000
354615000, 1159855000
354835000, 1161833000
355051000, 1606046000
355881000, 1161763000
356016000, 1162164000
356307000, 1162256000
365370000, 1925021000
365458000, 1376551000
366545000, 1928635000
368543000, 1376509000
368781000, 1377076000
369045000, 1377179000
370301000, 2814014000
371794000, 1376367000
373180000, 1376654000
373220000, 1377023000
374543000, 1377174000
375297000, 1376575000
376795000, 1376524000
378646000, 1377124000
381296000, 1377033000
382806000, 1928719000
385547000, 1376562000
387199000, 1376666000
389717000, 1377070000
390063000, 3200253000
394813000, 1377164000
395529000, 1376599000
395802000, 1377058000
398548000, 1377195000
400798000, 1377138000
403123000, 1372683000
403820000, 1376640000
404562000, 1376583000
405542000, 1377103000
409046000, 1377189000
409548000, 1376542000
413545000, 1376314000
413796000, 2812347000
414045000, 1376647000
415546000, 1377098000
415797000, 1928689000
416665000, 1377088000
417561000, 1377119000
420546000, 1377158000
421797000, 1377143000
423796000, 1377153000
424046000, 1377064000
428796000, 1376460000
432296000, 1377093000
433295000, 1376623000
433797000, 1925080000
438294000, 1376659000
442047000, 1372775000
442793000, 1377082000
445296000, 1376556000
447297000, 1376399000
449776000, 1928709000
450289000, 1376501000
453832000, 1376696000
454544000, 2812227000
455048000, 1376617000
456796000, 2812412000
459544000, 1377200000
461796000, 1376268000
464545000, 1376712000
481254000, 1925097000
481320000, 1376612000
481415000, 1376592000
481429000, 2812601000
482037000, 1376634000
482051000, 1377052000
485882000, 1377114000
485922000, 1377046000
486016000, 1376607000
486056000, 1377183000
486513000, 1376629000
487303000, 1376672000
488045000, 1376689000
489046000, 1376707000
499692000, 1372667000
500168000, 1376361000
501027000, 1376371000
501082000, 1376684000
504985000, 1377040000
504999000, 1377148000
505012000, 1376533000
518973000, 1376677000
519020000, 1372920000
519331000, 1377129000
519666000, 1377169000
520591000, 1376515000
520652000, 1376702000
523932000, 1377133000
523976000, 1376568000
524050000, 1924990000
524142000, 1376290000
529076000, 1377016000
529112000, 1605814000
531260000, 1377110000
531491000, 1606483000
547637000, 1607748000
547762000, 1608033000
548261000, 1607506000
548357000, 1607597000
552346000, 1607795000
552485000, 1606690000
552547000, 1608056000
552567000, 1606497000
554045000, 1607847000
566745000, 1606297000
566843000, 1606471000
566900000, 1608045000
566913000, 1606368000
566927000, 3687629000
567288000, 1607772000
567444000, 1607464000
567511000, 1608000000
571617000, 1928744000
572549000, 1607830000
574797000, 1607687000
588903000, 2812360000
588931000, 1606507000
588984000, 2813755000
589011000, 1606274000
589026000, 1607942000
589040000, 1606719000
589501000, 1606402000
589597000, 1607435000
589663000, 1607919000
589747000, 1607404000
593848000, 1924985000
593887000, 1607546000
594228000, 1928651000
594416000, 2812329000
594432000, 1606309000
599864000, 1607712000
601651000, 1606250000
602055000, 1606569000
602795000, 1607759000
605045000, 1607894000
605295000, 1606334000
611866000, 1607478000
611953000, 1606030000
612124000, 2814101000
613500000, 1607930000
613623000, 1607621000
614555000, 1606448000
622443000, 1608078000
623764000, 1607987000
631649000, 1607871000
645415000, 1606645000
646056000, 1606412000
646175000, 1606222000
646275000, 1606321000
646292000, 1608022000
646321000, 1607723000
647374000, 1607632000
649728000, 1606358000
654048000, 1606541000
655046000, 1608011000
660046000, 1607859000
664073000, 1607954000
664268000, 1607521000
664549000, 1607420000
666797000, 1607736000
668158000, 3688447000
668199000, 1607817000
671798000, 1606236000
673302000, 1606424000
673448000, 1606263000
673494000, 1608067000
677912000, 1607644000
677997000, 1606556000
678306000, 1607699000
679261000, 1606162000
681296000, 1607882000
682545000, 1925073000
687796000, 1607806000
688546000, 1606148000
689296000, 1607449000
697524000, 1606380000
698546000, 1607559000
699047000, 1606390000
702117000, 1607491000
703795000, 1607584000
705294000, 1607782000
706599000, 1606659000
707001000, 1607533000
709299000, 2813969000
710295000, 1607608000
713043000, 1924955000
714047000, 1607662000
714800000, 1607974000
715655000, 1608089000
715788000, 1607571000
717553000, 1606583000
718291000, 1606614000
722296000, 1606520000
727805000, 1606285000
728796000, 2814031000
731297000, 1606345000
733633000, 1606436000
735483000, 1607906000
735682000, 1606460000
735764000, 1606208000
736702000, 1606597000
737549000, 1606061000
738062000, 1607674000
740546000, 1605862000
742296000, 1606705000
746055000, 1606134000
749059000, 1606676000
751811000, 1606194000
752041000, 1606628000
752547000, 1606179000
756299000, 1924909000
758548000, 1929347000
758796000, 1929391000
762535000, 1929337000
765600000, 1929397000
766332000, 1928956000
766372000, 1929009000
766523000, 2814113000
768046000, 1929475000
768547000, 1928985000
769879000, 1928799000
771298000, 1928749000
772295000, 2813924000
774749000, 1929030000
776297000, 1929418000
776545000, 1924961000
777049000, 1928919000
780282000, 1928974000
782295000, 1928969000
782790000, 2814169000
787057000, 1928788000
787299000, 3200242000
787547000, 1929502000
789299000, 1929448000
790047000, 1928794000
790539000, 1929489000
793433000, 1928849000
794299000, 1928883000
795297000, 1928912000
795548000, 1929329000
800297000, 1929352000
804548000, 1929364000
807066000, 1928931000
812046000, 1929318000
816545000, 1929014000
817794000, 1929527000
822284000, 1929429000
822551000, 1928876000
826055000, 1929462000
826797000, 1928754000
828045000, 1928942000
828548000, 1929025000
829143000, 1929480000
831015000, 1929005000
831058000, 1928863000
