sent, rec
12360000, 1993757000
16421000, 1396941000
16979000, 1397745000
17104000, 1397616000
24983000, 1396762000
25272000, 1396814000
25474000, 2764745000
26346000, 1397646000
27296000, 1993783000
31546000, 1399987000
34624000, 1400165000
34758000, 1396682000
35053000, 1397453000
35550000, 2763854000
37793000, 1396659000
45796000, 1392773000
46046000, 1397475000
48036000, 1396623000
49546000, 1993821000
57797000, 1397595000
63043000, 1400150000
69547000, 2764211000
69796000, 1397062000
71196000, 1396712000
72797000, 1400114000
79049000, 1392931000
80958000, 1397024000
82294000, 2764668000
94047000, 1400034000
96049000, 1392677000
97296000, 1392685000
98551000, 1392908000
100798000, 1392740000
107381000, 1397524000
119796000, 1392941000
133543000, 3712257000
136044000, 1396850000
140038000, 1396797000
140291000, 1400124000
140796000, 1993487000
141547000, 1989896000
144645000, 1397037000
147046000, 1993620000
147796000, 1993528000
154554000, 1993523000
155047000, 1397653000
158905000, 1396670000
159304000, 1397447000
162295000, 2764721000
164295000, 1396840000
165798000, 1396653000
170548000, 1397775000
176047000, 1392720000
181788000, 1396931000
183297000, 1396782000
184807000, 1392713000
187066000, 1400140000
187304000, 2753759000
188795000, 1993482000
190864000, 1994191000
191022000, 1396756000
191303000, 1396664000
196231000, 1397484000
203047000, 2763827000
206547000, 1396979000
209753000, 1396879000
212047000, 1396676000
216797000, 3715823000
219297000, 1400045000
219797000, 1392902000
220278000, 3712018000
220794000, 1397044000
225550000, 1396911000
237232000, 1396735000
237447000, 1400099000
237746000, 1397006000
237788000, 1396591000
242331000, 1993602000
242362000, 1994197000
242376000, 1397442000
242460000, 1989667000
242489000, 1396630000
246298000, 1994185000
246547000, 1399962000
257114000, 1994175000
261587000, 1397401000
262197000, 1396704000
264545000, 1397503000
276692000, 1399921000
276815000, 1396790000
280826000, 1392709000
280840000, 1400000000
284047000, 1396873000
284796000, 1400013000
285046000, 1392936000
295893000, 3712109000
296448000, 1993807000
296465000, 1400050000
296482000, 1993584000
301947000, 1397056000
301988000, 2764051000
302089000, 1397734000
302786000, 1993569000
302880000, 1392736000
302988000, 1994149000
303022000, 1994168000
312362000, 1399977000
314959000, 1669209000
314994000, 1669236000
315012000, 1669453000
315752000, 1669493000
315882000, 1667179000
325988000, 1667419000
326387000, 2763929000
327045000, 1993508000
327152000, 1669441000
331350000, 1669520000
332058000, 2763692000
332104000, 1669546000
345758000, 1669252000
346095000, 1667602000
350738000, 1669559000
351150000, 2763909000
359351000, 1994227000
359726000, 1993686000
359855000, 1993802000
359986000, 1669152000
360017000, 1669124000
369045000, 1667776000
371793000, 1994120000
372295000, 1669333000
373046000, 1667616000
380531000, 1667218000
381227000, 1669428000
382434000, 1993816000
382525000, 1669061000
382616000, 1667377000
382663000, 1993547000
383291000, 1667399000
391679000, 2753809000
391772000, 3273769000
391874000, 2764163000
391920000, 1667535000
391967000, 1669166000
392291000, 1669415000
393374000, 2763762000
393699000, 1667440000
397036000, 2753472000
397132000, 1667363000
400286000, 1669363000
400793000, 1667854000
401046000, 1669138000
402796000, 1667562000
410152000, 1669533000
411611000, 1669466000
412288000, 1669196000
420684000, 1667643000
420919000, 1994137000
434350000, 1667670000
435217000, 1667501000
435250000, 1669094000
439377000, 1669320000
440008000, 1667460000
440150000, 1667307000
452242000, 1667869000
452389000, 1669223000
452883000, 1667549000
452931000, 1669044000
452995000, 1669376000
457128000, 1667694000
466044000, 1989811000
469296000, 1669389000
473294000, 1669306000
477164000, 1667792000
487042000, 1667630000
491298000, 2753653000
497795000, 1667266000
500010000, 1994274000
503297000, 1669292000
511053000, 1994210000
511796000, 1667839000
512297000, 1667574000
518556000, 1669109000
526298000, 1667200000
526546000, 1669578000
529295000, 2764122000
531048000, 1993616000
535037000, 1667246000
535546000, 1667807000
542148000, 1667286000
542239000, 1669278000
542782000, 1993811000
544547000, 1667710000
544796000, 1667341000
551300000, 1993777000
552300000, 1667742000
560461000, 1669266000
563289000, 1668970000
566798000, 1669182000
568045000, 1667589000
570295000, 1667657000
570547000, 1667823000
571299000, 1667323000
571545000, 1669348000
572796000, 1993701000
574303000, 1669027000
578552000, 1993718000
579797000, 1669077000
585797000, 1669401000
587801000, 2764001000
592553000, 2753706000
593048000, 1667728000
594047000, 1669506000
594295000, 1667760000
595794000, 1667522000
602789000, 1993476000
604045000, 1994091000
606628000, 1993713000
609796000, 1667481000
616052000, 1667163000
617558000, 1667886000
620034000, 1993740000
632063000, 1994383000
632794000, 1993641000
633296000, 1996282000
633795000, 1994393000
636043000, 1994397000
637795000, 1994490000
638547000, 3712155000
638796000, 3273445000
639632000, 1994403000
644045000, 1994477000
646796000, 1994495000
650514000, 1993669000
653545000, 1994443000
657046000, 1994307000
659779000, 1994262000
660547000, 1994504000
664294000, 1993579000
665044000, 1994421000
667302000, 1993646000
668922000, 2753580000
669314000, 1994296000
671047000, 1996272000
674296000, 1994471000
676047000, 1996209000
679306000, 1994332000
683298000, 2764137000
683798000, 3712251000
684048000, 1994338000
684295000, 1996266000
688298000, 1994352000
692543000, 2763834000
694050000, 1996254000
695289000, 1994347000
701011000, 1994302000
706315000, 1996233000
706403000, 2764129000
708059000, 1996224000
708547000, 1996214000
710287000, 1996219000
726485000, 1994342000
726899000, 2764661000
727980000, 1994269000
728137000, 1994326000
728469000, 1993532000
736005000, 1993519000
736704000, 1993728000
736813000, 1994499000
740845000, 1994449000
740874000, 1994425000
742551000, 1994110000
752844000, 1996291000
754402000, 1994481000
754484000, 1994075000
754581000, 1996259000
761545000, 1994430000
761809000, 1994485000
772915000, 1994312000
773146000, 1994465000
773859000, 1994412000
773919000, 1994416000
773941000, 1994285000
778603000, 1996183000
779197000, 1994461000
780796000, 1996286000
793385000, 1994317000
793412000, 1996239000
793634000, 3712173000
797488000, 1989863000
797628000, 1996249000
805390000, 1994290000
805461000, 1996229000
805841000, 1994407000
805955000, 1994321000
806083000, 1996277000
806098000, 1994454000
809291000, 1994180000
810040000, 1996244000
829189000, 2282989000
830433000, 2281971000
834526000, 2763994000
834541000, 2283082000
835163000, 2763847000
835229000, 2282976000
835309000, 2281745000
839705000, 2281580000
840594000, 2283297000
840627000, 2281371000
840708000, 2283223000
840724000, 2280962000
841794000, 2281672000
851968000, 2282804000
852111000, 2281118000
852634000, 2281078000
852681000, 2283044000
852783000, 2281941000
852820000, 2281513000
863643000, 2281248000
865946000, 3273597000
866036000, 2283236000
866086000, 2283195000
866632000, 2282873000
878150000, 2281415000
878177000, 2282021000
878261000, 2282167000
878370000, 2283309000
878430000, 2281473000
878496000, 2281224000
881318000, 2281267000
885880000, 2281387000
887580000, 2281828000
887762000, 2281684000
890542000, 3712178000
893045000, 2281462000
900856000, 2281432000
901763000, 2281924000
910496000, 2283001000
912035000, 3712246000
912543000, 2280927000
921368000, 2282109000
921654000, 2753548000
923160000, 2282789000
923303000, 2283013000
923834000, 2281314000
928926000, 2281500000
929020000, 2282092000
931542000, 2280975000
944170000, 2281757000
944880000, 2283154000
949682000, 2281844000
949715000, 2281732000
950288000, 2281769000
950384000, 2281878000
961728000, 3712202000
961951000, 2282049000
962162000, 2764754000
962630000, 2281708000
962695000, 2282124000
962711000, 2282154000
967183000, 2280908000
968796000, 2281607000
981971000, 2281160000
986097000, 2764806000
986279000, 2282034000
990291000, 3712235000
997795000, 2764113000
998048000, 3712222000
1000289000, 2281292000
1004253000, 2281991000
1008216000, 3273736000
1010545000, 2283210000
1014043000, 2281865000
1016047000, 2282186000
1017589000, 2282137000
1023547000, 2282947000
1024547000, 3712143000
1028796000, 2282935000
1033798000, 2280886000
1035896000, 2764822000
1038802000, 2283283000
1041229000, 2283128000
1042558000, 2281552000
1043058000, 2281635000
1045554000, 2281647000
1046548000, 2281445000
1047796000, 2282062000
1050463000, 2281539000
1050504000, 2281526000
1056047000, 2281721000
1059785000, 2282960000
1060795000, 2281911000
1065290000, 2282831000
1068771000, 2282844000
1069548000, 2283271000
1074299000, 2281334000
1078549000, 2764081000
1079547000, 2282906000
1080072000, 2763937000
1083049000, 2283058000
1092045000, 2281095000
1092549000, 2281487000
1092795000, 2280990000
1098547000, 2282920000
1111039000, 2281697000
1113801000, 2283116000
1115325000, 2281815000
1118045000, 2283030000
1119142000, 2282859000
1126794000, 2283100000
1132543000, 2763807000
1133628000, 2763968000
1133671000, 2281205000
1136296000, 2283181000
1138777000, 2281621000
1141047000, 2281402000
1142782000, 2281595000
1146049000, 2281141000
1147002000, 2282005000
1147046000, 2281008000
1151876000, 2282887000
1152019000, 2283167000
1153798000, 2281566000
1157794000, 2281029000
1161301000, 2283260000
1162524000, 2281059000
1162564000, 2281183000
1164046000, 2280942000
1164292000, 2281658000
1166544000, 2282818000
1167558000, 2282080000
1167790000, 2282198000
1168545000, 2281957000
1170076000, 2281893000
1170124000, 2281796000
1172548000, 2281356000
1176298000, 2283141000
1182297000, 2765086000
1185286000, 2765063000
1185548000, 2767529000
1190542000, 2765092000
1194040000, 2765056000
1195796000, 2764983000
1203609000, 2765039000
1207605000, 2767498000
1208055000, 2765081000
1208295000, 2765017000
1223798000, 2764890000
1228237000, 2767493000
